#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:25:36 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:25:36	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Steine_12	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Steine_12           	 430865488443352448	0	0	 0.414891795783054407	 8.88800694	+63.6904124	   -4.64352131	0.03139321	   -3.59972833	0.03537649	-2.2955e-01	   1.44183401	0.03570935	 0.95666796	0	 15.980145	  1.548241	            	            	  0.91525643	  0.88861193	  0.94615533
Steine_12           	 523536073642088064	0	0	 0.409968422555904932	16.09694560	+64.6692516	   -4.96372214	0.01201015	   -2.62786044	0.01502422	-2.9877e-01	   1.57180229	0.01414436	 0.99380370	0	 13.808473	  1.234882	   -8.611278	    3.644053	  1.38395617	  1.34609743	  1.44424935
Steine_12           	 523921108871718272	0	0	 0.392585057500682677	10.07560804	+63.5804104	   -4.76005324	0.02808955	   -3.32985595	0.03588107	-2.9829e-01	   1.42771775	0.03278585	 1.09934740	0	 15.612005	  1.560688	            	            	  0.98047430	  0.94878791	  1.00979825
Steine_12           	 523946775597001600	0	0	 0.414891795783054407	10.99654724	+63.9201420	   -4.69177208	0.01188446	   -3.50926097	0.01408848	-3.9145e-01	   1.46481060	0.01329418	 0.96098787	0	 11.920203	  0.547780	  -16.938787	    6.392174	  2.21821774	  2.07049596	  2.33490019
Steine_12           	 524000441207312640	0	0	 0.401721245089463608	11.69169992	+64.1370561	   -4.58403632	0.22720402	   -3.65681958	0.26176798	-2.5844e-01	   1.49552800	0.25185630	 1.09077440	0	 19.306469	  2.974501	            	            	  0.52071568	  0.50583300	  0.53511012
Steine_12           	 524060403252310528	0	0	 0.414891795783054407	10.59167140	+64.2459130	   -4.28603758	0.01064787	   -3.49238307	0.01178093	-2.5912e-01	   1.45514669	0.01158606	 0.97767300	0	 12.766807	  0.865891	            	            	  1.74145792	  1.66316914	  1.82028959
Steine_12           	 524068061172607616	0	0	 0.405749807594692702	10.49675953	+64.3717778	   -4.93139034	0.02487650	   -3.64131473	0.02518296	-3.6092e-01	   1.43407556	0.02413625	 0.98605300	0	 15.271187	  1.478481	            	            	  1.04485286	  1.01863489	  1.08490223
Steine_12           	 524068065473861632	0	0	 0.414891795783054407	10.49435617	+64.3710910	   -4.85148677	0.02142800	   -3.59493230	0.02120810	-3.4194e-01	   1.44091811	0.02022137	 0.98486793	0	 14.864499	  1.354120	  -13.231512	    8.041871	  1.12946278	  1.09986614	  1.17063705
Steine_12           	 524173481149312896	0	0	 0.397966031711575186	14.36742447	+64.3542801	   -4.77261036	0.00940174	   -3.34860509	0.01274471	-2.2523e-01	   1.50170158	0.01122049	 0.94955117	0	 13.516712	  1.201163	  -15.317258	    3.879713	  1.47139159	  1.42852344	  1.53827043
Steine_12           	 524280576149068416	0	0	 0.391881733592669146	14.71676062	+64.8268869	   -5.10647721	0.01013474	   -3.18684127	0.01207727	-3.1589e-01	   1.53139140	0.01142072	 0.88955910	0	 11.991669	  0.590405	  -27.299217	   17.368229	  2.17153871	  2.02485928	  2.27888714
Steine_12           	 524280580451378688	0	0	 0.409968422555904932	14.72716256	+64.8258750	   -4.99691734	0.01521296	   -3.15615285	0.01728379	-3.3402e-01	   1.54315416	0.01665284	 0.97502196	0	 14.374120	  1.136390	  -18.863276	   12.604615	  1.23705941	  1.20531081	  1.28776876
Steine_12           	 524292327179589376	0	0	 0.409968422555904932	15.58167731	+64.8440870	   -4.90054321	0.01090919	   -3.08216832	0.01281067	-2.8833e-01	   1.55307897	0.01252809	 0.98119307	0	 13.648825	  1.064516	  -27.951427	    3.970587	  1.43020392	  1.39012974	  1.49554229
Steine_12           	 524316520738282496	0	0	 0.400481854385913105	14.83410156	+65.2175467	   -4.56963902	0.00840588	   -2.70189984	0.01267479	-2.6332e-01	   1.50606683	0.01014365	 0.92978823	0	 12.441027	  0.785040	  -10.833560	    3.542549	  1.89713174	  1.79994834	  1.99318431
Steine_12           	 524382800675598336	0	0	 0.388733576836281458	13.94660420	+65.5162100	   -5.49113640	0.02644477	   -2.51304044	0.03108937	-2.1401e-01	   1.35471894	0.03089226	 2.43718270	0	 12.092378	  0.781568	  -11.019925	   38.432674	  2.10270987	  1.97024075	  2.21081769
