#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:25:37 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:25:37	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Stephenson_1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Stephenson_1        	2090718615740115456	0	0	 0.468147820273369708	283.0173728	+33.6109870	    1.02763103	0.05921613	   -3.26462603	0.06401268	 3.4471e-02	   2.80237053	0.05827740	 1.02194640	0	 17.215970	  2.684670	            	            	  0.44631879	  0.40793692	  0.51635861
Stephenson_1        	2090792931554576640	0	0	 0.484570870614042970	282.5177288	+34.0348764	    0.53880392	0.37947187	   -2.98883606	0.46917400	-1.1327e-02	   2.73012865	0.41539150	 1.05642530	0	 20.111824	  2.593746	            	            	  0.13226900	  0.10879861	  0.14613021
Stephenson_1        	2091544589489399040	0	0	 0.519506752962842433	282.5496604	+34.1504776	    0.78234541	0.05874170	   -3.27832266	0.06651930	-3.3007e-03	   2.74079033	0.05797656	 1.02288450	0	 17.129750	  2.772463	            	            	  0.46146923	  0.42552644	  0.52895252
Stephenson_1        	2091618183747213568	0	0	 0.488634776632543288	282.2482399	+34.6343958	    0.68518594	0.01659297	   -2.99656851	0.01576386	-1.6786e-01	   2.69890908	0.01401320	 0.97292210	0	 11.046314	  0.543488	  -17.353811	    1.521865	  1.48794595	  1.42893326	  1.51251757
Stephenson_1        	2091632344258797440	0	0	 0.499734613578487197	282.0079783	+34.6477530	    0.52284140	0.05823528	   -3.13599944	0.05288779	-3.7349e-02	   2.74975520	0.05219982	 0.96358880	0	  8.361793	 -0.012494	  -19.927706	    1.232766	  3.21894128	  3.04330635	  3.33362877
Stephenson_1        	2092305520256287232	0	0	 0.470868096068072173	282.9512206	+34.4187083	    1.01620203	0.06063867	   -3.27230234	0.05819028	-1.0704e-01	   2.75041900	0.05497146	 0.97738403	0	 17.007032	  2.713858	            	            	  0.48365578	  0.45191847	  0.55284579
Stephenson_1        	2092439557596020224	0	0	 0.504218757915784077	283.5838167	+35.0441659	    0.90917007	0.09722442	   -3.35762187	0.11115444	-1.0867e-01	   2.78985995	0.08779934	 0.95006520	0	 17.801260	  3.098003	            	            	  0.34621039	  0.31491640	  0.43202074
Stephenson_1        	2092475871536878592	0	1	 0.640806675373282175	283.9119646	+35.4733520	    1.07754684	0.14842445	   -3.08924252	0.17565389	 2.1953e-01	   2.81295789	0.13642636	 0.95526250	0	 18.863750	  3.083546	            	            	  0.22218636	  0.17011121	  0.24532918
Stephenson_1        	2092476769192945536	0	1	 0.504268031177670162	284.1253723	+35.3847843	    1.18729470	0.04470611	   -2.88654549	0.05082682	 5.1727e-02	   2.71785543	0.04532046	 1.03329290	0	 16.809550	  2.828458	            	            	  0.52385503	  0.47944080	  0.56877876
Stephenson_1        	2092904754093542656	1	1	 0.506484290818164484	284.6675505	+36.2780285	    1.32436179	0.07658307	   -2.89853474	0.08829366	 1.2536e-01	   2.86152715	0.07181597	 1.06572620	0	 17.706158	  2.964605	            	            	  0.36202547	  0.32929668	  0.44717061
Stephenson_1        	2092906712598661120	1	1	 0.529557749174102921	284.7522398	+36.3503036	    0.93684994	0.04309083	   -3.26969510	0.05197669	 8.7928e-02	   2.73322980	0.04016865	 1.05297220	0	 16.716080	  2.528767	            	            	  0.54459844	  0.49518947	  0.58006462
Stephenson_1        	2093048854534279040	0	0	 0.473824612326030903	282.6770600	+34.3282626	    0.60861756	0.27111757	   -3.37358437	0.28441304	-1.5353e-01	   2.67281186	0.24062473	 0.98374146	0	 19.379232	  3.488348	            	            	  0.17662857	  0.13884830	  0.19639929
Stephenson_1        	2093072670133759872	0	0	 0.479636783691238744	282.5269336	+34.6478369	    0.73455962	0.12020657	   -3.15494993	0.12654907	-9.5963e-02	   2.65214375	0.11579741	 1.03465900	0	 18.203604	  3.064165	            	            	  0.29384097	  0.23184407	  0.33193341
Stephenson_1        	2093075517691808384	0	0	 0.520570973076421639	282.6182078	+34.6748854	    0.86686041	0.08530562	   -3.02734898	0.09933101	-1.3885e-01	   2.75859586	0.08280376	 0.90440905	0	 17.704205	  3.245569	            	            	  0.36202547	  0.32929668	  0.44717061
