#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:25:42 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:25:42	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Stock_7	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Stock_7             	 458187145497801728	0	0	 0.499721010169649094	38.49203067	+58.2526397	   -3.28170934	0.07947569	   -0.06003630	0.07509183	-5.6548e-02	   1.44894560	0.08689288	 0.98864350	0	 17.592873	  2.077063	            	            	  0.72051142	  0.70470809	  0.74852496
Stock_7             	 459053736763113984	0	0	 0.488952266502186261	37.63789287	+59.1376026	   -3.55988821	0.01257838	   -0.08245839	0.01252619	-9.4160e-02	   1.44691691	0.01350027	 0.94329340	0	 13.387189	  1.071367	   -9.719808	    7.172150	  1.62030130	  1.55599080	  1.68230325
Stock_7             	 459066690376245120	0	0	 0.499506534084524001	37.75424138	+59.4118744	   -3.97406566	0.02200403	    0.30493952	0.02253884	-8.8165e-02	   1.42029364	0.02461700	 1.02769920	0	 15.065062	  1.508215	  -35.433250	   12.194958	  1.15279909	  1.11612041	  1.18699456
Stock_7             	 459066690383407232	0	0	 0.487556304718963884	37.75300944	+59.4117324	   -3.75657138	0.02315374	    0.15325127	0.02390099	-6.5115e-02	   1.38784452	0.02568108	 0.99360030	0	 15.205855	  1.506710	            	            	  1.12060798	  1.08009193	  1.15305892
Stock_7             	 459271646223389184	0	0	 0.486628087313824786	37.03226754	+59.5669498	   -3.14237775	0.04590796	    0.71575653	0.04927658	 3.3941e-02	   1.43182171	0.05057737	 0.95135266	0	 16.635637	  1.718530	            	            	  0.84332346	  0.81969865	  0.88237358
Stock_7             	 459284221887618560	0	1	 0.611829123668915287	36.41511158	+59.6584679	   -3.46150819	0.03811800	    0.35539953	0.04068715	-1.2328e-01	   1.46096041	0.04221267	 1.02668700	0	 16.025858	  1.611257	            	            	  0.94261540	  0.91867975	  0.99075012
Stock_7             	 459291368713084416	1	1	 0.636720525234619861	36.77307336	+59.8518181	   -3.48398605	0.02016866	    0.08924070	0.02285154	 5.1618e-03	   1.48069901	0.02198007	 0.98720550	0	 15.024138	  1.378877	   -8.884274	    9.551114	  1.16124180	  1.12504051	  1.19405401
Stock_7             	 459348779535098496	1	1	 0.730428729560679946	36.27050387	+60.1482675	   -3.62170700	0.11292268	    0.48746893	0.11843351	-2.1249e-02	   1.42060727	0.12952560	 0.95639410	0	 18.171303	  2.439243	            	            	  0.67605014	  0.65478493	  0.71185978
Stock_7             	 459361526998593536	1	1	 0.545857642128818821	36.25764007	+60.2644680	   -3.59751460	0.12693118	    0.41621165	0.12217190	-3.0248e-02	   1.31487407	0.14660570	 1.06076690	0	 18.228750	  2.446117	            	            	  0.67080937	  0.63935242	  0.69790533
Stock_7             	 464114960582475776	0	0	 0.489139928102868160	41.22752484	+59.1503767	   -3.59991904	0.05547525	    0.38970300	0.05296789	-1.7517e-01	   1.46744262	0.06584008	 0.97396910	0	 16.925608	  1.992413	            	            	  0.79976516	  0.77962302	  0.83700395
Stock_7             	 464245110969940096	0	0	 0.499721010169649094	38.71086008	+58.9134286	   -3.60999369	0.17705612	    0.09346842	0.17535983	-1.7623e-01	   1.46179961	0.21198654	 0.96277960	0	 18.852942	  2.744631	            	            	  0.61126887	  0.59315738	  0.63567360
Stock_7             	 464291500911547008	0	1	 0.616869652316230588	39.65126699	+59.5758890	   -3.27192019	0.08125436	    0.08809847	0.08713940	-2.8201e-01	   1.40402817	0.09245163	 1.04262590	0	 17.481470	  2.318457	            	            	  0.73041564	  0.71194253	  0.75924753
Stock_7             	 464291500917971456	0	1	 0.560986854700006643	39.65044512	+59.5751220	   -3.40392839	0.05194560	    0.42184032	0.06018179	-2.3086e-01	   1.49758440	0.06035984	 0.97736240	0	 16.877780	  2.005479	            	            	  0.80647241	  0.78553333	  0.83999086
Stock_7             	 464334210072872832	0	1	 0.609639690565082826	41.04610065	+59.5073762	   -3.19336443	0.01105331	    0.37220098	0.01184998	-1.2358e-01	   1.43100222	0.01337379	 1.13800750	0	 13.102711	  1.119284	            	            	  1.73366684	  1.65909841	  1.80841083
Stock_7             	 464342039793287168	0	0	 0.495869723972525378	41.40642700	+59.6671212	   -3.17662986	0.08253168	    0.55863396	0.07751190	-2.6922e-01	   1.38718275	0.09752905	 0.98971623	0	 17.562626	  2.174999	            	            	  0.72390706	  0.70726382	  0.75154567
