#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:25:46 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:25:46	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Teutsch_35	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Teutsch_35          	2045182818412981248	0	0	 0.469120860675614815	292.4522839	+32.4639951	   -0.18658530	0.11526567	   -2.71898307	0.13677701	-4.3220e-02	   2.06823639	0.11672164	 0.99325390	0	 18.455324	  2.470459	            	            	  0.44711116	  0.43508161	  0.46894784
Teutsch_35          	2045527725764038656	0	0	 0.454437990077743548	293.7065303	+32.7777007	   -0.59550827	0.13886888	   -3.20566207	0.17895076	-1.0392e-01	   1.93663862	0.15123355	 1.02988670	0	 18.617815	  2.511862	            	            	  0.42844063	  0.41312482	  0.45112612
Teutsch_35          	2045691690444194432	0	0	 0.486153238969971646	293.5319271	+33.2733200	   -0.23423217	0.36319688	   -2.49055082	0.46206570	-1.3379e-01	   2.03648679	0.34637895	 1.03942950	0	 19.939177	  2.154472	            	            	  0.28043948	  0.26494836	  0.32109425
Teutsch_35          	2045720136003968896	0	0	 0.487014994993036410	293.6739995	+33.7214155	   -0.56269947	0.16952506	   -2.07734821	0.18551524	-2.5495e-02	   1.96851176	0.17142285	 1.01130500	0	 18.880050	  2.698795	            	            	  0.39935172	  0.38917289	  0.43042817
Teutsch_35          	2045726840464373376	0	0	 0.482287129362000189	293.9359623	+33.6588423	   -0.62910025	0.85088260	   -3.01138692	1.59744290	-1.3403e-01	   1.96803767	0.89476970	 1.02711200	0	 20.604030	  1.479799	            	            	  0.21788383	  0.20355417	  0.25525327
Teutsch_35          	2045756626048016640	0	0	 0.491788239105978464	293.8290291	+34.0410969	   -0.29720798	0.10091548	   -2.85429214	0.12946746	-4.5547e-02	   2.05979180	0.10425302	 1.22578410	0	 17.783949	  2.365536	            	            	  0.51964920	  0.50700021	  0.52503275
Teutsch_35          	2045951724945024000	0	0	 0.455288737584274184	292.3007109	+32.8344051	   -0.97463400	0.15358098	   -2.70107224	0.15611360	-6.9538e-02	   1.88782497	0.14695808	 1.79201650	0	 17.974148	  2.164894	            	            	  0.50030640	  0.48973607	  0.51024491
Teutsch_35          	2046350091739417856	0	0	 0.456968775860228715	292.5286542	+33.2202985	   -1.02902597	0.54780350	   -3.05944991	0.89678960	-2.7055e-01	   2.03320074	0.59276044	 1.03349260	0	 20.401318	  1.313433	            	            	  0.23554719	  0.22155624	  0.27362179
Teutsch_35          	2046376200845224576	0	0	 0.486670147321647095	292.6378962	+33.3742494	   -0.75628208	0.01350542	   -2.95803558	0.01543280	-5.1939e-02	   1.94991054	0.01366120	 1.00174900	0	 11.589112	  0.548834	   -3.317539	    4.398692	  1.50003486	  1.46920961	  1.53267318
Teutsch_35          	2046380122165315840	0	1	 0.561957074903215115	292.7664815	+33.5687766	   -0.75094433	0.06180625	   -2.97168427	0.06511799	-1.9669e-01	   2.03830247	0.05876399	 0.98963340	0	 17.159216	  2.138399	            	            	  0.57973794	  0.56184581	  0.59965997
Teutsch_35          	2046430596617454720	0	0	 0.449228971252185583	292.4915508	+33.6424174	   -1.17281285	0.54011524	   -2.72626180	0.59932417	-1.1764e-01	   2.04567689	0.49356040	 1.03900200	0	 20.228140	  1.953730	            	            	  0.25067605	  0.23695355	  0.29035823
Teutsch_35          	2046443309726407552	0	1	 0.532270344278178542	292.5307296	+33.8813869	   -0.53643458	0.02086589	   -2.90205457	0.02241241	-1.1622e-01	   1.98661741	0.02114966	 1.01285210	0	  9.569769	  0.026855	   -4.768345	    2.382932	  2.53273560	  2.39909798	  2.63354993
Teutsch_35          	2046447535974048768	0	1	 0.542159817658071752	292.2906616	+33.7871527	   -0.64085895	0.04651159	   -2.94591166	0.05322491	 1.0991e-02	   2.00778764	0.05069712	 1.01107780	0	 16.836317	  1.962628	            	            	  0.61100217	  0.59334644	  0.63102171
Teutsch_35          	2046473030897927808	0	1	 0.532281089164741039	293.3773154	+33.7366452	   -0.90293881	0.07225760	   -2.73593554	0.08969793	 3.2896e-02	   1.89555296	0.08021674	 1.05074270	0	 17.338970	  2.376055	            	            	  0.56339495	  0.54174310	  0.57548513
