#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:25:55 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:25:55	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Theia_13	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Theia_13            	3216756408207566080	1	0	 0.665933988804895849	83.20171722	-2.89265956	   -0.36286851	0.03035252	    0.08750803	0.02204954	-1.8371e-02	   2.40642564	0.03330007	 1.03208920	0	 15.457134	  2.085429	  -26.139790	   17.809563	  0.70709980	  0.67200552	  0.74869084
Theia_13            	3216813376653741184	1	1	 0.643086419452708835	83.29675624	-2.68491812	   -0.26542229	0.01952239	    0.23184413	0.01576231	-1.4473e-01	   2.40908062	0.01821771	 0.96864870	2	 10.982724	  0.438417	   30.556450	    2.598814	  1.84085974	  1.75065040	  2.05966644
Theia_13            	3216833133503108096	1	1	 0.664724438089331571	82.92767839	-2.53679165	   -0.26704431	0.02475747	    0.27780021	0.02049188	-6.0607e-02	   2.36117732	0.02701826	 1.03409610	0	 15.016358	  1.915799	   32.688725	    7.539637	  0.73954742	  0.70734101	  0.80594751
Theia_13            	3216922881139176192	1	1	 0.746117772983784899	83.46806577	-2.35426036	   -0.04952730	0.07210965	   -0.10772505	0.06504189	-2.3700e-01	   2.45876481	0.07683571	 1.08312020	0	 16.938972	  3.282408	            	            	  0.42881703	  0.37030420	  0.47845184
Theia_13            	3216934322930238720	1	1	 0.743845344887035353	83.38989733	-2.30745602	    0.26321378	0.08263288	    0.04008958	0.06103754	-5.7054e-01	   2.35872398	0.06879388	 1.48840870	0	 15.123342	  2.068199	            	            	  0.73141083	  0.69809090	  0.77386120
Theia_13            	3216936178357916288	1	1	 0.692366425112590167	83.41997587	-2.25895487	   -0.37480764	0.01500521	    0.28936062	0.01301372	-1.3799e-01	   2.38143945	0.01544935	 1.23839800	0	 13.284242	  1.350528	   28.909746	    4.970180	  1.23353055	  1.18599110	  1.31565691
Theia_13            	3216940748203335808	1	1	 0.927804040742569391	83.35232395	-2.18917965	    0.01845073	0.05412878	    0.04634042	0.04358224	-1.5893e-01	   2.37010314	0.05536700	 1.25907910	0	 15.258573	  2.372391	            	            	  0.72066000	  0.68769652	  0.75592564
Theia_13            	3216941229239464832	1	1	 0.771855961880532515	83.27956985	-2.18755732	   -0.01797594	0.17254643	    0.16018524	0.14775977	-1.3073e-01	   2.46317010	0.18510361	 1.03035960	0	 18.417156	  3.654154	            	            	  0.23133708	  0.19735485	  0.26972979
Theia_13            	3216942255736777856	1	1	 0.859435896773400265	83.31222361	-2.11333931	    0.13598113	0.17578435	    0.12709836	0.16022116	-1.4160e-01	   2.40109516	0.20684765	 1.08146500	0	 18.401459	  3.176529	            	            	  0.23375630	  0.19735485	  0.27265617
Theia_13            	3216961123527954816	1	1	 0.707425891704249188	83.45526977	-2.17329488	    0.45927278	0.12652238	   -0.56298527	0.10926589	-1.9861e-01	   2.41461254	0.12929478	 1.01380700	0	 17.954945	  3.148621	            	            	  0.28594824	  0.23792880	  0.31751738
Theia_13            	3216975176658905472	1	1	 0.681558017031959507	83.58176605	-1.89959842	   -0.12577593	0.14311500	   -0.36900020	0.12371214	-6.7320e-01	   2.48710251	0.12231742	 0.96497130	0	 17.285576	  3.195507	            	            	  0.37457622	  0.31987548	  0.42049075
Theia_13            	3217029636846811264	1	1	 0.840421812257803102	82.75818206	-2.28722448	    0.21061884	0.07385002	   -0.49836574	0.05866935	-1.2832e-01	   2.37305034	0.08181273	 0.98395760	0	 17.083580	  2.864109	            	            	  0.40847673	  0.34508984	  0.45288077
Theia_13            	3217044308454941440	1	1	 0.729728023912876833	82.55701839	-2.24831649	   -0.14241080	0.03952052	   -0.19443089	0.02975713	 3.7678e-02	   2.35338017	0.04495147	 1.11015580	0	 15.969646	  2.706424	            	            	  0.61633717	  0.58168549	  0.71708567
Theia_13            	3217119139668567424	1	1	 0.897055384145610368	82.98082522	-2.31735683	    0.02924721	0.01449736	   -0.28047311	0.01251742	-2.1723e-01	   2.39701983	0.01609218	 1.03334200	0	 11.697573	  1.035928	   27.105392	    4.019044	  1.66081275	  1.52152996	  1.83904078
