#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:26:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:26:26	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Trumpler_10	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Trumpler_10         	5259046377174249856	0	0	 0.399099384908160770	153.0488844	-56.4485960	  -15.95834646	0.30372524	    3.37545704	0.27621410	-7.2742e-02	   2.53637202	0.26818890	 0.98807030	0	 19.541052	  2.946201	            	            	  0.21599777	  0.17101639	  0.23427214
Trumpler_10         	5259878089000834816	0	0	 0.415221324286138949	150.7773959	-55.7877101	  -15.82547802	0.06889705	    3.88741555	0.06196579	 1.7442e-01	   2.54828231	0.05640639	 1.17159660	0	 16.897276	  2.566382	            	            	  0.58859209	  0.56948874	  0.62612504
Trumpler_10         	5259973677796527744	0	0	 0.397676760554387498	150.3962488	-55.8268985	  -15.68290625	0.01269294	    3.94734921	0.01069524	 2.1294e-01	   2.53761001	0.01052204	 0.93486214	0	 12.384311	  0.790196	   11.507988	    2.601256	  1.21864406	  1.18994519	  1.24346979
Trumpler_10         	5259991373061455360	0	0	 0.397891646042944580	150.0414550	-55.6391265	  -15.65271656	0.02450528	    4.03211165	0.02187444	 1.4272e-01	   2.53242920	0.02096352	 1.00406780	0	 15.104474	  1.571362	   10.070875	    5.954465	  0.76680239	  0.73875477	  0.79693948
Trumpler_10         	5260051674404145152	0	0	 0.388610468442900481	149.1207366	-55.5073302	  -14.70225392	0.03741772	    3.21503043	0.03518764	 1.7009e-01	   2.29085334	0.02886517	 0.98757590	0	 15.747598	  1.778057	            	            	  0.71766530	  0.69970585	  0.73023464
Trumpler_10         	5260074794199821696	0	0	 0.399099384908160770	150.9161445	-55.5478916	  -15.81495210	0.14855110	    4.15519322	0.14143513	 2.8537e-01	   2.52002113	0.12173250	 1.06658390	0	 18.284897	  3.228411	            	            	  0.36516192	  0.31028980	  0.41155303
Trumpler_10         	5307671587413037184	0	0	 0.388610468442900481	148.3483356	-56.0657720	  -14.48874289	0.08102225	    3.33581535	0.08543053	 1.2472e-01	   2.26194796	0.07579242	 1.08679490	0	 17.242567	  2.570124	            	            	  0.54161528	  0.50365962	  0.56725473
Trumpler_10         	5307764702306222336	0	0	 0.388610468442900481	147.2851453	-55.3336850	  -14.15663948	0.34319437	    3.85975580	0.33756685	 8.6853e-02	   2.20366972	0.26760480	 1.00908500	0	 19.517588	  3.115503	            	            	  0.21765856	  0.17243672	  0.23706539
Trumpler_10         	5307968975262292480	0	0	 0.388610468442900481	146.7921573	-55.1567847	  -14.15444001	0.01533497	    3.61254931	0.01302621	 1.4092e-01	   2.20045891	0.01300576	 1.01243440	0	 13.841415	  1.001366	   14.273505	    4.955454	  0.93515301	  0.87830904	  0.95886559
Trumpler_10         	5308029581525415808	0	0	 0.388610468442900481	146.6896719	-54.8220405	  -14.27956744	0.08959437	    3.79293050	0.08144112	-9.3721e-02	   2.28705589	0.06940784	 1.04610400	0	 17.353436	  2.484949	            	            	  0.52297335	  0.48057446	  0.55043020
Trumpler_10         	5308029585837215232	0	0	 0.388610468442900481	146.6841408	-54.8210022	  -14.32842464	0.18712800	    3.44925081	0.16608348	-2.5156e-02	   2.28305263	0.14672640	 1.06462880	0	 18.517820	  2.727497	            	            	  0.32990720	  0.26475803	  0.36072256
Trumpler_10         	5308050991960042112	0	0	 0.388610468442900481	146.1812428	-54.5955831	  -13.81758087	0.01861962	    4.14730993	0.01697344	 9.1352e-02	   2.27059037	0.01579318	 1.34610860	0	 12.863286	  0.813346	   17.864317	    2.463339	  1.12253491	  1.09648126	  1.15085192
Trumpler_10         	5308078857708588544	0	0	 0.388610468442900481	148.1809357	-55.4539356	  -14.77927798	0.04241084	    3.29818436	0.04076591	 1.3728e-01	   2.27253926	0.03953331	 1.05533650	0	 16.407557	  2.456751	            	            	  0.65802638	  0.62828005	  0.67888062
Trumpler_10         	5308170598206386432	0	0	 0.399711432943294587	148.4891780	-54.8409199	  -15.65681928	0.17348357	    4.88978409	0.16614044	-2.0577e-02	   2.52345811	0.15020420	 1.34721900	0	 18.281988	  3.339850	            	            	  0.36557186	  0.31028980	  0.41214854
