#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:26:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:26:35	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=UBC_10b	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
UBC_10b             	2203613995783006848	0	1	 1.000000000000000000	327.0067020	+60.5162092	   -3.53589239	0.10753903	   -2.00970721	0.09049816	-1.5689e-01	   1.02737121	0.08698358	 2.08028030	0	 16.172848	  1.758213	            	            	  1.01123425	  0.97665597	  1.05617413
UBC_10b             	2203621451845976448	0	1	 0.958117140399351808	326.5590947	+60.4529677	   -3.42724586	0.02168284	   -2.07139405	0.01781787	 1.2761e-01	   1.00108566	0.01667547	 0.97688380	0	 14.392968	  1.433913	            	            	  1.43044276	  1.39275365	  1.51324543
UBC_10b             	2203622959371602816	0	1	 1.000000000000000000	326.5252706	+60.5480991	   -3.46320318	0.14730749	   -2.11962981	0.11405937	 1.5125e-03	   1.03006739	0.12146714	 1.10608650	0	 18.202974	  2.439882	            	            	  0.71515168	  0.69524639	  0.74212554
UBC_10b             	2203623513430344448	0	1	 0.991270056394225829	326.6030575	+60.5965392	   -3.82890720	0.09133061	   -2.03046370	0.07695170	-2.6168e-01	   1.03637035	0.07264940	 0.97743726	0	 17.261976	  2.060965	            	            	  0.82712903	  0.79534226	  0.85970385
UBC_10b             	2203625231411661184	0	1	 1.000000000000000000	326.7984318	+60.5726589	   -3.61462095	0.40432003	   -1.94735837	0.32899110	-1.5983e-01	   0.98649327	0.32799980	 1.01245870	0	 19.440752	  1.928755	            	            	  0.59732681	  0.57006393	  0.62106359
UBC_10b             	2203627494855737984	1	1	 1.000000000000000000	327.0680901	+60.6491475	   -3.39031733	0.01817639	   -1.95447293	0.01681343	-2.0052e-01	   1.03250393	0.01390909	 1.04491300	0	 13.284432	  0.971482	            	            	  1.85393577	  1.74358643	  1.95951108
UBC_10b             	2203631897206749056	1	1	 1.000000000000000000	326.9584455	+60.7470518	   -3.70948191	0.06311303	   -1.93587773	0.06449112	-1.3567e-01	   1.07177668	0.05690968	 1.05874690	0	 16.809702	  1.970720	            	            	  0.89571752	  0.85868947	  0.93292738
UBC_10b             	2203636570131532672	1	1	 0.977830629127989126	327.5900324	+60.6670240	   -3.43125801	0.04015434	   -1.94818594	0.02900881	-8.8473e-02	   0.98255444	0.02957095	 1.06018040	0	 15.721572	  1.872165	            	            	  1.10801029	  1.07140392	  1.15411482
UBC_10b             	2203640658940386304	1	1	 1.000000000000000000	327.4856347	+60.7312492	   -3.30450472	0.01546216	   -1.91467697	0.01267257	-1.2288e-01	   1.00272680	0.01182405	 0.97546500	0	 13.568937	  1.110477	            	            	  1.72091018	  1.63629726	  1.81213656
UBC_10b             	2203648836558419200	1	1	 1.000000000000000000	327.9212312	+60.9371725	   -3.39041201	0.33265996	   -1.78575364	0.28790720	 4.3328e-02	   1.02446824	0.30490538	 1.01146820	0	 19.633123	  2.827219	            	            	  0.57323982	  0.55188446	  0.59692221
UBC_10b             	2203654707768844032	1	1	 1.000000000000000000	327.0642591	+60.7626553	   -3.58054021	0.11856508	   -1.93097220	0.12032036	-9.1681e-02	   1.02857690	0.10584699	 1.01090340	0	 17.897099	  2.505119	            	            	  0.74285298	  0.71488794	  0.76528589
UBC_10b             	2203654883871956480	1	1	 1.000000000000000000	327.0823825	+60.7873848	   -3.56993160	0.01771675	   -1.89551666	0.01885053	-8.9183e-02	   1.04694563	0.01553626	 1.00830860	0	 14.284083	  1.348527	            	            	  1.46282721	  1.41392812	  1.53722187
UBC_10b             	2203658869601847680	1	1	 0.982002765265180377	327.5280980	+60.8381110	   -3.72638843	0.09496862	   -2.10508729	0.08360792	 1.6664e-02	   0.99038524	0.07977930	 0.99760570	0	 17.750774	  2.571060	            	            	  0.75917295	  0.73730711	  0.78983557
UBC_10b             	2203659728595301760	1	1	 1.000000000000000000	327.6180588	+60.9226661	   -3.42670020	0.01514496	   -1.94612432	0.01289832	-1.2756e-01	   1.01617878	0.01224789	 0.96280740	0	 13.685265	  1.065222	            	            	  1.67296073	  1.59357290	  1.75762369
UBC_10b             	2203662305575819904	1	1	 1.000000000000000000	327.6914975	+61.0026365	   -3.41141892	0.01863568	   -1.86082201	0.01661360	-1.2794e-01	   1.02325400	0.01528892	 1.02941660	0	 14.419469	  1.315149	  -33.449425	   11.216926	  1.42218969	  1.36368418	  1.48509133
