#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:26:31 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:26:31	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=UBC_168	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
UBC_168             	2198096990023662336	0	1	 0.579726900159925673	329.7847100	+55.9010056	    0.90914246	0.25410718	    0.97547125	0.19517820	-3.8192e-02	   0.99785918	0.21062252	 0.97204970	0	 19.060673	  2.455755	            	            	  0.61712106	  0.59334802	  0.63283785
UBC_168             	2198120492099203968	0	1	 0.665508003592170660	329.6112229	+55.8992895	    1.16068168	0.01386629	    1.19814636	0.01097025	-1.9289e-01	   1.02048941	0.01150709	 1.02710320	0	 13.247066	  0.855757	            	            	  1.83059416	  1.74375598	  1.92193623
UBC_168             	2198139213845245184	0	1	 0.656311111429325633	329.4228432	+56.1504905	    1.43096105	0.27163428	    1.23247262	0.21045785	-2.1116e-01	   1.01038166	0.22575107	 0.91452783	0	 19.293041	  1.979063	            	            	  0.59172513	  0.57169356	  0.60987780
UBC_168             	2198139630474829568	0	1	 0.579352786832756816	329.0932479	+56.0243317	    1.01800689	0.03007088	    1.36818604	0.02906341	-2.1159e-01	   1.05871802	0.02554147	 1.47002510	0	 11.121530	  0.571932	  -26.889126	   12.924993	  3.41513154	  3.09496153	  3.59889827
UBC_168             	2198155500366107264	0	1	 0.645337054339666816	330.2546216	+56.2502052	    1.32944901	0.19733538	    1.48217760	0.18279427	-1.5234e-01	   0.96136195	0.16118813	 1.02355850	0	 18.877102	  2.443987	            	            	  0.63636906	  0.60784855	  0.64781488
UBC_168             	2198157738056332928	0	1	 0.665508003592170660	329.9697773	+56.2470807	    1.39457967	0.01453293	    1.33594841	0.01395104	-1.2515e-01	   1.05577771	0.01274329	 0.91401880	0	 13.989945	  1.231057	            	            	  1.53756169	  1.47732573	  1.59369108
UBC_168             	2198162342260902912	0	1	 0.665508003592170660	329.4769946	+56.1316199	    1.19928547	0.03599201	    1.16084509	0.03364229	-1.9046e-01	   1.06253110	0.03164169	 0.96940170	0	 15.944514	  1.437693	            	            	  1.04712413	  1.01228653	  1.07409774
UBC_168             	2198162548419328128	0	1	 0.661475142781489445	329.4954068	+56.1576581	    1.15606001	0.07375964	    1.47025856	0.07344779	-1.8431e-01	   1.01232500	0.06979147	 0.99525290	0	 17.518217	  1.861797	            	            	  0.78726246	  0.76599481	  0.81013291
UBC_168             	2198164197680713344	0	1	 0.587351574495325379	329.7833817	+56.2559333	    0.97815658	0.07918221	    0.73760670	0.07407252	-1.0422e-01	   0.89842928	0.06617489	 3.08561850	0	 15.486540	  1.368957	            	            	  1.14077816	  1.10202158	  1.16976785
UBC_168             	2198165022320652032	0	1	 0.665508003592170660	329.6396318	+56.2688721	    1.36443668	0.02734148	    1.33210942	0.02577686	-1.2316e-01	   1.05218219	0.02459088	 1.06261310	0	 15.415816	  1.611314	            	            	  1.15478492	  1.11700974	  1.18592634
UBC_168             	2198169386000915584	0	1	 0.665508003592170660	329.5833755	+56.3759189	    0.99779136	0.16642283	    1.11532235	0.16029938	-1.6329e-01	   0.97956625	0.14322740	 1.09239110	0	 18.406770	  2.498270	            	            	  0.68477166	  0.66818422	  0.70164440
UBC_168             	2198169656577615488	0	1	 0.609227984858051630	329.6979372	+56.4074000	    1.01949080	0.11903870	    0.76522972	0.10913689	-1.1090e-01	   0.96059388	0.10221868	 1.06928600	0	 18.138620	  2.383041	            	            	  0.71219751	  0.69308144	  0.72498468
UBC_168             	2198170966555563520	0	1	 0.665508003592170660	329.9176845	+56.3648979	    1.06131735	0.01796005	    1.07880923	0.01625007	-1.0467e-01	   0.98597298	0.01556803	 0.97688500	0	 14.384452	  1.265385	            	            	  1.41374410	  1.35961217	  1.45749316
UBC_168             	2198176326674862848	0	1	 0.665508003592170660	329.8517036	+56.5126642	    1.32675285	0.03509556	    1.11609408	0.02862138	-7.5194e-02	   1.03437227	0.02846464	 1.03589570	0	 15.683437	  1.526057	            	            	  1.09855447	  1.08088271	  1.14886689
UBC_168             	2198187321788401536	0	1	 0.578228743998088879	330.8435355	+56.2148748	    1.19376405	0.12396935	    1.48267682	0.12840486	-1.8500e-01	   0.95143974	0.10453688	 1.07620700	0	 18.091108	  2.174034	            	            	  0.71735312	  0.70283642	  0.73465011
