#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:26:36 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:26:36	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=UBC_17a	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
UBC_17a             	3216133053832757632	1	1	 1.000000000000000000	84.37896572	-2.39522875	    1.75725843	0.03412046	   -1.31266209	0.02724591	-2.8034e-01	   2.78430976	0.03328384	 1.14169940	0	 15.426189	  1.892162	            	            	  0.57685232	  0.52789396	  0.60710644
UBC_17a             	3216439542699331712	1	1	 0.988363114827010891	84.96819019	-2.60412802	    1.79510322	0.03754347	   -1.41549188	0.03242297	-3.2288e-01	   2.74146714	0.04152767	 1.04267380	0	 15.700268	  2.566915	            	            	  0.52284636	  0.47116165	  0.55120305
UBC_17a             	3216447823396250368	1	1	 1.000000000000000000	85.05454778	-2.51478876	    1.79150525	0.02390379	   -1.35920809	0.02169682	-2.3021e-01	   2.73496181	0.02789819	 1.04223010	0	  9.214358	  0.032096	   16.379915	    2.836877	  2.60251944	  2.44220441	  2.63562382
UBC_17a             	3216488986362846208	1	1	 1.000000000000000000	84.82531469	-2.49126147	    1.96281298	0.01452929	   -1.30140064	0.01245799	-2.5816e-01	   2.72153051	0.01451035	 1.04709890	0	 12.280917	  1.182271	   19.342623	    5.043985	  1.46702287	  1.42930740	  1.51755766
UBC_17a             	3216492250538131200	1	1	 0.985681620881763920	84.79932117	-2.46139848	    2.01410908	0.06627075	   -1.57368182	0.06330169	-2.3128e-01	   2.71151547	0.07270917	 1.05962190	0	 16.622051	  2.921531	            	            	  0.37487951	  0.33878625	  0.39397473
UBC_17a             	3216498057333723520	1	1	 1.000000000000000000	84.97852462	-2.32500447	    1.97590641	0.02357014	   -1.50922710	0.01910840	-9.3748e-02	   2.72002148	0.02435745	 1.15599320	0	 14.593712	  1.955627	   16.607070	    6.598216	  0.71667748	  0.69809090	  0.73134648
UBC_17a             	3216499947119356032	1	1	 1.000000000000000000	84.85236356	-2.34560199	    1.82700922	0.01589821	   -1.24479574	0.01327173	-4.1184e-02	   2.70726531	0.01603900	 1.05145010	0	 13.414237	  1.589124	   40.683460	    3.521381	  1.03579950	  0.95023452	  1.08577930
UBC_17a             	3216505066720270208	1	1	 0.989750507839672333	84.59724401	-2.42628529	    1.76833564	0.07324021	   -1.35048026	0.06248851	-6.5532e-02	   2.77269041	0.07613988	 1.03774900	0	 16.970346	  2.683221	            	            	  0.32362609	  0.29466111	  0.34156530
UBC_17a             	3216511182753680512	1	1	 1.000000000000000000	84.55883291	-2.26660682	    1.92258649	0.01408480	   -1.36958681	0.01273303	-2.8765e-01	   2.73600171	0.01644340	 0.83373207	0	 10.313881	  0.731503	   21.494303	    0.694677	  2.03230267	  1.93115353	  2.13530953
UBC_17a             	3216512007387382912	1	1	 1.000000000000000000	84.78870234	-2.32028683	    1.82609821	0.03278802	   -1.55666742	0.03185794	-2.0805e-01	   2.71470656	0.03578610	 1.06789930	0	 15.260055	  2.293332	   12.157643	   10.631682	  0.60364588	  0.55941191	  0.63524279
UBC_17a             	3216517264427361920	1	1	 1.000000000000000000	84.60430511	-2.22118226	    1.87698999	0.04770836	   -1.42628796	0.04464315	-2.6782e-01	   2.70524642	0.05753589	 1.13648320	0	 16.038284	  2.671279	            	            	  0.46003928	  0.42703651	  0.48831172
UBC_17a             	3216517706809394560	1	1	 1.000000000000000000	84.61071232	-2.20485987	    1.86318716	0.03567859	   -1.41446648	0.03270598	-2.4923e-01	   2.72311366	0.04100247	 1.26449480	0	 15.397775	  1.861980	            	            	  0.58175236	  0.54582035	  0.62275872
UBC_17a             	3216518226500019968	1	1	 0.977618960142977111	84.71966276	-2.20649834	    1.62116684	0.02980427	   -1.53948143	0.02693391	-2.8144e-01	   2.72235028	0.02994319	 1.07061460	0	 15.250380	  2.677307	   26.617410	    7.303647	  0.60850560	  0.55941191	  0.63855211
UBC_17a             	3216519665313490176	1	1	 1.000000000000000000	84.71768459	-2.13609061	    1.83026733	0.08161821	   -1.46858975	0.07160550	-2.3788e-01	   2.73373854	0.08403398	 1.03168600	0	 17.232996	  3.340652	            	            	  0.29198986	  0.26927179	  0.31396226
