#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:27:38 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:27:38	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=UPK_626	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
UPK_626             	5981332500514311552	0	1	 1.000000000000000000	238.7590843	-51.5852615	   -7.95332221	0.68075126	   -5.30824759	0.53430720	 7.8450e-02	   1.89058830	0.63104670	 0.99013100	0	 20.256733	  2.604208	            	            	  0.28231422	  0.25337204	  0.31384358
UPK_626             	5981333638687794432	0	1	 1.000000000000000000	238.6403592	-51.5571110	   -7.16188373	0.05566400	   -4.87573826	0.04572062	-1.3412e-01	   1.84816377	0.05925599	 1.06915520	0	 16.465057	  1.797200	            	            	  0.69119045	  0.67152652	  0.71080940
UPK_626             	5981727744883413248	0	1	 1.000000000000000000	239.0928672	-51.0083285	   -7.75138476	0.10922056	   -5.77368299	0.09631654	-1.2279e-01	   2.10616690	0.10727583	 1.05264460	0	 17.621887	  2.368998	            	            	  0.57792009	  0.55771717	  0.59638135
UPK_626             	5981742927579414400	1	1	 1.000000000000000000	239.8834076	-50.8495971	   -7.73502094	0.12869339	   -5.90913163	0.10504175	-3.0175e-02	   2.03709194	0.13474326	 1.10408940	0	 17.805145	  2.530481	            	            	  0.55905856	  0.54048802	  0.57797944
UPK_626             	5981743756525855232	1	1	 1.000000000000000000	239.6771493	-50.9294932	   -7.34703642	0.35272866	   -5.55133716	0.23388115	 6.2754e-02	   1.89288916	0.35782602	 0.98026880	0	 19.225391	  2.618847	            	            	  0.40262516	  0.39199920	  0.43743211
UPK_626             	5981747329948943104	1	1	 1.000000000000000000	239.7366238	-50.7585559	   -7.44577414	0.02162554	   -5.72641414	0.01608334	-1.2388e-01	   1.97082617	0.01973348	 1.05038880	0	 14.133164	  1.190888	  -18.944979	    3.861732	  1.02972583	  0.99314688	  1.05743707
UPK_626             	5981759248458931584	1	1	 1.000000000000000000	239.5986417	-50.7104929	   -7.20561635	0.20482571	   -5.77231456	0.14854921	 3.5325e-03	   2.05640004	0.19627483	 1.01060830	0	 18.557198	  2.819374	            	            	  0.48237637	  0.46169337	  0.49683683
UPK_626             	5981760936405158272	1	1	 1.000000000000000000	239.5795181	-50.6150552	   -7.61199255	0.01535902	   -5.74893101	0.01235809	-6.0608e-02	   2.00526309	0.01451355	 0.87640977	0	 12.841627	  0.936000	  -16.100424	    3.696518	  1.30802822	  1.25749669	  1.34878210
UPK_626             	5981761378762699776	1	1	 1.000000000000000000	239.3943022	-50.7158625	   -7.90554760	0.16039190	   -5.63005867	0.11879359	-3.3235e-02	   1.98503445	0.14422984	 1.01575370	0	 18.210650	  2.656893	            	            	  0.51929225	  0.50858284	  0.53991399
UPK_626             	5981799728543612544	1	1	 1.000000000000000000	240.3041284	-50.5793467	   -6.85308789	0.02179087	   -5.69443298	0.02066029	-3.4761e-01	   1.98447642	0.01871587	 0.99290680	0	 13.995628	  1.162326	  -17.798544	    4.637250	  1.05617469	  1.01736526	  1.08448982
UPK_626             	5981832400339781632	1	1	 1.000000000000000000	240.5729118	-50.2703684	   -6.96458129	0.01627712	   -5.56858075	0.01408116	-1.3229e-01	   1.98306742	0.01541454	 0.99495214	0	 13.085870	  1.106196	  -20.735657	    5.197626	  1.24778376	  1.20857457	  1.28944063
UPK_626             	5981844430565723648	1	1	 1.000000000000000000	239.8327438	-50.5173654	   -7.32514239	0.02870879	   -5.93847915	0.02441470	-2.3264e-01	   1.93520634	0.02720579	 1.31031060	0	  9.869168	  0.336748	  -32.039670	    7.738287	  2.75614079	  2.56036365	  2.97146343
UPK_626             	5981845839314940416	1	1	 1.000000000000000000	240.0569900	-50.5882352	   -7.31981777	0.02144990	   -5.78334130	0.01653662	-2.6033e-01	   1.94527529	0.01744509	 1.02534300	0	 13.835537	  1.322817	    4.589942	    4.405114	  1.08748948	  1.04815134	  1.11926512
UPK_626             	5981850099922613632	1	1	 1.000000000000000000	240.0055825	-50.4384685	   -7.40830875	0.02651821	   -5.69813853	0.02060015	-3.0077e-01	   1.98429126	0.02291422	 0.99293800	0	 14.696348	  1.322488	  -15.947640	    4.272426	  0.92956917	  0.89294189	  0.94965733
