#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:27:43 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:27:43	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=ZHBJZ_1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
ZHBJZ_1             	3050731148850707328	0	0	 0.483392845993403930	103.6817647	-8.72499873	   -7.41620825	0.03504912	   -1.92300781	0.03508527	 6.3612e-02	   3.74885719	0.04102706	 1.04440340	0	 14.969921	  2.081860	            	            	  0.70409381	  0.67200111	  0.73127951
ZHBJZ_1             	3050836667608180736	0	1	 0.532735399460607217	105.0981210	-8.11955813	   -7.19322660	0.02192866	   -1.80320918	0.02467381	-1.7339e-02	   3.35105875	0.02219397	 1.10089090	0	 14.491682	  1.806631	            	            	  0.73477124	  0.70610633	  0.74835996
ZHBJZ_1             	3050899752087384448	0	1	 0.635595569961277862	104.7551195	-8.00579077	   -7.53373547	0.06083306	   -2.23884952	0.05708299	 7.0604e-03	   3.52353458	0.06108686	 0.96037640	0	 16.777080	  2.765574	            	            	  0.37629649	  0.30424121	  0.41747438
ZHBJZ_1             	3050935795453519360	0	1	 0.505868547935637736	103.3537906	-8.55911246	   -7.03207742	0.15728697	   -1.90017899	0.19864412	-2.8812e-01	   3.73433042	0.17006484	 1.03935640	0	 18.211466	  3.220934	            	            	  0.20563923	  0.16580843	  0.22757860
ZHBJZ_1             	3050936448288464128	0	0	 0.483721214686003542	103.5030630	-8.55461946	   -7.53881055	0.08280233	   -1.87090970	0.08088212	-2.0275e-01	   3.80625348	0.07491783	 1.17280900	0	 16.950815	  2.887484	            	            	  0.34812852	  0.28216602	  0.38716505
ZHBJZ_1             	3051020354771662720	0	0	 0.486942737916943924	103.3838458	-8.14725523	   -7.15893478	0.05549602	   -1.28171172	0.05626401	-1.8743e-01	   3.20201677	0.06237743	 0.96631260	0	 16.618347	  2.294425	            	            	  0.40379929	  0.32401732	  0.44696068
ZHBJZ_1             	3051021145045655680	0	1	 0.608540286262852281	103.3490278	-8.14014657	   -7.35320531	0.06802983	   -1.75403371	0.06972752	-2.5781e-01	   3.60569443	0.06966297	 1.04078510	0	 16.777359	  2.869678	            	            	  0.37629649	  0.30760276	  0.42217175
ZHBJZ_1             	3051027157999824000	0	0	 0.479027164222321722	103.4201883	-8.10085747	   -6.80428579	0.15046565	   -1.18832318	0.15092424	-1.8075e-01	   3.12904150	0.15870976	 0.98877627	0	 18.401766	  3.492485	            	            	  0.18911344	  0.15389251	  0.21022634
ZHBJZ_1             	3051046124575324032	0	1	 0.578908854058101108	103.3534880	-7.89869036	   -7.11706150	0.04472114	   -1.87687265	0.04622880	-2.7356e-01	   3.74411549	0.05580269	 1.02292880	0	 16.186280	  2.727428	            	            	  0.47850337	  0.38527950	  0.52663251
ZHBJZ_1             	3051057085331192832	0	1	 0.545957353949699575	104.2142699	-8.20845122	   -7.70116847	0.02926490	   -1.84731543	0.03241083	-2.4824e-01	   3.50218346	0.02809758	 1.19397020	0	 14.720880	  2.305104	   -6.845150	    6.047168	  0.71982760	  0.69728908	  0.73723620
ZHBJZ_1             	3051060688800580096	0	1	 0.563578115010310521	104.3332904	-8.05926881	   -7.03983771	0.23339780	   -1.95132956	0.22406305	-7.7307e-02	   3.39979112	0.20632790	 1.03884980	0	 18.687786	  3.694252	            	            	  0.16849142	  0.13543354	  0.18543740
ZHBJZ_1             	3051072787731303680	0	1	 0.503152905176056597	103.9465900	-8.03175907	   -6.92002683	0.02540158	   -1.64624269	0.02406366	-1.8495e-01	   3.26700134	0.02505191	 1.16529400	0	 14.655065	  1.838116	  110.425170	    8.564069	  0.72470210	  0.70206222	  0.74137863
ZHBJZ_1             	3051079797117777408	0	1	 0.722450307973171779	104.0279527	-7.91314011	   -7.47838783	0.09146951	   -1.98911456	0.09735286	-4.0880e-01	   3.60047928	0.08404980	 1.04230490	0	 17.215450	  3.047573	            	            	  0.31405297	  0.25657690	  0.34656549
ZHBJZ_1             	3051108070879327872	0	1	 0.578948005592580972	104.3037097	-7.70810178	   -7.61797381	0.14065365	   -1.97937555	0.13855897	-1.9099e-01	   3.28079369	0.16567886	 1.01276800	0	 18.063263	  3.419990	            	            	  0.21906426	  0.17608461	  0.24369140
