#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:27:44 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:27:44	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=vdBergh_80	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
vdBergh_80          	3002860508515965056	0	1	 0.831385458203744543	96.78841346	-10.1511373	   -3.51005521	0.07050651	    1.17274151	0.06821431	-8.7712e-02	   1.08107716	0.06791536	 0.98741126	0	 17.077251	  2.745156	            	            	  1.04740173	  0.96263367	  1.14301510
vdBergh_80          	3002862879337891328	0	1	 0.831385458203744543	96.86082073	-10.0816111	   -3.28640182	0.05675741	    1.01089619	0.05469509	-1.1177e-01	   1.03219421	0.05438252	 1.05792570	0	 16.629900	  2.430546	            	            	  1.19329330	  1.15964270	  1.30833337
vdBergh_80          	3002874286771047680	0	1	 0.831385458203744543	96.74907107	-10.0982209	   -3.47216460	0.05260779	    1.11251140	0.05362152	 7.6542e-03	   1.04963879	0.05501357	 0.98825216	0	 16.500074	  3.000854	            	            	  1.23291827	  1.17736428	  1.32898985
vdBergh_80          	3002875558081357056	0	1	 0.831385458203744543	96.73865324	-10.0287493	   -3.46610991	0.02243932	    1.15682492	0.02105559	 8.6100e-02	   1.00528199	0.02151284	 0.96153396	0	 14.467974	  1.681533	   39.986958	    6.260722	  1.78748425	  1.69784451	  2.00827909
vdBergh_80          	3002875970398212992	0	1	 0.831385458203744543	96.76038008	-10.0132391	   -3.38602171	0.07407720	    1.02568181	0.06213076	 9.0344e-03	   0.99489536	0.06564777	 1.11435930	0	 17.261833	  2.036730	            	            	  0.98187620	  0.89368604	  1.08728781
vdBergh_80          	3002878994055189120	0	1	 0.831385458203744543	96.73881692	-9.99433136	   -3.56168950	0.05151774	    1.03361938	0.05039589	-5.7524e-02	   0.98348676	0.04904745	 1.07252030	0	 16.312017	  2.233011	            	            	  1.30117853	  1.23398693	  1.38382681
vdBergh_80          	3002879161558277376	0	1	 0.831385458203744543	96.74331823	-9.97293340	   -3.51442088	0.05473197	    1.00626598	0.05455155	 1.6765e-03	   0.97229015	0.04989302	 0.98752743	0	 16.486065	  2.404990	            	            	  1.23958633	  1.18364904	  1.33276245
vdBergh_80          	3002879165853875968	0	1	 0.831385458203744543	96.73041708	-9.96706410	   -3.45495620	0.02608401	    1.08195223	0.02638110	 1.4865e-02	   1.00226070	0.02750577	 1.06377630	0	 14.966488	  1.974324	            	            	  1.67832558	  1.61546448	  1.89451240
vdBergh_80          	3002884079296432896	0	1	 0.831385458203744543	97.09948917	-10.0485067	   -3.18171962	0.05069148	    0.98464158	0.05570112	-2.5054e-01	   0.99521700	0.04683101	 0.94873655	0	 16.150997	  2.327884	            	            	  1.34732305	  1.25989682	  1.40743447
vdBergh_80          	3002884487317505664	0	1	 0.831385458203744543	97.12935626	-10.0355420	   -3.35815530	0.11209732	    0.80135277	0.12921493	-2.6665e-01	   1.04613187	0.11071635	 0.95590400	0	 17.687183	  2.599415	            	            	  0.83051976	  0.72190115	  0.88981938
vdBergh_80          	3002884521677250816	0	1	 0.827665588172609934	97.10205803	-10.0282699	   -3.52822983	0.13674366	    1.04732701	0.15086733	-2.7623e-01	   0.93297252	0.13376634	 0.95656960	0	 18.007805	  2.579001	            	            	  0.74253086	  0.68722765	  0.78595350
vdBergh_80          	3002886381398928896	0	1	 0.831385458203744543	96.87222498	-10.0534365	   -3.44630327	0.09971224	    0.94061653	0.09720933	-2.6601e-01	   0.93272476	0.08637106	 1.04515860	0	 17.359228	  2.592123	            	            	  0.94677525	  0.85446345	  1.05473936
vdBergh_80          	3002886415758663552	0	1	 0.831385458203744543	96.89284402	-10.0443589	   -3.26952615	0.02269325	    0.93545554	0.02415109	-5.5888e-02	   1.05976203	0.02379706	 1.12167260	0	 14.607058	  1.669963	   31.253933	   15.548895	  1.75728859	  1.67359168	  1.98817930
vdBergh_80          	3002890848164876160	0	1	 0.831385458203744543	97.13255693	-9.96890776	   -3.47856203	0.05391888	    0.95110058	0.06201223	-2.4332e-01	   1.02459271	0.05578312	 0.99180806	0	 16.218502	  2.409204	            	            	  1.33054875	  1.23348588	  1.38369256
