#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:05:24 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:05:24	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJ/877/12&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18770012
#Name: J/ApJ/877/12
#Title: Coma Ber and a Neighbor Stellar Group tidal tails (Tang+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/877/12	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/877/12	    IVOID of underlying data collection
#INFO	creator=Tang S.-Y.	    First author or institution
#INFO	cites=bibcode:2019ApJ...877...12T	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/877/12	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18770012	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2015.500:	ICRS
#Table	J_ApJ_877_12_table1:
#Name: J/ApJ/877/12/table1
#Title: Coma Ber Member Candidates
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Seq	(I3)	[1/197] Coma Ber member candidate, running number	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F10.6)	Right Ascension (ICRS) at epoch 2015.5 (G1)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F10.6)	Declination (ICRS) at epoch 2015.5 (G1)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F5.2)	Parallax (G1)	[ucd=pos.parallax]
#Column	e_Plx	(F5.2)	Uncertainty in Plx (G1)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F6.2)	Proper motion in Right Ascension, pmRA*cosDE (G1)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F5.2)	Uncertainty in pmRA (G1)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.2)	Proper motion in Declination (G1)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F5.2)	Uncertainty in pmDEc (G1)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RV	(F6.2)	? Radial Velocity (G1)	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F5.2)	? Uncertainty in RV (G1)	[ucd=stat.error]
#Column	Gmag	(F5.2)	Gaia G band magnitude (G1)	[ucd=phot.mag;em.opt]
#Column	Memb	(A1)	[bt] Membership flag (2)	[ucd=meta.code.error]
#Column	GaiaDR2	(a7)	Display the Gaia DR2 data (Gaia Collaboration, 2018, Cat. I/345)	[ucd=meta.ref.url]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F10.6)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F10.6)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
recno	Seq	RA_ICRS	DE_ICRS	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	RV	e_RV	Gmag	Memb	GaiaDR2	SimbadName	_RA.icrs	_DE.icrs
 	 	deg	deg	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	km/s	km/s	mag	 	 	 	deg	deg
--------	---	----------	----------	-----	-----	------	-----	------	-----	------	-----	-----	-	-------	----------------------------	----------	----------
       1	  1	183.103668	+27.380058	11.67	 0.05	-12.19	 0.08	 -9.41	 0.05	  0.15	 0.27	 7.97	b	GaiaDR2	Gaia DR2 4009709385110617472	183.103727	+27.380099
       2	  2	183.178196	+25.228414	11.31	 0.12	-11.75	 0.17	 -7.85	 0.12	      	     	16.52	b	GaiaDR2	Gaia DR2 4003180691222880896	183.178252	+25.228448
       3	  3	183.221756	+26.250356	11.59	 0.04	-12.07	 0.06	 -9.52	 0.04	  0.59	 1.01	11.10	b	GaiaDR2	Gaia DR2 4003406537783052416	183.221814	+26.250397
       4	  4	183.881094	+25.066959	11.32	 0.11	-12.13	 0.17	 -9.13	 0.14	      	     	16.04	b	GaiaDR2	Gaia DR2 4002505586787874560	183.881152	+25.066998
       5	  5	184.034840	+25.760327	11.72	 0.05	-12.23	 0.08	-10.53	 0.06	  2.06	 0.37	 7.98	b	GaiaDR2	Gaia DR2 4002565308308607616	184.034898	+25.760372
       6	  6	184.155364	+26.899440	11.52	 0.06	-12.29	 0.11	 -9.44	 0.08	      	     	15.06	b	GaiaDR2	Gaia DR2 4009455054326835968	184.155423	+26.899481
       7	  7	184.171739	+26.777465	11.64	 0.08	-11.74	 0.14	-10.39	 0.10	      	     	16.14	b	GaiaDR2	Gaia DR2 4009440382718550272	184.171796	+26.777510
       8	  8	184.462056	+25.571303	11.19	 0.05	-11.30	 0.08	 -9.65	 0.06	  2.01	 0.54	 7.75	b	GaiaDR2	Gaia DR2 4002550293102977152	184.462110	+25.571344
       9	  9	184.590939	+25.403536	12.13	 0.25	-13.61	 0.39	 -9.88	 0.32	      	     	18.13	b	GaiaDR2	Gaia DR2 4002496794990367360	184.591004	+25.403579
      10	 10	184.591322	+27.745082	11.91	 0.09	-12.23	 0.12	 -9.78	 0.17	      	     	16.05	b	GaiaDR2	Gaia DR2 4009788859185281152	184.591381	+27.745124
      11	 11	184.734024	+25.765841	11.54	 0.10	-11.62	 0.16	 -9.61	 0.18	      	     	16.63	b	GaiaDR2	Gaia DR2 4008511467191955840	184.734079	+25.765882
      12	 12	184.758379	+26.008313	11.58	 0.09	-12.52	 0.14	 -8.55	 0.24	      	     	 6.40	b	GaiaDR2	Gaia DR2 4008571356215936896	184.758439	+26.008350
      13	 13	184.829912	+23.034631	11.71	 0.06	-12.62	 0.10	 -9.63	 0.08	      	     	 6.21	b	GaiaDR2	Gaia DR2 3953900747569804928	184.829971	+23.034672
      14	 14	184.960875	+28.464317	11.68	 0.05	-12.27	 0.09	 -9.03	 0.07	      	     	 6.59	b	GaiaDR2	Gaia DR2 4010203993544316032	184.960935	+28.464356
      15	 15	185.150777	+28.451997	12.03	 0.13	-12.65	 0.20	 -8.89	 0.13	      	     	17.20	b	GaiaDR2	Gaia DR2 4010214778206706048	185.150839	+28.452035
      16	 16	185.189820	+25.765827	11.84	 0.06	-12.18	 0.07	 -8.31	 0.06	 -0.48	 0.31	 8.91	b	GaiaDR2	Gaia DR2 4008525241151501824	185.189878	+25.765863
      17	 17	185.315006	+26.153861	11.78	 0.04	-11.76	 0.07	 -9.45	 0.05	 -0.28	 0.37	11.14	b	GaiaDR2	Gaia DR2 4008553489152025856	185.315062	+26.153902
      18	 18	185.419500	+27.130801	11.45	 0.04	-11.84	 0.06	 -8.88	 0.05	  6.17	 4.02	13.21	b	GaiaDR2	Gaia DR2 4009508689878952832	185.419557	+27.130839
      19	 19	185.454218	+26.549063	11.56	 0.05	-12.47	 0.08	 -8.11	 0.05	  0.59	 0.13	 9.14	b	GaiaDR2	Gaia DR2 4008706733584941312	185.454278	+26.549098
      20	 20	185.483942	+27.309472	11.72	 0.07	-13.36	 0.08	 -9.01	 0.07	 -0.37	 0.31	 8.39	b	GaiaDR2	Gaia DR2 4009518100151157248	185.484007	+27.309511
      21	 21	185.560298	+25.448955	11.45	 0.15	-11.64	 0.21	 -9.49	 0.16	      	     	17.21	b	GaiaDR2	Gaia DR2 4008314551531430784	185.560354	+25.448996
