#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T05:40:47 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T05:40:47	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A+A/621/L2&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36219002
#Name: J/A+A/621/L2
#Title: Hyades tidal tails revealed by Gaia DR2 (Roeser+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/a+a/621/l2	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/621/l2	    IVOID of underlying data collection
#INFO	creator=Roeser S.	    First author or institution
#INFO	cites=bibcode:2019A&A...621L...2R	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/621/L2	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36219002	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-05-04	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_621_L2_stars:
#Name: J/A+A/621/L2/stars
#Title: All the star shown in Figures 3a to 3c
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Source	(I19)	Gaia DR2 source id (source_id)	[ucd=meta.id;meta.main]
#Column	RAICRS	(F12.8)	Gaia DR2 right ascension (ICRS at Ep=2015.5) rounded to 10^-8^ degrees	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	Gaia DR2 declination (ICRS at Ep=2015.5) rounded to 10^-8^ degrees	[ucd=pos.eq.dec;meta.main]
#Column	Gmag	(F10.6)	G-band mean magnitude (Vega) (phot_g_mean_mag)	[ucd=phot.mag;em.opt]
#Column	Member	(A8)	Membership to subgroups (1)	[ucd=meta.code.member]
#Column	Comment	(a8)	Comment may take the values (2)	[ucd=meta.note;stat.value]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Source	RAICRS	DEICRS	Gmag	Member	Comment	Simbad	_RA.icrs	_DE.icrs
 	 	deg	deg	mag	 	 	 	deg	deg
--------	-------------------	------------	------------	----------	--------	--------	------	------------	------------
       1	2738415592529108096	000.52790198	+01.26030384	 16.337011	Pr_tail 	 -      	Simbad	000.52790198	+01.26030384
       2	 395696646953688448	000.65309894	+51.94534411	 10.780623	Pr_tail 	 -      	Simbad	000.65309894	+51.94534411
       3	 431526153186969856	001.47019278	+63.15339413	 12.036587	Pr_tail 	 -      	Simbad	001.47019278	+63.15339413
       4	 386277165192421120	001.56629319	+44.17454888	 14.795170	Pr_tail 	 Contam.	Simbad	001.56629319	+44.17454888
       5	 393017579491591168	002.01628686	+47.27540013	 17.065292	Pr_tail 	 -      	Simbad	002.01628686	+47.27540013
       6	 396026569162536448	002.22017880	+53.21330361	 10.001401	Pr_tail 	 -      	Simbad	002.22017880	+53.21330361
       7	 395368374014574848	003.24031144	+50.98831303	 14.808033	Pr_tail 	 -      	Simbad	003.24031144	+50.98831303
       8	 385502112574538624	003.82975486	+43.74311559	 14.398879	Pr_tail 	 -      	Simbad	003.82975486	+43.74311559
       9	 394413482520591744	004.29762306	+49.93783727	 16.681340	Pr_tail 	 -      	Simbad	004.29762306	+49.93783727
      10	 394913657233538944	004.96206199	+50.73575022	 17.084396	Pr_tail 	 -      	Simbad	004.96206199	+50.73575022
      11	 392484114490982656	005.49953835	+47.51785135	 14.134264	Pr_tail 	 -      	Simbad	005.49953835	+47.51785135
      12	 421512870735439360	005.75602994	+56.11526008	 17.267504	Pr_tail 	 -      	Simbad	005.75602994	+56.11526008
      13	 392544862508739456	005.80720735	+47.88326479	 15.382364	Pr_tail 	 WD     	Simbad	005.80720735	+47.88326479
      14	 394745294513036800	005.92371993	+50.85706127	 15.778769	Pr_tail 	 -      	Simbad	005.92371993	+50.85706127
      15	 421204423366457984	006.59634133	+55.49710053	 17.019104	Pr_tail 	 -      	Simbad	006.59634133	+55.49710053
      16	 382167740483722112	006.71739012	+42.83413446	 11.888730	Pr_tail 	 -      	Simbad	006.71739012	+42.83413446
      17	 419566254119483648	006.78209534	+54.04903304	 15.210473	Pr_tail 	 -      	Simbad	006.78209534	+54.04903304
      18	 428651243826003968	007.84980728	+60.46883189	 14.712203	Pr_tail 	 -      	Simbad	007.84980728	+60.46883189
      19	 430120981632300672	008.46765053	+60.89389696	 14.659559	Pr_tail 	 Contam.	Simbad	008.46765053	+60.89389696
      20	 418631085120675840	008.47158227	+55.76262969	 16.033460	Pr_tail 	 -      	Simbad	008.47158227	+55.76262969
      21	 418630840300573824	008.52268742	+55.74962576	 16.938318	Pr_tail 	 -      	Simbad	008.52268742	+55.74962576
      22	 381571564661202048	009.26809851	+42.41065435	 12.155591	Pr_tail 	 -      	Simbad	009.26809851	+42.41065435
      23	 368514898441866368	009.55399402	+38.84238111	 16.448605	Pr_tail 	 -      	Simbad	009.55399402	+38.84238111
      24	2779735823615714176	009.89125937	+14.90544583	 12.915796	Pr_tail 	 -      	Simbad	009.89125937	+14.90544583
