#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T05:40:47 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T05:40:47	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A+A/627/A4&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36270004
#Name: J/A+A/627/A4
#Title: Praesepe (NGC 2632) and its tidal tails (Roeser+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/a+a/627/a4	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/627/a4	    IVOID of underlying data collection
#INFO	creator=Roeser S.	    First author or institution
#INFO	cites=bibcode:2019A&A...627A...4R	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/627/A4	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36270004	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_627_A4_stars:
#Name: J/A+A/627/A4/stars
#Title: All the stars shown in Figures 2 and 3
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Source	(I19)	Gaia DR2 source id (source_id)	[ucd=meta.id;meta.main]
#Column	RAICRS	(F12.8)	Gaia DR2 right ascension (ICRS at Ep=2015.5) rounded to 10^-8^ degrees	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	Gaia DR2 declination (ICRS at Ep=2015.5) rounded to 10^-8^ degrees	[ucd=pos.eq.dec;meta.main]
#Column	Gmag	(F8.4)	G-band mean magnitude (Vega) (phot_g_mean_mag)	[ucd=phot.mag;em.opt.V]
#Column	dvpar	(F6.2)	Velocity parallel to the convergent point (1)	[ucd=phys.veloc]
#Column	vpero	(F6.2)	Velocity perpendicular to the convergent point (2)	[ucd=phys.veloc]
#Column	pcont	(E9.2)	Probability of being contaminated (3)	[ucd=stat.fit.goodness]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Source	RAICRS	DEICRS	Gmag	dvpar	vpero	pcont	Simbad	_RA.icrs	_DE.icrs
 	 	deg	deg	mag	km/s	km/s	 	 	deg	deg
--------	-------------------	------------	------------	--------	------	------	---------	------	------------	------------
       1	 504271599124398464	086.30707431	+77.05543902	 16.4161	  3.75	 -0.31	 5.61e-01	Simbad	086.30707431	+77.05543902
       2	 655146893925330816	121.09223987	+16.00748291	 16.5208	  1.76	 -0.92	 1.00e-06	Simbad	121.09223987	+16.00748291
       3	1091089819680643200	121.80070606	+62.67365242	 12.7950	 -3.36	  0.95	 5.61e-01	Simbad	121.80070606	+62.67365242
       4	 681114502418610688	122.18868906	+25.30345914	 17.7116	 -0.80	  0.46	 0.00e+00	Simbad	122.18868906	+25.30345914
       5	 908834566101511552	122.45240746	+38.64942817	 16.5596	 -0.44	  0.48	 5.61e-01	Simbad	122.45240746	+38.64942817
       6	 681144777643959296	122.51247424	+25.54545144	 15.4599	  1.69	  0.06	 0.00e+00	Simbad	122.51247424	+25.54545144
       7	 656465036568844672	122.73873956	+16.52810667	 14.8886	  0.90	 -0.81	 0.00e+00	Simbad	122.73873956	+16.52810667
       8	 677534389479076096	122.76275438	+23.05484316	 18.3818	 -0.02	  0.22	 0.00e+00	Simbad	122.76275438	+23.05484316
       9	 655683799197577344	122.81858634	+16.04050782	 12.4295	  0.86	 -0.69	 0.00e+00	Simbad	122.81858634	+16.04050782
      10	 669616432586758400	122.83165437	+19.77653685	 17.5488	  2.64	 -0.91	 1.14e-01	Simbad	122.83165437	+19.77653685
      11	 909477608604981888	122.90167326	+40.01248871	 14.5134	  2.30	 -1.35	 5.61e-01	Simbad	122.90167326	+40.01248871
      12	 656873230260202368	122.94424636	+17.66979455	 16.9677	  1.59	 -0.71	 5.72e-04	Simbad	122.94424636	+17.66979455
      13	 655681565814562560	123.01820594	+16.04366483	 17.3619	 -0.44	 -0.07	 0.00e+00	Simbad	123.01820594	+16.04366483
      14	 675931030944290560	123.14902629	+20.94404136	 17.8912	 -1.44	 -0.50	 0.00e+00	Simbad	123.14902629	+20.94404136
      15	 649907446141414912	123.18089514	+12.42249545	 12.1731	  1.49	 -0.69	 1.14e-01	Simbad	123.18089514	+12.42249545
      16	 677568169398708608	123.21018756	+23.31074823	 13.8091	  0.85	  0.08	 0.00e+00	Simbad	123.21018756	+23.31074823
      17	 680861893918177024	123.21897697	+24.82713972	 16.9405	  1.08	  0.32	 0.00e+00	Simbad	123.21897697	+24.82713972
      18	 657311660522179712	123.27190607	+18.39261519	 17.4555	  2.20	 -0.78	 0.00e+00	Simbad	123.27190607	+18.39261519
      19	 653781747161312512	123.27610307	+14.45646855	 14.6895	 -0.38	 -0.19	 0.00e+00	Simbad	123.27610307	+14.45646855
      20	 655617072585794560	123.37391333	+15.74532905	 13.1890	  1.67	 -0.98	 1.00e-06	Simbad	123.37391333	+15.74532905
      21	 669553515609864704	123.44234838	+19.63119828	 17.8967	  0.20	 -0.62	 0.00e+00	Simbad	123.44234838	+19.63119828
      22	 649026153212537088	123.46939705	+11.46562399	 15.8642	  0.19	  0.13	 0.00e+00	Simbad	123.46939705	+11.46562399
