#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:08:18 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:08:18	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/384/943/table2&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_73840943
#Name: J/MNRAS/384/943
#Title: Velocities of NGC 1023 planetary nebulae (Noordermeer+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/mnras/384/943	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/384/943	    IVOID of underlying data collection
#INFO	creator=Noordermeer E.	    First author or institution
#INFO	cites=bibcode:2008MNRAS.384..943N	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/384/943	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.73840943	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_384_943_table2:
#Name: J/MNRAS/384/943/table2
#Title: Catalogue of PNe in NGC 1023 and NGC 1023A
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	[NMC2008]	(I3)	Object name ([NMC2008] NGC 1023 NNN in Simbad)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	HV	(I4)	Heliocentric velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_HV	(I2)	rms uncertainty on HV	[ucd=stat.error]
#Column	n_HV	(A1)	[abc] Note on HV (1)	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	[NMC2008]	RAJ2000	DEJ2000	HV	e_HV	n_HV	Simbad
 	 	"h:m:s"	"d:m:s"	km/s	km/s	 	
--------	---	-----------	-----------	----	--	-	------
       1	  1	02 39 55.92	+39 03 33.2	 730	14	 	Simbad
       2	  2	02 39 57.40	+39 03 14.1	 772	13	 	Simbad
       3	  3	02 39 59.24	+39 04 28.3	 446	14	 	Simbad
       4	  4	02 40 01.35	+39 04 30.6	 639	13	 	Simbad
       5	  5	02 40 01.71	+39 02 55.7	 510	13	 	Simbad
       6	  6	02 40 02.55	+39 04 17.5	 397	13	 	Simbad
       7	  7	02 40 02.60	+39 03 56.0	 675	13	 	Simbad
       8	  8	02 40 03.93	+39 05 49.4	 473	14	 	Simbad
       9	  9	02 40 06.13	+39 03 38.8	 550	28	 	Simbad
      10	 10	02 40 06.48	+39 02 56.0	 453	13	 	Simbad
      11	 11	02 40 06.53	+39 04 24.2	 740	15	 	Simbad
      12	 12	02 40 06.85	+39 01 34.9	 767	13	 	Simbad
      13	 13	02 40 06.99	+39 04 04.5	 410	13	 	Simbad
      14	 14	02 40 07.00	+39 01 17.7	 408	14	 	Simbad
      15	 15	02 40 07.09	+39 03 57.3	 701	13	 	Simbad
      16	 16	02 40 07.21	+39 02 40.2	 446	13	 	Simbad
      17	 17	02 40 07.46	+39 02 04.8	 790	32	 	Simbad
      18	 18	02 40 08.38	+39 03 33.8	 456	16	 	Simbad
      19	 19	02 40 08.46	+39 03 43.0	 548	13	 	Simbad
      20	 20	02 40 09.68	+39 02 50.2	 379	13	 	Simbad
      21	 21	02 40 09.77	+39 03 10.2	 385	13	 	Simbad
      22	 22	02 40 09.81	+39 03 13.9	 447	13	 	Simbad
      23	 23	02 40 10.23	+39 03 36.8	 733	13	a	Simbad
      24	 24	02 40 10.91	+39 04 29.6	 372	13	 	Simbad
      25	 25	02 40 11.07	+39 03 53.3	 489	13	 	Simbad
      26	 26	02 40 11.11	+39 02 25.5	 600	14	 	Simbad
      27	 27	02 40 11.40	+39 02 23.8	 587	23	 	Simbad
      28	 28	02 40 11.64	+39 04 50.6	 511	13	 	Simbad
      29	 29	02 40 11.84	+39 03 49.4	 465	13	 	Simbad
      30	 30	02 40 12.16	+39 03 32.8	 490	13	 	Simbad
      31	 31	02 40 12.32	+39 03 44.0	 350	19	 	Simbad
      32	 32	02 40 12.78	+39 03 06.6	 511	24	 	Simbad
      33	 33	02 40 12.89	+39 03 07.5	 523	24	 	Simbad
      34	 34	02 40 13.49	+39 04 30.2	 471	13	 	Simbad
      35	 35	02 40 13.52	+39 03 58.6	 447	14	 	Simbad
      36	 36	02 40 13.79	+39 03 28.5	 390	14	 	Simbad
      37	 37	02 40 14.12	+39 05 45.2	 566	13	 	Simbad
      38	 38	02 40 14.25	+39 03 16.3	 305	16	 	Simbad
      39	 39	02 40 14.57	+39 04 36.0	 479	13	 	Simbad
      40	 40	02 40 14.61	+39 03 18.2	 357	13	 	Simbad
      41	 41	02 40 14.65	+39 03 54.5	 371	13	 	Simbad
      42	 42	02 40 14.85	+39 03 03.5	 441	13	 	Simbad
      43	 43	02 40 14.90	+39 04 16.0	 898	13	a	Simbad
      44	 44	02 40 14.97	+39 03 16.5	 449	13	 	Simbad
      45	 45	02 40 15.11	+39 03 45.0	 516	13	 	Simbad
