#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:08:19 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:08:19	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/131/2089/table56&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51312089
#Name: J/AJ/131/2089
#Title: Planetary nebulae in NGC 3379 and NGC 3384 (Sluis+, 2006)
#INFO	ivoid=ivo://cds.vizier/j/aj/131/2089	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/131/2089	    IVOID of underlying data collection
#INFO	creator=Sluis A.P.N.	    First author or institution
#INFO	cites=bibcode:2006AJ....131.2089S	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2006	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/131/2089	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51312089	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-11-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_131_2089_table56:
#Name: J/AJ/131/2089/table56
#Title: Planetary nebulae in NGC 3379 and NGC 3384 (tables 5 and 6 of the paper)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a8)	Simbad column added by the CDS	[ucd=meta.id.parent]
#Column	ID	(A3)	Source identification (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000) (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000) (2)	[ucd=pos.eq.dec;meta.main]
#Column	lambda	(F6.1)	Peak wavelength in Angstroms	[ucd=em.wl;stat.max]
#Column	HRV	(I4)	Heliocentric line-of-sight velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_HRV	(I2)	Uncertainty in HRV	[ucd=stat.error]
#Column	Flux	(F5.2)	Emission line flux in units of 10^-16^erg/s/cm^2^	[ucd=phot.flux]
#Column	5007mag	(F5.2)	Emission line magnitude (3)	[ucd=phot.mag;em.line.OIII]
#Column	e_5007mag	(F5.2)	Uncertainty in 5007mag	[ucd=stat.error]
#Column	S	(F5.1)	The likelihood ratio test statistic (4)	[ucd=stat.likelihood]
#Column	Num	(I2)	? Number of data points in spectrum	[ucd=meta.number]
#Column	S/N	(F4.1)	Signal-to-noise ratio	[ucd=stat.snr]
#Column	C89ID	(I2)	? Ciardullo et al. (1989, J/ApJ/344/715) identification	[ucd=meta.id]
#Column	C89mag	(F5.2)	? Ciardullo et al. (1989, J/ApJ/344/715) emission line magnitude	[ucd=phot.mag;em.line.OIII]
#Column	C89HRV	(I4)	? Ciardullo et al. (1989, J/ApJ/344/715) heliocentric line-of-sight velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
recno	Galaxy	ID	RAJ2000	DEJ2000	lambda	HRV	e_HRV	Flux	5007mag	e_5007mag	S	Num	S/N	C89ID	C89mag	C89HRV
 	 	 	"h:m:s"	"d:m:s"	0.1nm	km/s	km/s	10-19W/m2	mag	mag	 	 	 	 	mag	km/s
--------	--------	---	-----------	-----------	------	----	--	-----	-----	-----	-----	--	----	--	-----	----
       1	NGC 3379	E01	10 47 48.73	+12 35 24.8	5024.8	1083	13	 1.68	25.69	 0.21	 27.5	  	 6.0	  	     	
       2	NGC 3379	E02	10 47 49.17	+12 35 42.4	5017.6	 653	17	 1.61	25.74	 0.23	 26.3	  	 5.5	  	     	
       3	NGC 3379	E03	10 47 49.47	+12 35 35.3	5023.6	1009	17	 1.52	25.80	 0.19	 32.6	  	 7.0	 9	25.66	
       4	NGC 3379	E04	10 47 49.66	+12 36 02.5	5021.0	 853	18	 1.11	26.14	 0.23	 23.4	  	 5.8	  	     	
       5	NGC 3379	E05	10 47 49.94	+12 35 40.2	5018.3	 694	13	 1.97	25.52	 0.22	 26.3	  	 6.1	20	25.84	
       6	NGC 3379	E06	10 47 50.30	+12 35 13.0	5025.0	1098	12	 2.03	25.49	 0.18	 37.1	  	 6.7	  	     	
       7	NGC 3379	E07	10 47 51.06	+12 35 01.5	5023.0	 974	17	 1.78	25.64	 0.22	 25.4	  	 6.9	12	25.76	
       8	NGC 3379	E08	10 47 51.15	+12 35 15.4	5018.8	 723	19	 1.85	25.59	 0.26	 18.8	  	 4.8	36	26.10	
       9	NGC 3379	E09	10 47 51.26	+12 34 51.2	5025.8	1141	17	 1.73	25.66	 0.21	 26.4	  	 6.3	  	     	
      10	NGC 3379	E10	10 47 51.40	+12 35 31.5	5023.8	1022	13	 2.26	25.37	 0.15	 54.7	  	 9.0	 2	25.33	1061
      11	NGC 3379	E11	10 47 51.59	+12 35 43.3	5025.4	1116	13	 1.73	25.66	 0.15	 53.4	  	 8.2	 6	25.53	
      12	NGC 3379	E12	10 47 51.68	+12 34 47.3	5023.6	1013	10	 2.44	25.29	 0.17	 39.3	  	 6.9	23	25.92	
      13	NGC 3379	E13	10 47 52.03	+12 35 11.0	5018.0	 675	20	 1.76	25.64	 0.22	 25.3	  	 4.7	  	     	
      14	NGC 3379	E14	10 47 52.11	+12 34 43.5	5022.4	 942	13	 2.19	25.41	 0.15	 50.3	  	 9.1	 1	25.28	 936
      15	NGC 3379	E15	10 47 52.28	+12 35 40.1	5023.3	 991	13	 1.81	25.62	 0.17	 45.1	  	 8.0	14	25.77	
      16	NGC 3379	E16	10 47 52.33	+12 36 05.7	5020.8	 844	11	 1.75	25.65	 0.18	 35.6	  	 6.7	16	25.78	 832
      17	NGC 3379	E17	10 47 53.34	+12 36 17.2	5021.4	 881	14	 1.25	26.02	 0.22	 23.5	  	 6.0	  	     	
      18	NGC 3379	E18	10 47 54.83	+12 36 24.8	5020.8	 843	13	 1.47	25.84	 0.20	 31.0	  	 5.6	30	26.00	
      19	NGC 3379	E19	10 47 55.12	+12 36 17.1	5021.3	 873	13	 1.43	25.87	 0.20	 28.8	  	 6.7	60	26.37	
      20	NGC 3379	E20	10 47 55.43	+12 34 51.5	5023.5	1007	17	 1.28	25.99	 0.22	 24.2	  	 6.0	38	26.14	1021
      21	NGC 3379	E21	10 47 55.50	+12 34 46.0	5020.9	 850	13	 1.57	25.77	 0.21	 28.3	  	 6.6	  	     	
      22	NGC 3379	E22	10 47 55.76	+12 35 40.5	5020.2	 806	19	 1.43	25.87	 0.27	 17.0	  	 4.9	  	     	
