# Polar ring galaxies -- Iodice, Arnaboldi, Bournaud, Combes, Sparke, van Driel, Capaccioli 2003,
# ApJ 585, 730 "Polar Ring Galaxies and the Tully-Fisher Relation: Implications for the Dark Halo Shape",
# Table 1, transcribed from the arXiv preprint astro-ph/0211281 (pdftotext -layout of arxiv.org/pdf/astro-ph/0211281).
# Columns: name, PRC catalogue id, heliocentric velocity (km/s), absolute Kn magnitude, absolute B magnitude,
#          HI linewidth at 20% of peak (km/s), reference code for dV20.
# Distance-dependent quantities in the source assume H0 = 75 km/s/Mpc.  Blank M_Kn = not measured.
# The HI traces the POLAR structure, the K light the HOST galaxy -- that decoupling is the point of the paper.
name	PRC	Vhel	MKn	MB	dV20	ref
A0136-0801	A-01	5528		-19.23	365	vD
ESO415-G26	A-02	4604	-22.69	-19.24	360	vD
NGC2685	A-03	871		-18.20	335	vD
UGC7576	A-04	7022		-19.02	465	vD
NGC4650A	A-05	2910	-21.37	-18.67	235	vD
UGC9796	A-06	5420		-18.25	355	vD
ARP230	B-01	1710	-20.95	-18.40	245	vD
IC1689	B-03	4557		-20.40	300	vG
ESO503-G17	B-12	10481		-19.19	415	vD
UGC9562	B-17	1242		-16.68	200	vD
AM2020-504	B-19	4963	-22.63	-19.60	182	vD,A
ESO603-G21	B-21	3124	-21.74	-18.60	285	vD
NGC660	C-13	850		-18.25	325	vD
UGC4261	C-24	6408		-19.87	240	vD
UGC4385	C-27	1969		-17.58	195	vD
ESO235-G58		4262	-22.13	-19.21	292	vD
