#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:05:41 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:05:41	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/594/A27/psz2&-out.max=unlimited&-out=INDEX,NAME,GLON,GLAT,RAJ2000,DEJ2000,SNR,PIPEDET,PIPE-DET,VALID,z,MSZ,MSZ_ERR_UP,MSZ_ERR_LOW,MSZERR,Y5R500,e_Y5R500,COSMO,REDSHIFT_ID	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35940027
#Name: J/A+A/594/A27
#Title: Planck Sunyaev-Zeldovich sources (PSZ2) (Planck+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/594/a27	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/594/a27	    IVOID of underlying data collection
#INFO	creator=Plankc collaboration Ade P.A.R.	    First author or institution
#INFO	cites=bibcode:2016A&A...594A..27P	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/594/A27	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35940027	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-04-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_594_A27_psz2:
#Name: J/A+A/594/A27/psz2
#Title: Second SZ catalogue (PSZ2) (Union catalog)
#Column	Index	(I4)	Index used to cross-reference with individual catalogues (INDEX)	[ucd=meta.id]
#Column	Name	(A18)	Source name (NAME) (1)	[ucd=meta.id;meta.main]
#Column	GLON	(F11.7)	Galactic longitude (GLON)	[ucd=pos.galactic.lon]
#Column	GLAT	(F11.7)	Galactic latitude (GLAT)	[ucd=pos.galactic.lat]
#Column	RAJ2000	(F11.7)	Right ascension (J2000) transformed from (GLON,GLAT) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	Declination (J2000) transformed from (GLON,GLAT) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	SNR	(F8.5)	Signal-to-noise ratio of the detection (SNR)	[ucd=stat.snr]
#Column	z	(F9.6)	Redshift of cluster (REDSHIFT) (5)	[ucd=src.redshift]
#Column	MSZ	(F9.6)	? SZ mass proxy (MSZ) (6)	[ucd=phys.mass]
#Column	E_MSZ	(F9.6)	? Upper bound of 68% SZ mass proxy confidence interval (MSZ_ERR_UP) (6)	[ucd=stat.error;stat.max]
#Column	e_MSZ	(F9.6)	? Lower bound of 68% SZ mass proxy confidence interval (MSZ_ERR_LOW) (6)	[ucd=stat.error]
#Column	Y5R500	(F10.6)	Mean marginal Y5R500 as determined by reference pipeline (Y5R500)	[ucd=stat.snr]
#Column	e_Y5R500	(F9.6)	Uncertainty on Y5R500 as determined by reference pipeline (Y5R500_ERR)	[ucd=stat.error]
#Column	COSMO	(I1)	[0/1] Indicates whether detection is in the cosmology sample (COSMO)	[ucd=meta.code]
#Column	zID	(a25)	External identifier of cluster associated with redshift measurement (REDSHIFT_ID) (5)	[ucd=src.redshift]
Index	Name	GLON	GLAT	RAJ2000	DEJ2000	SNR	z	MSZ	E_MSZ	e_MSZ	Y5R500	e_Y5R500	COSMO	zID
 	 	deg	deg	deg	deg	 	 	10+14Msun	10+14Msun	10+14Msun	10-3arcmin+2	10-3arcmin+2	 	
----	------------------	-----------	-----------	-----------	-----------	--------	---------	---------	---------	---------	----------	---------	-	-------------------------
   1	PSZ2 G000.04+45.13	  0.0405432	 45.1351750	229.1905120	-01.0172220	 6.75319	 0.119800	 3.962411	 0.393290	 0.370242	  5.481591	 1.899500	1	RXC J1516.5-0056
   2	PSZ2 G000.13+78.04	  0.1380577	 78.0421138	203.5586828	+20.2559905	 9.25669	 0.171000	 5.122391	 0.351061	 0.322839	  4.360847	 1.840250	1	RXC J1334.1+2013
   3	PSZ2 G000.40-41.86	  0.4029953	-41.8607926	316.0844846	-41.3541688	 9.70428	 0.165100	 5.297053	 0.320350	 0.344108	  4.507689	 1.046871	1	RXCJ2104.3-4120
   4	PSZ2 G000.77-35.69	  0.7750496	-35.6993864	307.9728437	-40.5987254	 6.58179	 0.341600	 6.333562	 0.589880	 0.611330	  1.606287	 0.516778	1	RXCJ2031.8-4037
   5	PSZ2 G002.04-22.15	  2.0457985	-22.1521656	291.3596104	-36.5179436	 5.12563	-1.000000	         	         	         	  1.927779	 0.644426	0	
   6	PSZ2 G002.08-68.28	  2.0870160	-68.2815607	349.6324313	-36.3325590	 4.75040	 0.140000	 2.835297	 0.370542	 0.463434	  3.127310	 1.591322	0	ACO S 1109
   7	PSZ2 G002.42+69.64	  2.4274678	 69.6484581	210.9933174	+15.6884267	 4.62169	 0.180518	 3.510401	 0.465839	 0.484462	  2.685690	 1.310455	0	RMJ140358.9+154409.6
   8	PSZ2 G002.77-56.16	  2.7775114	-56.1683432	334.6594732	-38.8794056	 9.19606	 0.141100	 4.411132	 0.298660	 0.303283	  4.047786	 1.028072	1	RXCJ2218.6-3853
   9	PSZ2 G002.82+39.23	  2.8277211	 39.2388777	235.0151759	-03.2851353	 8.07308	 0.153300	 5.736017	 0.475538	 0.476516	  9.700967	 2.637288	0	RXCJ1540.1-0318
  10	PSZ2 G002.88-22.45	  2.8827173	-22.4553980	292.0147682	-35.8760934	 4.80061	-1.000000	         	         	         	  1.942683	 0.712163	0	
  11	PSZ2 G003.21-76.04	  3.2102391	-76.0471306	358.3512149	-33.2932444	 4.78953	-1.000000	         	         	         	  1.035840	 0.384556	0	
  12	PSZ2 G003.91-42.03	  3.9146570	-42.0359632	316.4675077	-38.7531602	 9.33304	 0.152100	 4.716204	 0.321887	 0.370266	  5.358175	 1.110779	1	RXCJ2106.0-3846
  13	PSZ2 G003.93-59.41	  3.9317275	-59.4110211	338.6080936	-37.7413184	17.35802	 0.151000	 7.194754	 0.263986	 0.259055	  5.662852	 0.719787	1	RXCJ2234.5-3744
  14	PSZ2 G004.04+42.23	  4.0463876	 42.2369584	233.2733365	-00.6754162	 4.75789	 0.151272	 3.592052	 0.465211	 0.500454	  3.209195	 1.791173	0	RMJ153303.5-004616.5
  15	PSZ2 G004.13+56.81	  4.1342542	 56.8167246	221.8651319	+08.4516901	 6.75999	 0.380000	 7.122818	 0.643275	 0.678634	  3.088549	 0.930312	1	RXC J1447.4+0827
  16	PSZ2 G004.45-19.55	  4.4519807	-19.5561279	289.2667301	-33.5415664	 9.06547	 0.540000	10.356931	 0.677135	 0.724367	  1.963852	 0.360270	1	
  17	PSZ2 G005.91-28.26	  5.9148068	-28.2698851	299.8068699	-34.8917777	 5.98316	 0.172800	 4.286492	 0.387097	 0.416893	  2.291449	 0.889302	0	RXCJ1959.1-3454
  18	PSZ2 G006.05+29.43	  6.0501470	 29.4313373	244.4061203	-07.2624651	 5.09372	 0.252300	 5.515037	 0.647036	 0.714597	  1.785471	 0.742856	0	RXC J1617.6-0714
