idx,name,z,logMbar_Msun,Re_kpc,fDM_within_Re,Vc_Re_kms,sigma0_kms,g_Re_ms2,a0_Vc4_over_GMbar_ms2,a0_over_1.2e-10,deepMOND_g_lt_a0
1,U4 38210,0.61,10.99,8.1,0.44,240,44,2.3045e-10,2.5575e-10,2.131,0
2,U4 20688,0.63,10.81,9.57,0.67,275,16,2.5609e-10,6.6728e-10,5.561,0
3,EGS3 10098,0.66,10.93,2.95,0.14,271,29,8.0679e-10,4.7737e-10,3.978,0
4,U3 21388,0.67,10.64,7.81,0.7,205,53,1.7438e-10,3.0479e-10,2.540,0
5,EGS4 21351,0.73,10.61,4.16,0.06,159,17,1.9695e-10,1.1819e-10,0.985,0
6,GS4 00984,0.73,9.72,5.25,0.79,116,25,8.3062e-11,2.5990e-10,2.166,1
7,EGS4 11261,0.75,11.12,5.02,0.2,294,22,5.5800e-10,4.2694e-10,3.558,0
8,GS4 13143,0.76,10.33,5.51,0.41,147,22,1.2710e-10,1.6453e-10,1.371,0
9,U3 08493,0.79,11.08,3.79,0.1,267,16,6.0958e-10,3.1844e-10,2.654,0
10,COS4 05656,0.8,10.61,4.99,0.27,181,24,2.1277e-10,1.9847e-10,1.654,0
11,COS4 05925,0.8,10.95,5.72,0.36,257,35,3.7421e-10,3.6873e-10,3.073,0
12,U3 03856,0.8,10.62,7.54,0.64,212,25,1.9317e-10,3.6502e-10,3.042,0
13,U3 05138,0.81,10.46,7.6,0.38,136,29,7.8870e-11,8.9358e-11,0.745,1
14,U4 42393,0.82,11.15,2.61,0.08,335,64,1.3935e-09,6.7167e-10,5.597,0
15,GS4 03228,0.82,10.08,6.79,0.7,142,13,9.6239e-11,2.5476e-10,2.123,1
16,GS4 32976,0.83,10.7,7.73,0.57,235,43,2.3153e-10,4.5841e-10,3.820,0
17,GS3 23200,0.83,10.25,6.72,0.63,127,33,7.7783e-11,1.1020e-10,0.918,1
18,COS4 01351,0.85,11.13,7.52,0.38,267,58,3.0722e-10,2.8381e-10,2.365,0
19,COS4 06487,0.91,10.91,4.97,0.38,286,30,5.3336e-10,6.2007e-10,5.167,0
20,COS3 18434,0.91,10.73,6.75,0.5,232,38,2.5842e-10,4.0638e-10,3.386,0
21,U4 19954,0.91,11.21,8.63,0.17,260,22,2.5385e-10,2.1226e-10,1.769,0
22,COS3 22796,0.91,10.61,9.93,0.53,152,25,7.5402e-11,9.8708e-11,0.823,1
23,U4 13849,0.91,10.88,6.79,0.31,213,29,2.1654e-10,2.0441e-10,1.703,0
24,U4 21199,0.91,10.4,4.93,0.02,117,35,8.9985e-11,5.6198e-11,0.468,1
25,U3 15226,0.92,10.72,5.79,0.28,182,30,1.8540e-10,1.5749e-10,1.312,0
26,GS4 05881,0.99,10.21,5.71,0.74,193,61,2.1141e-10,6.4448e-10,5.371,0
27,GS3 30840,1.02,10.51,5.82,0.65,207,38,2.3860e-10,4.2743e-10,3.562,0
28,GS4 29973,1.02,9.9,5.09,0.74,135,24,1.1604e-10,3.1500e-10,2.625,1
29,GS3 27242,1.02,10.85,2.85,0.12,259,12,7.6278e-10,4.7883e-10,3.990,0
30,COS3 16954,1.03,10.9,8.26,0.59,269,51,2.8390e-10,4.9658e-10,4.138,0
31,COS4 19796,1.03,11.18,9.6,0.42,266,14,2.3886e-10,2.4918e-10,2.076,0
32,EGS 13051221,1.12,11.08,10.19,0.19,196,16,1.2218e-10,9.2471e-11,0.771,0
33,EGS 13004291,1.2,11.11,3.65,0.04,284,54,7.1613e-10,3.8041e-10,3.170,0
34,EGS 13000805,1.23,11.46,5.94,0.05,321,29,5.6217e-10,2.7733e-10,2.311,0
35,GS4 30432,1.31,10.66,7.21,0.52,208,38,1.9446e-10,3.0848e-10,2.571,0
36,GS4 14356,1.36,10.72,5.59,0.35,193,26,2.1595e-10,1.9916e-10,1.660,0
37,EGS4 38153,1.36,11.16,5.11,0.35,314,57,6.2529e-10,5.0664e-10,4.222,0
38,GS4 27441,1.38,11.06,7.21,0.46,271,68,3.3010e-10,3.5388e-10,2.949,0
39,EGS4 24985,1.4,11.03,4.64,0.31,288,41,5.7931e-10,4.8367e-10,4.031,0
40,U4 27256,1.42,10.83,6.37,0.14,168,20,1.4359e-10,8.8760e-11,0.740,0
41,U4 32570,1.42,10.81,8.01,0.55,252,89,2.5693e-10,4.7052e-10,3.921,0
42,U4 28358,1.42,10.98,3.14,0.15,294,74,8.9210e-10,5.8934e-10,4.911,0
43,zC 403741,1.45,10.55,3.01,0.08,205,66,4.5247e-10,3.7497e-10,3.125,0
44,U4 33383,1.48,10.05,4.98,0.28,159,48,1.6452e-10,4.2911e-10,3.576,0
