#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T10:46:07 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T10:46:07	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=VII/155/rc3&-out=name,altname,PGC,T,BT,e_BT,B-VT,e_B-VT,B-VoT,U-BT,Ai,Ag&-out.add=_RAJ2000,_DEJ2000&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7155
#Name: VII/155
#Title: Third Reference Cat. of Bright Galaxies (RC3) (de Vaucouleurs+ 1991)
#INFO	ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	creator=de Vaucouleurs G.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/155	    Dataset landing page
#INFO	publication_date=2002-08-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_155_rc3:
#Name: VII/155/rc3
#Title: The revised RC3 catalog
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	name	(a12)	Name	[ucd=meta.id]
#Column	altname	(a15)	Alternate name	[ucd=meta.id]
#Column	PGC	(a11)	PGC number	[ucd=meta.id;meta.main]
#Column	T	(F4.1)	? T (Hubble stage)	[ucd=src.morph.type]
#Column	BT	(F5.2)	? BT (total B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	e_BT	(F5.2)	? Mean error on BT	[ucd=stat.error]
#Column	B-VT	(F5.2)	? (B-V)T (total (B-V))	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-VT	(F5.2)	? Mean error on (B-V)T	[ucd=stat.error]
#Column	B-VoT	(F5.2)	? (B-V)oT	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-BT	(F5.2)	? (U-B)T (total (U-B))	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	Ai	(F5.2)	? Ai (internal B extinction)	[ucd=phys.absorption]
#Column	Ag	(F5.2)	? Ag (galactic extinction in B)	[ucd=phys.absorption]
_RAJ2000	_DEJ2000	name	altname	PGC	T	BT	e_BT	B-VT	e_B-VT	B-VoT	U-BT	Ai	Ag
deg	deg	 	 	 	 	mag	mag	mag	mag	mag	mag	mag	mag
----------	----------	------------	---------------	-----------	----	-----	-----	-----	-----	-----	-----	-----	-----
000.007852	+47.274382	A   2357+47 	 UGC 12889     	PGC    2   	 3.0	     	     	     	     	     	     	 0.10	 0.52
000.036593	 -6.374703	            	 MCG -1- 1- 16 	PGC   12   	 1.0	     	     	     	     	     	     	 0.75	 0.09
000.089093	 -2.610543	            	 MCG -1- 1- 20 	PGC   23   	-4.0	     	     	     	     	     	     	 0.00	 0.12
000.094195	-80.791574	            	 ESO   12- 12  	PGC   30   	 4.0	     	     	     	     	     	     	 0.10	 0.36
000.100348	+39.499948	            	 UGC 12894     	PGC   35   	10.0	     	     	     	     	     	     	 0.00	 0.47
000.100344	+17.216648	            	 UGC 12893     	PGC   38   	 8.0	     	     	     	     	     	     	 0.01	 0.07
000.100343	 +7.833329	            	 UGC 12892     	PGC   39   	 2.0	     	     	     	     	     	     	 0.30	 0.19
000.121182	-40.483267	            	 ESO  293- 27  	PGC   43   	 4.0	     	     	     	     	     	     	 0.81	 0.03
000.158677	+20.059143	            	 UGC 12895     	PGC   53   	 7.0	     	     	     	     	     	     	 0.13	 0.10
000.159929	+28.384964	            	 UGC 12897     	PGC   54   	 2.0	14.84	 0.15	     	     	     	     	 0.59	 0.16
000.150347	+33.599956	            	 UGC 12898     	PGC   55   	 6.0	     	     	     	     	     	     	 0.58	 0.18
000.184929	+28.401353	            	 MCG  5- 1- 21 	PGC   58   	    	15.71	 0.15	     	     	     	     	 0.35	 0.16
000.195345	+28.402741	            	 UGC 12899     	PGC   63   	    	14.68	 0.15	     	     	     	     	 0.00	 0.16
000.220768	-47.354926	            	 ESO  193-  9  	PGC   65   	-0.9	     	     	     	     	     	     	 0.00	 0.04
000.233265	-40.711600	            	 ESO  293- 29  	PGC   69   	 5.4	     	     	     	     	     	     	 0.39	 0.03
000.225344	+20.333309	            	 UGC 12900     	PGC   70   	 6.0	     	     	     	     	     	     	 1.47	 0.27
000.241596	-33.611608	            	 ESO  349- 17  	PGC   73   	    	     	     	     	     	     	     	 0.13	 0.02
000.262433	-43.329930	            	 ESO  241- 10  	PGC   75   	-4.0	     	     	     	     	     	     	 0.00	 0.03
000.262428	+28.911630	            	 UGC 12901     	PGC   76   	 3.0	     	     	     	     	     	     	 0.59	 0.22
000.250342	 +4.450001	IC   5374   	 MCG  1- 1- 10 	PGC   79   	    	     	     	     	     	     	     	 0.09	 0.12
000.250342	 +4.500001	IC   5375   	 MCG  1- 1-  9 	PGC   80   	    	     	     	     	     	     	     	 0.76	 0.12
000.250343	 +6.216665	NGC  7802   	 UGC 12902     	PGC   81   	-2.0	     	     	     	     	     	     	 0.00	 0.16
000.307009	+13.143876	            	 MCG  2- 1-  9 	PGC   89   	    	15.87	 0.15	     	     	     	     	 0.42	 0.16
000.309930	+34.675788	            	 UGC 12904     	PGC   91   	 2.0	     	     	     	     	     	     	 0.17	 0.34
000.300442	+80.649910	            	 UGC 12905     	PGC   94   	 6.0	     	     	     	     	     	     	 1.44	 0.99
000.300342	 +6.316665	            	 UGC 12903     	PGC   96   	 4.0	     	     	     	     	     	     	 1.03	 0.16
000.324522	-53.008254	            	 ESO  149- 12  	PGC   99   	 3.0	     	     	     	     	     	     	 1.10	 0.00
000.328678	-27.418283	            	 ESO  409-  1  	PGC  100   	-3.0	     	     	     	     	     	     	 0.00	 0.04
000.332843	+13.111654	NGC  7803   	 UGC 12906     	PGC  101   	 0.0	14.06	 0.15	     	     	     	     	 0.15	 0.16
000.333680	+34.525788	IC   5376   	 UGC 12909     	PGC  102   	 2.0	     	     	     	     	     	     	 0.94	 0.22
000.359509	+13.112765	            	 MCG  2- 1- 12 	PGC  108   	    	15.26	 0.15	     	     	     	     	 0.21	 0.16
000.361179	+31.433848	NGC  7805   	 UGC 12908     	PGC  109   	-2.0	14.20	 0.30	 0.91	 0.04	 0.83	 0.47	 0.00	 0.17
000.350342	 +5.350000	            	 UGC 12910     	PGC  110   	 9.0	     	     	     	     	     	     	 0.00	 0.12
000.376179	+31.442459	NGC  7806   	 UGC 12911     	PGC  112   	 4.0	     	     	     	     	     	     	 0.23	 0.17
000.375342	 +8.999994	            	 UGC 12912     	PGC  116   	    	     	     	     	     	     	     	 0.15	 0.21
000.400763	+33.562456	            	 CGCG 498- 66  	PGC  119   	    	     	     	     	     	     	     	     	 0.19
000.408261	+23.484693	A   2359+23A	 UGC 12914     	PGC  120   	 6.0	     	     	     	     	     	     	 0.38	 0.16
000.411594	+26.922744	            	 CGCG 477- 39  	PGC  121   	    	     	     	     	     	     	     	     	 0.12
000.400342	 +3.500003	            	 UGC 12913     	PGC  124   	 6.0	     	     	     	     	     	     	 1.24	 0.07
000.427427	+23.494693	A   2359+23B	 UGC 12915     	PGC  129   	    	     	     	     	     	     	     	 0.71	 0.16
000.469930	-36.849937	            	 ESO  349- 19  	PGC  138   	 1.7	     	     	     	     	     	     	 0.14	 0.03
000.482428	-27.626616	            	 ESO  409-  3  	PGC  140   	 2.7	14.66	 0.16	 0.94	 0.02	 0.85	 0.19	 0.10	 0.04
000.487426	-15.450245	WLM         	 MCG -3- 1- 15 	PGC  143   	10.0	11.03	 0.08	 0.44	 0.04	 0.42	     	 0.35	 0.10
000.475343	+17.549980	            	 UGC 12916     	PGC  146   	 7.0	     	     	     	     	     	     	 0.26	 0.07
000.475348	+40.316613	            	 UGC 12917     	PGC  148   	 3.0	     	     	     	     	     	     	 0.18	 0.44
000.515762	-33.468275	            	 ESO  349- 20  	PGC  151   	 1.0	     	     	     	     	     	     	 0.23	 0.02
000.500343	+16.583315	IC   5377   	 UGC 12918     	PGC  156   	10.0	     	     	     	     	     	     	 0.19	 0.08
000.539925	 +2.940559	NGC  7809   	 MCG  0- 1- 19 	PGC  158   	10.0	     	     	     	     	     	     	 0.05	 0.09
000.544099	-43.975207	            	 MCG -7- 1-  8 	PGC  160   	-3.0	     	     	     	     	     	     	 0.00	 0.03
000.581176	+12.971932	NGC  7810   	 UGC 12919     	PGC  163   	-2.0	     	     	     	     	     	     	 0.00	 0.16
000.575344	+27.199965	            	 UGC 12920     	PGC  165   	 4.0	     	     	     	     	     	     	 1.20	 0.13
000.611592	 +3.352225	NGC  7811   	 MCG  0- 1- 20 	PGC  168   	10.0	     	     	     	     	     	     	     	 0.09
000.625350	+44.916607	            	 UGC     2     	PGC  175   	 8.0	     	     	     	     	     	     	 0.89	 0.48
000.645342	 -3.710541	            	 MCG -1- 1- 24 	PGC  176   	 4.0	     	     	     	     	     	     	 0.29	 0.14
000.668675	 +8.737495	            	 MCG  1- 1- 13 	PGC  179   	    	     	     	     	     	     	     	 0.91	 0.23
000.685017	-80.346574	            	 ESO   12- 14  	PGC  181   	 9.0	     	     	     	     	     	     	 0.30	 0.35
000.675343	+18.883312	            	 UGC     3     	PGC  186   	 1.0	     	     	     	     	     	     	 0.25	 0.08
000.692854	-52.768254	            	 ESO  149- 13  	PGC  187   	 9.5	     	     	     	     	     	     	 0.31	 0.00
000.713262	+31.487459	            	 MCG  5- 1- 27 	PGC  190   	    	     	     	     	     	     	     	 0.00	 0.18
000.727429	-34.234941	NGC  7812   	 ESO  349- 21  	PGC  195   	 2.8	     	     	     	     	     	     	 0.26	 0.02
000.750342	 +4.200002	            	 UGC     4     	PGC  201   	 4.0	     	     	     	     	     	     	 0.28	 0.08
000.772431	-42.178265	            	 ESO  293- 31  	PGC  204   	 1.7	     	     	     	     	     	     	 0.42	 0.03
000.774508	 -1.913044	            	 UGC     5     	PGC  205   	 4.0	     	     	     	     	     	     	 0.43	 0.16
000.784095	+31.039404	            	 CGCG 498- 68  	PGC  206   	    	     	     	     	     	     	     	     	 0.20
000.789926	+21.959696	A   0001+21 	 UGC     6     	PGC  207   	99.0	14.38	 0.17	 0.37	 0.03	     	 0.09	 0.20	 0.13
000.792427	+25.178302	            	 CGCG 477- 44  	PGC  208   	    	     	     	     	     	     	     	     	 0.11
000.792855	-54.749364	            	               	PGC  211   	-3.0	     	     	     	     	     	     	 0.00	 0.00
000.798676	+15.965538	IC   5381   	 UGC     7     	PGC  212   	 2.0	     	     	     	     	     	     	 0.71	 0.10
000.802012	-35.936605	            	 ESO  349- 22  	PGC  213   	    	     	     	     	     	     	     	 0.00	 0.03
000.813259	+16.145816	NGC  7814   	 UGC     8     	PGC  218   	 2.0	11.56	 0.13	 0.99	 0.02	 0.83	 0.51	 0.47	 0.10
000.800342	-10.749974	            	 MCG -2- 1- 12 	PGC  219   	    	14.04	 0.13	 1.02	 0.04	 0.85	     	 0.84	 0.06
000.834928	+29.794961	            	 UGC    12     	PGC  223   	 6.0	     	     	     	     	     	     	 0.15	 0.16
000.825342	 +8.599995	            	 UGC    10     	PGC  226   	 6.0	     	     	     	     	     	     	 0.04	 0.25
000.840760	+22.102751	            	 UGC    11     	PGC  227   	    	     	     	     	     	     	     	 0.19	 0.13
000.850768	-49.791590	            	 ESO  193- 11  	PGC  233   	-2.0	     	     	     	     	     	     	 0.00	 0.04
000.858687	-53.329920	            	 ESO  149- 15  	PGC  235   	 6.0	     	     	     	     	     	     	 0.15	 0.00
000.850344	+27.349965	            	 UGC    13     	PGC  240   	 0.0	     	     	     	     	     	     	 0.03	 0.13
000.884925	-10.744974	NGC  7808   	 MCG -2- 1- 13 	PGC  243   	-2.0	13.48	 0.13	 0.85	 0.03	 0.75	     	 0.00	 0.06
000.897426	+23.200249	            	 UGC    14     	PGC  250   	    	     	     	     	     	     	     	 0.39	 0.19
000.925342	+15.216651	A   0001+14 	 UGC    17     	PGC  255   	 9.3	14.80	 0.20	 0.61	 0.09	 0.57	-0.02	 0.15	 0.13
000.925341	 +4.266668	            	 UGC    15     	PGC  258   	 2.0	     	     	     	     	     	     	 0.89	 0.07
000.954925	 +7.479163	NGC  7816   	 UGC    16     	PGC  263   	 4.0	     	     	     	     	     	     	 0.09	 0.19
000.996176	+20.749975	NGC  7817   	 UGC    19     	PGC  279   	 4.0	     	     	     	     	     	     	 0.85	 0.14
001.004508	-11.176918	            	 MCG -2- 1- 15 	PGC  281   	 1.0	     	     	     	     	     	     	 0.10	 0.08
001.007425	-11.174140	            	 MCG -2- 1- 14 	PGC  282   	 5.0	     	     	     	     	     	     	 0.15	 0.08
001.025341	 +7.349997	NGC  7818   	 UGC    21     	PGC  288   	 6.0	     	     	     	     	     	     	 0.00	 0.19
001.058686	-52.916032	            	               	PGC  290   	-3.0	     	     	     	     	     	     	 0.00	 0.00
001.061601	-50.646589	            	 ESO  193- 14  	PGC  292   	    	     	     	     	     	     	     	 0.22	 0.04
001.050341	+10.299992	            	 UGC    22     	PGC  295   	-2.0	     	     	     	     	     	     	 0.00	 0.21
001.050341	+10.766658	            	 UGC    23     	PGC  296   	 3.0	     	     	     	     	     	     	 0.26	 0.20
001.050343	+22.583306	            	 UGC    24     	PGC  298   	 6.0	     	     	     	     	     	     	 0.33	 0.22
001.075341	 +6.149999	            	 UGC    25     	PGC  301   	 6.0	     	     	     	     	     	     	 0.95	 0.18
001.103677	+31.473570	NGC  7819   	 UGC    26     	PGC  303   	 3.0	14.18	 0.14	 0.66	 0.02	 0.55	-0.03	 0.16	 0.17
001.100341	 +5.833333	            	 UGC    27     	PGC  305   	 6.0	     	     	     	     	     	     	 0.32	 0.18
001.127841	 +5.198611	NGC  7820   	 UGC    28     	PGC  307   	 0.0	     	     	     	     	     	     	 0.27	 0.11
001.137011	+33.558845	            	 UGC    30     	PGC  309   	    	     	     	     	     	     	     	 1.26	 0.16
001.125341	 -7.066647	A   0002-07 	 MCG -1- 1- 28 	PGC  312   	 3.0	     	     	     	     	     	     	 0.45	 0.23
001.125343	+28.299964	            	 UGC    29     	PGC  313   	-5.0	     	     	     	     	     	     	 0.00	 0.14
001.166182	-45.628261	            	 ESO  241- 12  	PGC  319   	 1.0	     	     	     	     	     	     	 0.16	 0.03
001.166591	 -8.100534	            	 MCG -1- 1- 30 	PGC  320   	-3.0	     	     	     	     	     	     	 0.00	 0.11
001.176177	-30.483279	            	 ESO  409- 12  	PGC  322   	    	13.95	 0.13	 0.94	 0.01	 0.86	     	 0.00	 0.02
001.187010	+26.831910	            	 CGCG 477- 49  	PGC  323   	    	     	     	     	     	     	     	     	 0.15
001.191175	-16.031910	            	 MCG -3- 1- 18 	PGC  325   	 5.0	     	     	     	     	     	     	 0.09	 0.06
001.195778	-62.061580	NGC  7823   	 ESO  111- 12  	PGC  328   	 3.8	     	     	     	     	     	     	 0.07	 0.00
001.175341	 -1.566655	            	 MCG  0- 1- 25 	PGC  329   	    	     	     	     	     	     	     	 0.43	 0.13
001.203674	 -1.498044	            	 MCG  0- 1- 24 	PGC  330   	    	     	     	     	     	     	     	 0.14	 0.13
001.214104	-54.484919	            	 ESO  149- 16  	PGC  331   	-1.0	     	     	     	     	     	     	 0.00	 0.00
001.200342	+17.183314	            	 UGC    31     	PGC  332   	10.0	     	     	     	     	     	     	 0.06	 0.08
001.219932	-45.486594	            	 ESO  241- 13  	PGC  336   	 0.5	     	     	     	     	     	     	 0.28	 0.03
001.251177	-30.506612	            	 ESO  409- 13  	PGC  348   	-2.4	     	     	     	     	     	     	 0.00	 0.02
001.250341	 +5.116667	            	 UGC    33     	PGC  353   	 0.0	     	     	     	     	     	     	 0.09	 0.10
001.275758	 +6.920831	NGC  7824   	 UGC    34     	PGC  354   	 2.0	     	     	     	     	     	     	 0.16	 0.18
001.278259	+22.190251	            	 CGCG 478- 23  	PGC  355   	    	     	     	     	     	     	     	     	 0.15
001.281184	-50.821589	            	 ESO  193- 17  	PGC  358   	    	     	     	     	     	     	     	 0.00	 0.04
001.305758	-11.503306	IC   1529   	 MCG -2- 1- 19 	PGC  364   	-2.0	     	     	     	     	     	     	 0.00	 0.08
001.300341	 +6.249999	            	 UGC    35     	PGC  365   	 9.0	     	     	     	     	     	     	 0.05	 0.16
001.300341	 +6.766664	            	 UGC    36     	PGC  366   	 1.0	     	     	     	     	     	     	 0.34	 0.18
001.319091	-16.478299	NGC  7821   	 MCG -3- 1- 19 	PGC  367   	 6.0	     	     	     	     	     	     	 0.71	 0.05
001.350341	 +5.166667	            	 UGC    37     	PGC  377   	 3.0	     	     	     	     	     	     	 0.46	 0.10
001.350341	 +5.216667	NGC  7827   	 UGC    38     	PGC  378   	-2.0	     	     	     	     	     	     	 0.00	 0.10
001.371177	+32.531068	            	 MCG  5- 1- 31 	PGC  381   	    	     	     	     	     	     	     	 0.00	 0.16
001.372434	-50.269923	            	 ESO  193- 19  	PGC  382   	 5.0	14.33	 0.14	 0.78	 0.02	 0.64	     	 0.36	 0.04
001.372850	-49.619923	            	 ESO  193- 18  	PGC  383   	 3.0	     	     	     	     	     	     	 0.53	 0.04
001.375353	+53.633264	            	 UGC    39     	PGC  393   	 6.0	     	     	     	     	     	     	 0.48	 0.94
001.414936	-53.816309	            	               	PGC  399   	-3.0	     	     	     	     	     	     	 0.00	 0.00
001.425343	+27.433298	            	 UGC    40     	PGC  415   	    	     	     	     	     	     	     	 0.31	 0.13
001.450341	-13.983302	            	 MCG -2- 1- 22 	PGC  425   	    	     	     	     	     	     	     	 0.73	 0.07
001.483675	+22.491084	            	 UGC    41     	PGC  431   	 6.0	     	     	     	     	     	     	 0.72	 0.14
001.495344	-36.136605	            	 ESO  349- 27  	PGC  437   	 1.5	     	     	     	     	     	     	 0.08	 0.02
001.495344	-36.114938	            	 ESO  349- 26D 	PGC  438   	-2.0	     	     	     	     	     	     	 0.00	 0.02
001.517018	-52.218254	            	 ESO  193- 22  	PGC  449   	-3.0	     	     	     	     	     	     	 0.00	 0.00
001.500341	+13.116654	            	 UGC    42     	PGC  450   	 7.0	     	     	     	     	     	     	 0.00	 0.19
001.500341	+14.416652	            	 UGC    43     	PGC  451   	 8.0	     	     	     	     	     	     	 0.61	 0.22
001.538267	-50.646589	            	 ESO  193- 23  	PGC  456   	    	     	     	     	     	     	     	 0.00	 0.04
001.525341	+19.733310	            	 UGC    44     	PGC  458   	 8.0	     	     	     	     	     	     	 0.06	 0.11
001.550353	+54.533263	            	 UGC    45     	PGC  461   	 8.0	     	     	     	     	     	     	 0.48	 1.05
001.559507	 +8.887494	            	 MCG  1- 1- 29 	PGC  465   	    	     	     	     	     	     	     	 0.73	 0.29
001.564518	-52.777421	            	               	PGC  468   	-2.0	     	     	     	     	     	     	 0.00	 0.00
001.581591	+20.202476	A   0003+19 	               	PGC  473   	    	     	     	     	     	     	     	     	 0.11
001.585763	-41.493265	A   0003-41 	 ESO  293- 34  	PGC  474   	 6.1	13.70	 0.15	     	     	     	     	 0.75	 0.03
001.590341	+17.428592	            	 UGC    46     	PGC  477   	    	     	     	     	     	     	     	     	 0.06
