#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T10:45:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T10:45:39	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out=Name,P1T,P2T,%3CT%3E,%3CF%3E,%3CType%3E,AC,_RA,_DE&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
Name	P1T	P2T	<T>	<F>	<Type>	AC	_RA	_DE
 	 	 	 	 	 	 	deg	deg
----------	---------------------------------------------	---------------------------------------------	----	-----	---------------------------------------------------------	-	---------	---------
UGC 12893 	dSA(l)0^o^ / Sph                             	dSA(l)0^o^ / Sph                             	11.0	 0.00	dSA(l)0^o^ / Sph                                         	 	000.11866	+17.22030
PGC 143   	dIm                                          	dI                                           	10.0	     	dIm                                                      	 	000.49125	-15.46389
ESO 12-14 	IB(s)m                                       	SB(s)m                                       	 9.5	 1.00	S/IB(s)m                                                 	 	000.68417	-80.34639
UGC 17    	IABm                                         	IABm                                         	10.0	 0.50	IABm                                                     	 	000.92996	+15.21831
NGC 7814  	SA0/a spw                                    	SA0/a spw                                    	 0.0	 0.00	SA0/a spw                                                	 	000.81228	+16.14523
NGC 7817  	SAB(rs,nd)bc                                 	SA(rs,nd)b sp                                	 3.5	 0.25	S\underline{A}B(rs,nd)\underline{b}c sp                  	G	000.99541	+20.75234
ESO 409-15	dIm                                          	dIm                                          	10.0	     	dIAB:m                                                   	 	001.38271	-28.09817
ESO 293-34	S pec                                        	S spw pec                                    	    	     	S spw pec                                                	 	001.58298	-41.49990
NGC 7     	Sd / Im sp                                   	Sd sp                                        	 7.0	     	Sd sp                                                    	 	002.08483	-29.91700
NGC 14    	(L)IB(s)m                                    	(L)IABm                                      	10.0	 0.75	(L)IA\underline{B}(s:)m                                  	 	002.19342	+15.81553
IC 1532   	SB(s)m sp                                    	SB(s)m sp                                    	 9.0	 1.00	SB(s)m sp                                                	F	002.47292	-64.37139
NGC 24    	S(rs)d: sp                                   	SA(rs,nd)d                                   	 7.0	 0.00	SA:(rs,nd)d: sp                                          	 	002.48559	-24.96313
UGC 99    	SAB(s)m                                      	SA(s)dm                                      	 8.5	 0.25	S\underline{A}B(s)d\underline{m}                         	F	002.67000	+13.70939
ESO 293-45	Sm: sp                                       	dIm sp                                       	 9.5	     	S/Im: sp                                                 	 	002.85346	-41.39822
UGC 122   	Im: sp                                       	dIm sp                                       	10.0	     	Im: sp                                                   	 	003.32375	+17.02939
UGC 132   	IBm                                          	SABd:                                        	 8.5	 0.75	SA\underline{B}d\underline{m}:                           	 	003.50322	+12.96388
NGC 45    	SA(s)dm                                      	SA(s)dm                                      	 8.0	 0.00	SA(s)dm                                                  	F	003.51662	-23.18209
NGC 55    	SB(s)m sp                                    	SAB(s)m                                      	 9.0	 0.75	SA\underline{B}(s)m sp                                   	 	003.72334	-39.19663
NGC 59    	dE5,N                                        	dE4,N / Sph                                  	11.0	     	dE4-5,N / Sph                                            	 	003.85469	-21.44436
UGC 156   	IAB(s)m                                      	SA(s)m                                       	 9.5	 0.25	S/I\underline{A}B(s)m                                    	 	004.20108	+12.35017
NGC 63    	S\underline{A}B(s)0/a                        	SA(s)0/a                                     	 0.0	 0.12	SA(s)0/a                                                 	M	004.43969	+11.45036
ESO 539-7 	SB(s)m                                       	SAB(s)m                                      	 9.0	 0.75	SA\underline{B}(s)m                                      	F	004.70133	-19.00772
UGC 191   	SA(s)dm                                      	SA(s)dm                                      	 8.0	 0.00	SA(s)dm                                                  	 	005.02150	+10.87931
ESO 150-5 	SA(s)cd:                                     	S\underline{A}B(s)dm                         	 7.0	 0.12	SA(s)d:                                                  	F	005.60650	-53.64750
NGC 100   	Scd sp                                       	Scd sp                                       	 6.0	     	Scd sp                                                   	 	006.01182	+16.48639
