#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:06:54 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:06:54	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/219/4/galaxies&-out=Name,PA,e_PA,Ell,e_Ell,Flag,_RA,_DE&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22190004
#Name: J/ApJS/219/4
#Title: S4G pipeline 4: multi-component decompositions (Salo+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	creator=Salo H.	    First author or institution
#INFO	cites=bibcode:2015ApJS..219....4S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/219/4	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22190004	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJS_219_4_galaxies:
#Name: J/ApJS/219/4/galaxies
#Title: Parameters of the galaxies;  center, outer orientation, sky background; and 1-component Sersic fits
#Column	Name	(a10)	Galaxy name (IDE)	[ucd=meta.id;meta.main]
#Column	PA	(F5.1)	[0.2/180]? Outer isophote position angle	[ucd=pos.posAng]
#Column	e_PA	(F4.1)	[0/63]? Standard deviation in PA	[ucd=stat.error]
#Column	Ell	(F6.3)	[0.008/1]? Outer isophote ellipticity	[ucd=src.ellipticity]
#Column	e_Ell	(F6.3)	[0/0.3]? Standard deviation in Ell	[ucd=stat.error]
#Column	Flag	(A2)	[ok uz] Uncertainty flag (1)	[ucd=meta.code.error]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	PA	e_PA	Ell	e_Ell	Flag	_RA	_DE
 	deg	deg	 	 	 	deg	deg
----------	-----	----	------	------	--	---------	---------
ESO011-005	 42.7	 0.1	 0.747	 0.002	z 	325.24350	-82.79967
ESO012-010	146.2	 1.1	 0.542	 0.012	ok	359.11500	-81.56639
ESO012-014	 31.0	 5.2	 0.580	 0.040	u 	000.68417	-80.34639
ESO013-016	165.7	 3.1	 0.343	 0.031	ok	023.20167	-79.47389
ESO015-001	125.7	 2.7	 0.586	 0.018	u 	055.93917	-80.10528
ESO026-001	 19.3	21.1	 0.060	 0.028	ok	306.25922	-81.57529
ESO027-001	 12.5	10.1	 0.216	 0.061	u 	328.11014	-81.53076
ESO027-008	145.1	 0.1	 0.666	 0.002	ok	335.76745	-79.99693
ESO048-017	 63.0	 1.3	 0.470	 0.027	ok	332.23190	-73.38196
ESO054-021	 88.4	 1.7	 0.514	 0.022	ok	057.45602	-71.63538
ESO079-003	130.2	 0.1	 0.858	 0.005	z 	008.00888	-64.25347
ESO079-005	171.2	 0.6	 0.411	 0.006	u 	010.18523	-63.44029
ESO079-007	 18.3	 6.1	 0.192	 0.040	ok	012.51717	-66.55275
ESO085-014	 83.6	 1.4	 0.630	 0.021	ok	073.67985	-62.80058
ESO085-030	156.4	 3.7	 0.467	 0.022	z 	075.37400	-63.29334
ESO085-047	 31.6	 4.4	 0.461	 0.044	u 	076.93292	-62.99000
ESO107-016	 85.3	 1.4	 0.740	 0.014	z 	319.02758	-64.81678
ESO114-007	129.4	 2.6	 0.227	 0.048	u 	026.62654	-58.67417
ESO115-021	 42.3	 0.9	 0.794	 0.009	z 	039.45651	-61.33160
ESO116-012	 26.3	 1.8	 0.620	 0.033	u 	048.26977	-57.35725
ESO119-016	 25.3	 1.2	 0.638	 0.011	ok	072.87167	-61.65083
ESO120-012	 86.4	 4.4	 0.325	 0.038	ok	084.99577	-58.58549
ESO120-021	111.2	 1.7	 0.500	 0.006	ok	088.30917	-59.06611
ESO145-025	111.6	24.7	 0.334	 0.046	ok	328.52375	-57.61333
ESO146-014	 49.2	 0.2	 0.841	 0.004	z 	333.25042	-62.06806
ESO149-001	 27.7	 1.3	 0.750	 0.009	ok	356.95375	-57.07139
ESO149-003	147.6	 0.7	 0.671	 0.012	u 	358.01167	-52.57889
ESO150-005	 12.2	11.2	 0.179	 0.021	ok	005.60650	-53.64750
ESO154-023	 39.8	 0.8	 0.839	 0.007	ok	044.21000	-54.57139
ESO157-049	 30.4	 0.1	 0.844	 0.009	z 	069.90368	-53.01265
ESO159-025	 71.6	 2.0	 0.212	 0.034	ok	085.77667	-52.70611
ESO187-035	127.4	 5.4	 0.444	 0.081	u 	314.23454	-55.72047
ESO187-051	  8.5	 2.7	 0.676	 0.045	u 	316.88625	-54.95306
ESO202-035	134.2	 0.7	 0.781	 0.014	z 	068.06844	-49.67583
ESO202-041	154.5	 5.1	 0.320	 0.079	u 	069.23621	-52.17367
