#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:04:41 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:04:41	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/153/114/table1&-out.max=200&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51530114
#Name: J/AJ/153/114
#Title: GCs in 27 nearby ETGs from the SLUGGS survey (Forbes+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/aj/153/114	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/153/114	    IVOID of underlying data collection
#INFO	creator=Forbes D.A.	    First author or institution
#INFO	cites=bibcode:2017AJ....153..114F	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/153/114	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51530114	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-09-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_153_114_table1:
#Name: J/AJ/153/114/table1
#Title: SLUGGS Galaxy Properties
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	NGC	(I4)	[720/7457] SLUGGS galaxy name	[ucd=meta.id;meta.main]
#Column	N	(I3)	[32/654] Number of galaxy data in tables 2-5	[ucd=meta.number]
#Column	Dist	(F4.1)	[9.4/26.9] Distance (1)	[ucd=pos.distance;pos.heliocentric]
#Column	logM*	(F5.2)	[10.13/11.62] Log stellar mass (2)	[ucd=phys.mass]
#Column	Reff	(F5.1)	[10.1/139] Effective radius (2)	[ucd=phys.angSize]
#Column	MType	(a7)	Hubble morphological type (1)	[ucd=src.morph.type]
#Column	Env	(A1)	Local environment type (F=Field, G=Group) (1)	[ucd=meta.code]
#Column	Vsys	(I4)	[558/2260] Galaxy systemic velocity (1)	[ucd=phys.veloc;src.class.starGalaxy]
#Column	sigma	(I3)	[74/308] Stellar velocity dispersion within 1 kpc (1)	[ucd=phys.veloc.dispersion]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000) (3)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	Declination in decimal degrees (J2000) (3)	[ucd=pos.eq.dec;meta.main]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	NGC	N	Dist	logM*	Reff	MType	Env	Vsys	sigma	RAJ2000	DEJ2000	Simbad
 	 	 	Mpc	[Msun]	arcsec	 	 	km/s	km/s	deg	deg	
--------	----	---	----	-----	-----	-------	-	----	---	----------	-----------	------
       1	 720	 77	26.9	11.27	 29.1	E5     	F	1745	227	028.252077	-13.7386530	Simbad
       2	 821	 88	23.4	11.00	 43.2	E6     	F	1718	193	032.088083	+10.9949170	Simbad
       3	1023	210	11.1	10.99	 48.0	S0     	G	 602	183	040.100042	+39.0632850	Simbad
       4	1400	101	26.8	11.08	 25.6	E1/S0  	G	 558	236	054.878483	-18.6880700	Simbad
       5	1407	405	26.8	11.60	 93.4	E0     	G	1779	252	055.049417	-18.5801110	Simbad
       6	2768	179	21.8	11.21	 60.3	E6/S0  	G	1353	206	137.906250	+60.0372220	Simbad
       7	2974	 60	20.9	10.93	 30.2	E4/S0  	F	1887	231	145.638667	-03.6991390	Simbad
       8	3115	179	 9.4	10.93	 36.5	S0     	F	 663	248	151.308250	-07.7185830	Simbad
       9	3377	217	10.9	10.50	 45.4	E5-6   	G	 690	135	161.926380	+13.9859160	Simbad
      10	3607	 50	22.2	11.39	 48.2	S0     	G	 942	229	169.227665	+18.0517560	Simbad
      11	3608	 41	22.3	11.03	 42.9	E1-2   	G	1226	179	169.245632	+18.1486840	Simbad
      12	4111	 45	14.6	10.52	 10.1	S0     	G	 792	161	181.763052	+43.0657200	Simbad
      13	4278	348	15.6	10.95	 28.3	E1-2   	G	 620	228	185.028434	+29.2807560	Simbad
      14	4365	308	23.1	11.51	 77.8	E3     	G	1243	253	186.117852	+07.3176728	Simbad
      15	4374	 44	18.5	11.51	139.0	E1     	C	1017	284	186.265597	+12.8869830	Simbad
      16	4459	 60	16.0	10.98	 48.3	S0     	C	1192	170	187.250037	+13.9783730	Simbad
      17	4473	106	15.2	10.96	 30.2	E5     	C	2260	189	187.453628	+13.4293590	Simbad
      18	4474	 32	15.5	10.23	 17.0	S0     	C	1611	 88	187.473113	+14.0685890	Simbad
      19	4486	654	16.7	11.62	 86.6	E0/cD  	C	1284	307	187.705930	+12.3911230	Simbad
      20	4494	108	16.6	11.02	 52.5	E1-2   	G	1342	157	187.850433	+25.7752520	Simbad
      21	4526	142	16.4	11.26	 32.4	S0     	C	 617	233	188.512856	+07.6995240	Simbad
      22	4564	 76	15.9	10.58	 14.8	E6     	C	1155	153	189.112428	+11.4392830	Simbad
      23	4649	432	16.5	11.60	 79.2	E2/S0  	C	1110	308	190.916564	+11.5527060	Simbad
      24	4697	 98	12.5	11.15	 95.8	E6     	G	1252	180	192.149491	-05.8007419	Simbad
      25	5846	250	24.2	11.46	 89.8	E0-1/S0	G	1712	231	226.622017	+01.6056250	Simbad
      26	5866	 46	14.9	10.83	 23.4	S0     	G	 755	163	226.622912	+55.7632130	Simbad
      27	7457	136	12.9	10.13	 34.1	S0     	F	 844	 74	345.249726	+30.1449410	Simbad

