#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:04:47 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:04:47	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/153/114/table5&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51530114
#Name: J/AJ/153/114
#Title: GCs in 27 nearby ETGs from the SLUGGS survey (Forbes+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/aj/153/114	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/153/114	    IVOID of underlying data collection
#INFO	creator=Forbes D.A.	    First author or institution
#INFO	cites=bibcode:2017AJ....153..114F	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/153/114	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51530114	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-09-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_153_114_table5:
#Name: J/AJ/153/114/table5
#Title: Globular Cluster Radial Velocities (from Erratum, 2017, AJ, 154, 80)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Star	(a14)	Object identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	HRV	(I4)	[-379/2777]? Heliocentric radial velocity (1)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_HRV	(I3)	[2/194]? Uncertainty in HRV (1)	[ucd=stat.error]
#Column	Rgal	(F6.2)	[0.02/173]? Galactocentric radius (not in table 2)	[ucd=phys.angSize;pos.galactocentric]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
recno	Star	RAJ2000	DEJ2000	HRV	e_HRV	Rgal	SimbadName
 	 	deg	deg	km/s	km/s	arcmin	
--------	--------------	----------	----------	----	---	------	----------------------
       1	NGC720_S1     	028.165375	-13.732361	1794	 11	  5.07	[FAB2017] NGC720 S1
       2	NGC720_S2     	028.217625	-13.731111	1805	 10	  2.06	[FAB2017] NGC720 S2
       3	NGC720_S3     	028.165917	-13.715389	1772	 11	  5.21	[FAB2017] NGC720 S3
       4	NGC720_S4     	028.248333	-13.781639	1681	 14	  2.59	[FAB2017] NGC720 S4
       5	NGC720_S5     	028.219833	-13.738417	1659	 21	  1.88	[FAB2017] NGC720 S5
       6	NGC720_S6     	028.207125	-13.707472	1561	 14	  3.22	[FAB2017] NGC720 S6
       7	NGC720_S7     	028.285375	-13.817556	1766	 15	  5.12	[FAB2017] NGC720 S7
       8	NGC720_S8     	028.206000	-13.729667	1710	 18	  2.74	[FAB2017] NGC720 S8
       9	NGC720_S9     	028.215000	-13.708139	1797	  9	  2.83	[FAB2017] NGC720 S9
      10	NGC720_S10    	028.269250	-13.737528	1817	 11	  1.00	[FAB2017] NGC720 S10
      11	NGC720_S11    	028.274500	-13.825028	1508	 11	  5.34	[FAB2017] NGC720 S11
      12	NGC720_S12    	028.251333	-13.730833	1471	 10	  0.47	[FAB2017] NGC720 S12
      13	NGC720_S13    	028.197083	-13.830444	1714	 20	  6.37	[FAB2017] NGC720 S13
      14	NGC720_S14    	028.216750	-13.724361	1845	 15	  2.23	[FAB2017] NGC720 S14
      15	NGC720_S15    	028.205042	-13.734833	1635	 19	  2.75	[FAB2017] NGC720 S15
      16	NGC720_S16    	028.246208	-13.772889	1959	 12	  2.08	[FAB2017] NGC720 S16
      17	NGC720_S17    	028.269958	-13.719417	1759	 23	  1.56	[FAB2017] NGC720 S17
      18	NGC720_S18    	028.236458	-13.718889	1749	  9	  1.49	[FAB2017] NGC720 S18
      19	NGC720_S19    	028.234542	-13.699028	1852	 11	  2.59	[FAB2017] NGC720 S19
      20	NGC720_S20    	028.255542	-13.753167	1730	 12	  0.89	[FAB2017] NGC720 S20
      21	NGC720_S21    	028.219667	-13.767778	1831	 15	  2.57	[FAB2017] NGC720 S21
      22	NGC720_S22    	028.261167	-13.719444	1652	  9	  1.27	[FAB2017] NGC720 S22
      23	NGC720_S23    	028.270000	-13.712500	1756	 10	  1.89	[FAB2017] NGC720 S23
      24	NGC720_S24    	028.255000	-13.746444	1783	  6	  0.50	[FAB2017] NGC720 S24
      25	NGC720_S25    	028.247500	-13.755778	2182	  9	  1.06	[FAB2017] NGC720 S25
      26	NGC720_S26    	028.214375	-13.778056	1616	  6	  3.23	[FAB2017] NGC720 S26
      27	NGC720_S27    	028.283250	-13.694139	1496	 19	  3.23	[FAB2017] NGC720 S27
      28	NGC720_S28    	028.150250	-13.826500	1719	 16	  7.94	[FAB2017] NGC720 S28
      29	NGC720_S29    	028.240833	-13.724361	2130	 11	  1.08	[FAB2017] NGC720 S29
      30	NGC720_S30    	028.242208	-13.778528	1521	 13	  2.46	[FAB2017] NGC720 S30
      31	NGC720_S31    	028.263208	-13.763917	1914	  8	  1.65	[FAB2017] NGC720 S31
      32	NGC720_S32    	028.277000	-13.733528	1480	 12	  1.48	[FAB2017] NGC720 S32
      33	NGC720_S33    	028.320042	-13.770278	1842	 11	  4.39	[FAB2017] NGC720 S33
      34	NGC720_S34    	028.236750	-13.739000	1897	 10	  0.89	[FAB2017] NGC720 S34
      35	NGC720_S35    	028.254708	-13.747833	1556	 15	  0.57	[FAB2017] NGC720 S35
      36	NGC720_S36    	028.285833	-13.749028	1772	 15	  2.06	[FAB2017] NGC720 S36
      37	NGC720_S37    	028.298667	-13.771083	1472	 17	  3.34	[FAB2017] NGC720 S37
      38	NGC720_S38    	028.247417	-13.732528	1759	 11	  0.46	[FAB2017] NGC720 S38
      39	NGC720_S39    	028.268833	-13.772778	1796	  8	  2.27	[FAB2017] NGC720 S39
      40	NGC720_S40    	028.244042	-13.836083	1667	 10	  5.86	[FAB2017] NGC720 S40
      41	NGC720_S41    	028.290167	-13.813917	1836	 11	  5.03	[FAB2017] NGC720 S41
      42	NGC720_S42    	028.249292	-13.730556	1749	 20	  0.51	[FAB2017] NGC720 S42
      43	NGC720_S43    	028.235208	-13.727722	1867	 16	  1.18	[FAB2017] NGC720 S43
      44	NGC720_S44    	028.252333	-13.711222	1592	 11	  1.65	[FAB2017] NGC720 S44
      45	NGC720_S45    	028.236083	-13.743861	2072	 17	  0.98	[FAB2017] NGC720 S45
      46	NGC720_S46    	028.235333	-13.729889	1862	 16	  1.11	[FAB2017] NGC720 S46
      47	NGC720_S47    	028.263250	-13.701583	1488	 15	  2.32	[FAB2017] NGC720 S47
      48	NGC720_S48    	028.278125	-13.733000	1622	 15	  1.56	[FAB2017] NGC720 S48
      49	NGC720_S49    	028.253333	-13.722000	1889	 17	  1.00	[FAB2017] NGC720 S49
      50	NGC720_S50    	028.255500	-13.745361	1844	 28	  0.45	[FAB2017] NGC720 S50
      51	NGC720_S51    	028.257750	-13.707667	1766	 34	  1.89	[FAB2017] NGC720 S51
