name,log10_a0,a0_SI,D_Mpc,cz_kms,Ndeep,onepd_2mrs,usable_2mrs,Nm_host,logMhalo_host,onepd_2mpp
D564-8,-10.3835,4.135e-11,8.79,483,6,0.617,1,1,9.786,2.320
D631-7,-10.1122,7.724e-11,7.72,341,16,0.000,1,1,10.223,1.210
DDO064,-9.9223,1.196e-10,6.80,513,14,8.943,1,2,10.509,2.146
DDO154,-9.9816,1.043e-10,4.04,364,12,45.948,1,1,10.391,2.246
DDO161,-10.3501,4.466e-11,7.50,742,31,12.952,1,2,10.992,2.376
DDO168,-10.0402,9.117e-11,4.25,192,10,19.736,0,6,10.666,1.940
DDO170,-10.2687,5.387e-11,15.40,941,8,0.617,1,2,10.820,7.546
ESO079-G014,-9.6496,2.241e-10,28.70,2306,15,0.308,1,1,12.149,0.404
ESO116-G012,-9.6312,2.338e-10,13.00,1146,15,3.084,1,1,11.161,2.520
ESO444-G084,-9.4815,3.300e-10,4.83,587,7,11.410,1,13,12.248,1.609
ESO563-G021,-9.4679,3.405e-10,60.80,4579,9,0.000,0,,,0.928
F565-V2,-9.7019,1.986e-10,51.80,3681,7,0.000,0,,,0.684
F568-V1,-9.2751,5.308e-10,80.60,5780,15,0.000,0,,,1.640
F571-V1,-9.9713,1.068e-10,80.10,5707,7,0.000,0,,,2.673
IC2574,-10.3248,4.734e-11,3.91,57,34,12.335,0,41,12.630,1.515
IC4202,-9.6895,2.044e-10,100.40,7123,6,0.000,0,,,6.479
KK98-251,-10.6293,2.348e-11,6.80,126,15,0.000,0,7,12.068,1.006
NGC0024,-9.2418,5.730e-10,7.30,554,20,1.850,1,1,11.236,1.095
NGC0055,-10.1713,6.741e-11,2.11,131,21,8.018,0,2,11.161,1.133
NGC0100,-9.8427,1.437e-10,13.50,844,21,0.617,1,1,11.173,0.780
NGC0247,-9.8964,1.269e-10,3.70,174,26,1.233,0,4,12.775,1.080
NGC0289,-10.0455,9.004e-11,20.80,1629,20,1.850,1,11,12.568,1.709
NGC0300,-9.7382,1.827e-10,2.08,147,25,8.943,0,1,10.868,1.133
NGC0801,-10.1141,7.689e-11,80.70,5767,6,0.000,0,,,3.976
NGC1003,-9.9255,1.187e-10,11.40,624,35,1.542,1,1,11.314,0.771
NGC1090,-9.9642,1.086e-10,37.00,2740,14,0.925,1,5,12.330,0.923
NGC2403,-9.7046,1.974e-10,3.16,133,33,9.251,0,5,11.599,1.515
NGC2683,-9.9547,1.110e-10,9.81,411,7,0.308,1,3,11.831,1.805
NGC2841,-9.4924,3.218e-10,14.10,635,21,0.925,1,4,12.316,2.325
NGC2903,-9.7226,1.894e-10,6.60,550,13,7.709,1,4,12.017,2.146
NGC2915,-9.3983,3.997e-10,4.06,468,28,6.167,1,1,10.509,1.180
NGC2998,-9.8760,1.330e-10,68.10,4784,5,0.000,0,,,0.955
NGC3109,-9.7392,1.823e-10,1.33,403,25,103.614,0,3,10.450,1.368
NGC3198,-9.9086,1.234e-10,13.80,660,21,0.617,1,1,11.669,3.157
NGC3726,-9.9776,1.053e-10,18.00,864,6,4.934,1,1,11.867,4.882
NGC3741,-9.7907,1.619e-10,3.21,230,21,38.547,1,1,10.272,1.657
NGC3769,-9.9605,1.095e-10,18.00,737,9,6.167,1,18,12.539,4.280
NGC3893,-9.7212,1.900e-10,18.00,967,4,7.709,1,18,12.539,4.280
NGC3917,-9.7413,1.814e-10,18.00,965,17,7.093,1,24,12.962,4.435
NGC3972,-9.6279,2.356e-10,18.00,842,9,7.401,1,17,12.559,3.752
NGC3992,-9.7557,1.755e-10,23.70,1047,5,4.009,1,24,12.962,2.527
NGC4010,-9.8206,1.511e-10,18.00,902,10,7.401,1,18,12.539,4.280
NGC4013,-9.8612,1.377e-10,18.00,831,25,6.167,1,10,12.441,4.882
NGC4088,-10.0460,8.995e-11,18.00,746,3,7.093,1,17,12.768,4.280
NGC4100,-9.7270,1.875e-10,18.00,1074,14,7.401,1,17,12.768,4.280
NGC4157,-9.8996,1.260e-10,18.00,771,9,5.859,1,17,12.768,4.280
NGC4183,-9.9537,1.113e-10,18.00,929,23,5.859,1,14,12.657,5.870
NGC4559,-10.0002,9.995e-11,9.00,814,24,11.718,1,1,11.784,4.536
NGC5033,-9.7845,1.642e-10,15.70,873,13,1.850,1,20,12.931,6.592
NGC5055,-10.0675,8.561e-11,9.90,500,13,4.009,1,7,12.420,3.790
NGC5371,-10.1616,6.893e-11,39.70,2558,7,5.551,1,61,13.772,2.683
NGC5585,-9.9226,1.195e-10,7.06,303,21,2.467,1,2,10.947,2.183
NGC5907,-9.9051,1.244e-10,17.30,665,13,0.617,1,7,12.777,1.560
NGC5985,-9.3703,4.263e-10,39.70,2521,11,0.617,1,11,13.391,1.401
NGC6015,-9.7587,1.743e-10,17.00,833,25,0.000,1,1,11.753,1.322
NGC6503,-9.8348,1.463e-10,6.26,25,25,0.308,0,1,11.318,1.223
NGC6674,-9.7583,1.745e-10,51.20,3429,11,0.000,0,,,1.872
NGC6946,-9.9335,1.165e-10,5.52,40,23,0.000,0,7,12.068,1.006
NGC7331,-9.8194,1.516e-10,14.70,816,12,0.617,1,4,12.931,0.632
NGC7793,-9.7578,1.747e-10,3.61,225,9,1.233,1,1,11.230,1.080
NGC7814,-9.5113,3.081e-10,14.40,1051,6,0.925,1,6,12.498,0.614
UGC00128,-9.9693,1.073e-10,64.50,4531,22,0.000,0,,,1.864
UGC00191,-9.7609,1.734e-10,17.10,1143,9,0.925,1,2,11.789,0.713
UGC00634,-9.8312,1.475e-10,30.90,2216,4,0.000,1,1,11.196,1.188
UGC00731,-9.7031,1.981e-10,12.50,639,12,0.308,1,,,0.759
UGC00891,-10.0522,8.867e-11,10.20,643,5,1.233,1,1,10.760,1.039
UGC01281,-9.9340,1.164e-10,5.27,156,23,2.467,0,1,10.751,1.055
UGC02259,-9.5641,2.728e-10,10.50,583,8,2.159,1,14,12.622,0.771
UGC02487,-9.5298,2.953e-10,69.10,4955,10,0.000,0,,,5.686
UGC02885,-9.7483,1.785e-10,80.60,5801,12,0.000,0,,,5.193
UGC02916,-10.0425,9.068e-11,65.40,4524,7,0.000,0,,,3.442
UGC02953,-9.6154,2.424e-10,16.50,895,30,2.467,1,15,13.574,1.298
UGC03205,-9.6637,2.169e-10,50.00,3589,13,0.000,0,,,0.598
UGC03546,-9.7990,1.589e-10,28.70,1840,8,0.925,1,2,12.403,0.674
UGC03580,-9.9270,1.183e-10,20.70,1201,17,0.308,1,1,11.428,1.536
UGC04278,-9.8051,1.566e-10,9.51,557,25,0.617,1,1,10.801,1.375
UGC04325,-9.3981,3.998e-10,9.60,524,8,2.467,1,2,11.167,1.908
UGC04483,-10.2423,5.724e-11,3.34,156,8,11.410,0,3,10.797,1.515
UGC04499,-9.9828,1.040e-10,12.50,691,9,1.850,1,1,11.025,1.884
UGC05253,-9.7973,1.595e-10,22.90,1324,12,2.775,1,4,12.483,2.365
UGC05414,-10.0549,8.813e-11,9.40,592,6,3.084,1,1,10.833,3.337
UGC05716,-9.8233,1.502e-10,21.30,1277,12,4.626,1,1,10.537,2.816
