name,RA_deg,Dec_deg,cz_kms,D_Mpc,f_D,dist_method,clean,l_gal,b_gal,onepd_2mpp,env_class,log10_a0,pos_src
CamB,73.27958,67.09917,,3.36,2,TRGB,1,143.3846,14.4233,1.2251,wall,,SIMBAD
D512-2,218.33462,26.99803,835,15.20,1,Hubble-Flow,0,38.4805,67.3532,3.4881,wall,,NED
D564-8,135.72370,20.07535,483,8.79,2,TRGB,1,207.6390,37.5987,2.3201,wall,-10.3835,NED
D631-7,119.25750,14.39083,341,7.72,2,TRGB,1,207.0027,20.8974,1.2103,wall,-10.1122,NED
DDO064,147.59333,31.48778,513,6.80,1,Hubble-Flow,0,195.4163,50.5627,2.1461,wall,-9.9223,NED
DDO154,193.52187,27.14964,364,4.04,2,TRGB,1,35.1612,89.4101,2.2457,wall,-9.9816,NED
DDO161,195.81975,-17.42303,742,7.50,1,Hubble-Flow,0,306.9529,45.3563,2.3765,wall,-10.3501,NED
DDO168,198.60886,45.92494,192,4.25,2,TRGB,1,110.7871,70.6572,1.9401,wall,-10.0402,NED
DDO170,198.97433,25.43556,941,15.40,1,Hubble-Flow,0,17.1457,84.2627,7.5458,cluster,-10.2687,NED
ESO079-G014,15.71431,-65.61004,2306,28.70,1,Hubble-Flow,0,301.0396,-51.4762,0.4044,void,-9.6496,NED
ESO116-G012,48.26998,-57.35698,1146,13.00,1,Hubble-Flow,0,273.2768,-50.8251,2.5203,wall,-9.6312,NED
ESO444-G084,204.33291,-28.04412,587,4.83,2,TRGB,1,315.1196,33.7392,1.6095,wall,-9.4815,NED
ESO563-G021,131.82084,-20.03566,4579,60.80,1,Hubble-Flow,0,244.8672,14.3974,0.9282,void,-9.4679,NED
F561-1,,,,66.40,1,Hubble-Flow,0,,,,n/a,,UNRESOLVED
F563-1,,,,48.90,1,Hubble-Flow,0,,,,n/a,,UNRESOLVED
F563-V1,131.65795,18.88994,3931,54.00,1,Hubble-Flow,0,207.3998,33.5916,0.8968,void,,NED
F563-V2,133.26601,18.43596,4310,59.70,1,Hubble-Flow,0,208.5630,34.8574,1.3704,wall,,NED
F565-V2,144.37450,21.76122,3681,51.80,1,Hubble-Flow,0,208.8803,45.8001,0.6838,void,-9.7019,NED
F567-2,,,,79.00,1,Hubble-Flow,0,,,,n/a,,UNRESOLVED
F568-1,,,,90.70,1,Hubble-Flow,0,,,,n/a,,UNRESOLVED
F568-3,,,,82.40,1,Hubble-Flow,0,,,,n/a,,UNRESOLVED
F568-V1,161.25862,22.05422,5780,80.60,1,Hubble-Flow,0,215.9701,60.8996,1.6402,wall,-9.2751,NED
F571-8,,,,53.30,1,Hubble-Flow,0,,,,n/a,,UNRESOLVED
F571-V1,171.57949,18.83592,5707,80.10,1,Hubble-Flow,0,231.4122,68.7667,2.6727,wall,-9.9713,NED
F574-1,,,,96.80,1,Hubble-Flow,0,,,,n/a,,UNRESOLVED
F574-2,,,,89.10,1,Hubble-Flow,0,,,,n/a,,UNRESOLVED
F579-V1,218.20771,22.76145,6294,89.50,1,Hubble-Flow,0,27.7706,66.6476,0.4699,void,,NED
F583-1,,,,35.40,1,Hubble-Flow,0,,,,n/a,,UNRESOLVED
F583-4,,,,53.30,1,Hubble-Flow,0,,,,n/a,,UNRESOLVED
IC2574,157.09728,68.41216,57,3.91,2,TRGB,1,140.2070,43.6070,1.5151,wall,-10.3248,NED
IC4202,197.13165,24.70080,7123,100.40,1,Hubble-Flow,0,1.5984,85.4554,6.4789,cluster,-9.6895,NED
KK98-251,307.63708,60.35472,126,6.80,1,Hubble-Flow,0,95.5758,12.2282,1.0061,wall,-10.6293,NED
NGC0024,2.48528,-24.96322,554,7.30,2,TRGB,1,43.6906,-80.4345,1.0953,wall,-9.2418,NED
NGC0055,3.72335,-39.19657,131,2.11,2,TRGB,1,332.8821,-75.7310,1.1329,wall,-10.1713,NED
NGC0100,6.01243,16.48712,844,13.50,1,Hubble-Flow,0,113.4803,-45.8814,0.7804,void,-9.8427,NED
NGC0247,11.78530,-20.76019,174,3.70,2,TRGB,1,113.9449,-83.5568,1.0799,wall,-9.8964,NED
NGC0289,13.17613,-31.20586,1629,20.80,1,Hubble-Flow,0,299.1291,-85.9130,1.7093,wall,-10.0455,NED
NGC0300,13.72270,-37.68421,147,2.08,2,TRGB,1,299.2091,-79.4191,1.1329,wall,-9.7382,NED
NGC0801,30.93665,38.25879,5767,80.70,1,Hubble-Flow,0,138.2184,-22.4571,3.9763,wall,-10.1141,NED
NGC0891,35.63711,42.34832,,9.91,2,TRGB,1,140.3822,-17.4152,0.8649,void,,SIMBAD
NGC1003,39.82078,40.87258,624,11.40,1,Hubble-Flow,0,144.0053,-17.5447,0.7709,void,-9.9255,NED
NGC1090,41.64154,-0.24711,2740,37.00,1,Hubble-Flow,0,173.5092,-51.4437,0.9225,void,-9.9642,NED
NGC1705,73.55611,-53.36096,,5.73,2,TRGB,1,261.0784,-38.7435,1.3496,wall,,SIMBAD
NGC2366,112.21855,69.21079,,3.27,2,TRGB,1,146.4240,28.5330,1.5151,wall,,SIMBAD
NGC2403,114.21374,65.60268,133,3.16,2,TRGB,1,150.5689,29.1856,1.5151,wall,-9.7046,NED
NGC2683,133.17210,33.42185,411,9.81,2,TRGB,1,190.4546,38.7607,1.8047,wall,-9.9547,NED
NGC2841,140.51111,50.97661,635,14.10,3,Cepheid,1,166.9419,44.1513,2.3253,wall,-9.4924,NED
NGC2903,143.04213,21.50083,550,6.60,1,Hubble-Flow,0,208.7115,44.5401,2.1461,wall,-9.7226,NED
NGC2915,141.54931,-76.62666,468,4.06,2,TRGB,1,291.9666,-18.3573,1.1800,wall,-9.3983,NED
NGC2955,145.31924,35.88226,,97.90,1,Hubble-Flow,0,188.4455,48.9423,3.0593,wall,,SIMBAD
NGC2976,146.81441,67.91638,,3.58,2,TRGB,1,143.9144,40.9025,1.5151,wall,,SIMBAD
NGC2998,147.18171,44.08142,4784,68.10,1,Hubble-Flow,0,175.7181,49.8101,0.9548,void,-9.8760,NED
NGC3109,150.77867,-26.15958,403,1.33,2,TRGB,1,262.1017,23.0702,1.3681,wall,-9.7392,NED
NGC3198,154.97918,45.54982,660,13.80,3,Cepheid,1,171.2182,54.8289,3.1566,wall,-9.9086,NED
NGC3521,166.45237,-0.03590,,7.70,1,Hubble-Flow,0,255.5317,52.8292,3.4456,wall,,SIMBAD
NGC3726,173.33798,47.02922,864,18.00,4,UrsaMajor-clust,1,155.3789,64.8786,4.8821,cluster,-9.9776,NED
NGC3741,174.02576,45.28391,230,3.21,2,TRGB,1,157.5707,66.4464,1.6571,wall,-9.7907,NED
NGC3769,174.43360,47.89296,737,18.00,4,UrsaMajor-clust,1,152.7222,64.7494,4.2802,cluster,-9.9605,NED
NGC3877,176.53242,47.49450,,18.00,4,UrsaMajor-clust,1,150.7196,65.9566,4.2802,cluster,,SIMBAD
NGC3893,177.15900,48.71090,967,18.00,4,UrsaMajor-clust,1,148.1551,65.2272,4.2802,cluster,-9.7212,NED
NGC3917,177.68954,51.82462,965,18.00,4,UrsaMajor-clust,1,143.6496,62.7938,4.4349,cluster,-9.7413,NED
NGC3949,178.42388,47.85872,,18.00,4,UrsaMajor-clust,1,147.6336,66.4058,4.2802,cluster,,SIMBAD
NGC3953,178.45420,52.32680,,18.00,4,UrsaMajor-clust,1,142.2175,62.5902,4.4349,cluster,,SIMBAD
NGC3972,178.93803,55.32059,842,18.00,4,UrsaMajor-clust,1,138.8480,60.0535,3.7516,wall,-9.6279,NED
NGC3992,179.39985,53.37471,1047,23.70,5,SNIa,1,140.0916,61.9232,2.5275,wall,-9.7557,NED
NGC4010,179.65820,47.26144,902,18.00,4,UrsaMajor-clust,1,146.6730,67.3588,4.2802,cluster,-9.8206,NED
NGC4013,179.63045,43.94741,831,18.00,4,UrsaMajor-clust,1,151.8647,70.0883,4.8821,cluster,-9.8612,NED
NGC4051,180.79004,44.53130,,18.00,4,UrsaMajor-clust,1,148.8831,70.0852,5.8700,cluster,,SIMBAD
NGC4068,181.01361,52.59057,,4.37,2,TRGB,1,138.9004,63.0438,2.0323,wall,,SIMBAD
NGC4085,181.34471,50.35295,,18.00,4,UrsaMajor-clust,1,140.5866,65.1671,4.2802,cluster,,SIMBAD
NGC4088,181.39284,50.53939,746,18.00,4,UrsaMajor-clust,1,140.3342,65.0108,4.2802,cluster,-10.0460,NED
NGC4100,181.53556,49.58250,1074,18.00,4,UrsaMajor-clust,1,141.1103,65.9165,4.2802,cluster,-9.7270,NED
NGC4138,182.37417,43.68524,,18.00,4,UrsaMajor-clust,1,147.3049,71.4038,5.8700,cluster,,SIMBAD
NGC4157,182.76817,50.48500,771,18.00,4,UrsaMajor-clust,1,138.4712,65.4079,4.2802,cluster,-9.8996,NED
NGC4183,183.32032,43.69859,929,18.00,4,UrsaMajor-clust,1,145.3974,71.7270,5.8700,cluster,-9.9537,NED
NGC4214,183.91322,36.32689,,2.87,2,TRGB,1,160.2543,78.0745,1.6301,wall,,SIMBAD
NGC4217,183.96208,47.09179,,18.00,4,UrsaMajor-clust,1,139.8978,68.8468,4.8818,cluster,,SIMBAD
NGC4389,186.39624,45.68467,,18.00,4,UrsaMajor-clust,1,136.7277,70.7448,4.8818,cluster,,SIMBAD
NGC4559,188.99012,27.95996,814,9.00,1,Hubble-Flow,0,198.4150,86.4700,4.5361,cluster,-10.0002,NED
NGC5005,197.73463,37.05894,,16.90,5,SNIa,1,101.6125,79.2492,6.5060,cluster,,SIMBAD
NGC5033,198.36447,36.59392,873,15.70,1,Hubble-Flow,0,98.0602,79.4479,6.5922,cluster,-9.7845,NED
NGC5055,198.95537,42.02932,500,9.90,2,TRGB,1,105.9975,74.2876,3.7896,wall,-10.0675,NED
NGC5371,208.91642,40.46174,2558,39.70,1,Hubble-Flow,0,82.1729,71.1961,2.6833,wall,-10.1616,NED
NGC5585,214.95071,56.72948,303,7.06,1,Hubble-Flow,0,100.9970,56.4746,2.1834,wall,-9.9226,NED
NGC5907,228.97183,56.32988,665,17.30,2,TRGB,1,91.5866,51.0873,1.5602,wall,-9.9051,NED
NGC5985,234.90440,59.33203,2521,39.70,1,Hubble-Flow,0,92.9794,46.8295,1.4011,wall,-9.3703,NED
NGC6015,237.85536,62.31007,833,17.00,1,Hubble-Flow,0,95.6924,44.1244,1.3216,wall,-9.7587,NED
NGC6195,249.13569,39.02789,,127.80,1,Hubble-Flow,0,62.3113,42.1426,8.0456,cluster,,SIMBAD
NGC6503,267.36010,70.14433,25,6.26,2,TRGB,1,100.5726,30.6409,1.2234,wall,-9.8348,NED
NGC6674,279.64109,25.37516,3429,51.20,1,Hubble-Flow,0,54.5925,13.9192,1.8718,wall,-9.7583,NED
NGC6789,289.17154,63.97331,,3.52,2,TRGB,1,94.9750,21.5189,1.2234,wall,,SIMBAD
NGC6946,308.71801,60.15391,40,5.52,2,TRGB,1,95.7189,11.6729,1.0061,wall,-9.9335,NED
NGC7331,339.26693,34.41576,816,14.70,3,Cepheid,1,93.7219,-20.7240,0.6324,void,-9.8194,NED
NGC7793,359.45721,-32.59099,225,3.61,2,TRGB,1,4.5163,-77.1711,1.0799,wall,-9.7578,NED
NGC7814,0.81213,16.14531,1051,14.40,2,TRGB,1,106.4088,-45.1748,0.6142,void,-9.5113,NED
PGC51017,214.25715,43.50376,,13.60,2,TRGB,1,81.9607,66.1970,3.3750,wall,,SIMBAD
UGC00128,3.46203,35.99402,4531,64.50,1,Hubble-Flow,0,114.4609,-26.2587,1.8638,wall,-9.9693,NED
UGC00191,5.02073,10.87913,1143,17.10,1,Hubble-Flow,0,110.5793,-51.2390,0.7133,void,-9.7609,NED
UGC00634,15.35380,7.62567,2216,30.90,1,Hubble-Flow,0,127.2624,-55.1622,1.1875,wall,-9.8312,NED
UGC00731,17.68334,49.60211,639,12.50,1,Hubble-Flow,0,126.1403,-13.1494,0.7592,void,-9.7031,NED
UGC00891,20.32915,12.41251,643,10.20,1,Hubble-Flow,0,134.2761,-49.8000,1.0387,wall,-10.0522,NED
UGC01230,26.38438,25.52147,,53.70,1,Hubble-Flow,0,138.0071,-35.7616,1.9525,wall,,SIMBAD
UGC01281,27.38172,32.58876,156,5.27,2,TRGB,1,136.8705,-28.7059,1.0554,wall,-9.9340,NED
UGC02023,38.32583,33.49111,,10.40,1,Hubble-Flow,0,146.1872,-24.7395,0.8233,void,,SIMBAD
UGC02259,41.98113,37.53787,583,10.50,1,Hubble-Flow,0,147.1456,-19.7966,0.7709,void,-9.5641,NED
UGC02455,44.92855,25.24121,,6.92,1,Hubble-Flow,0,156.3068,-29.1915,0.9752,void,,SIMBAD
UGC02487,45.42640,35.20561,4955,69.10,1,Hubble-Flow,0,150.9350,-20.4859,5.6859,cluster,-9.5298,NED
UGC02885,58.26718,35.59211,5801,80.60,1,Hubble-Flow,0,159.5823,-14.0463,5.1927,cluster,-9.7483,NED
UGC02916,60.64137,71.70593,4524,65.40,1,Hubble-Flow,0,136.8060,14.1948,3.4422,wall,-10.0425,NED
UGC02953,61.94527,69.81246,895,16.50,1,Hubble-Flow,0,138.4631,13.1102,1.2976,wall,-9.6154,NED
UGC03205,74.06197,30.05236,3589,50.00,1,Hubble-Flow,0,172.9608,-8.2061,0.5975,void,-9.6637,NED
UGC03546,102.53604,60.84580,1840,28.70,1,Hubble-Flow,0,154.9689,23.3139,0.6738,void,-9.7990,NED
UGC03580,103.87902,69.56316,1201,20.70,1,Hubble-Flow,0,145.7168,25.6462,1.5356,wall,-9.9270,NED
UGC04278,123.49546,45.74214,557,9.51,1,Hubble-Flow,0,174.1240,33.0573,1.3749,wall,-9.8051,NED
UGC04305,124.77078,70.72030,,3.45,2,TRGB,1,144.2764,32.6884,1.5151,wall,,SIMBAD
UGC04325,124.83524,50.00953,524,9.60,1,Hubble-Flow,0,169.0972,34.2904,1.9084,wall,-9.3981,NED
UGC04483,129.26238,69.77578,156,3.34,2,TRGB,1,144.9671,34.3803,1.5151,wall,-10.2423,NED
UGC04499,129.42284,51.65247,691,12.50,1,Hubble-Flow,0,167.0909,37.1955,1.8836,wall,-9.9828,NED
UGC05005,141.12250,22.27473,,53.70,1,Hubble-Flow,0,206.9573,43.0673,0.7238,void,,SIMBAD
UGC05253,147.59262,72.27864,1324,22.90,1,Hubble-Flow,0,139.0135,38.6828,2.3654,wall,-9.7973,NED
UGC05414,150.98897,40.75698,592,9.40,1,Hubble-Flow,0,180.2924,53.1016,3.3375,wall,-10.0549,NED
UGC05716,157.93031,25.30783,1277,21.30,1,Hubble-Flow,0,208.2391,58.7112,2.8155,wall,-9.8233,NED
UGC05721,158.07168,27.66880,528,6.18,1,Hubble-Flow,0,203.7571,59.2133,2.4019,wall,-9.3218,NED
UGC05750,158.93802,20.99024,,58.70,1,Hubble-Flow,0,216.7166,58.5226,0.5678,void,,SIMBAD
UGC05764,159.18064,31.54698,582,7.47,1,Hubble-Flow,0,196.1779,60.4270,2.9472,wall,-9.4714,NED
UGC05829,160.67462,34.44888,629,8.64,1,Hubble-Flow,0,190.0696,61.5305,4.0534,cluster,-10.0629,NED
UGC05918,162.40208,65.53056,340,7.66,1,Hubble-Flow,0,140.9046,47.1215,2.3541,wall,-9.9463,NED
UGC05986,163.12905,36.61862,616,8.63,1,Hubble-Flow,0,184.7732,63.1619,4.0534,cluster,-9.4913,NED
UGC05999,163.24438,7.61980,,47.70,1,Hubble-Flow,0,242.2352,55.8280,0.6617,void,,SIMBAD
UGC06399,170.84676,50.89271,791,18.00,4,UrsaMajor-clust,1,152.0791,60.9605,3.6395,wall,-9.7516,NED
UGC06446,171.66860,53.74695,646,12.00,1,Hubble-Flow,0,147.5602,59.1397,4.0277,cluster,-9.6284,NED
UGC06614,174.81198,17.14367,6359,88.70,1,Hubble-Flow,0,240.1015,70.5638,6.5373,cluster,-9.9064,NED
UGC06628,175.02396,45.94215,,15.10,1,Hubble-Flow,0,155.1688,66.4666,4.7027,cluster,,SIMBAD
UGC06667,175.60960,51.59810,973,18.00,4,UrsaMajor-clust,1,146.2689,62.2901,4.4349,cluster,-9.2816,NED
UGC06786,177.28936,27.02201,1800,29.30,1,Hubble-Flow,0,209.8075,76.1447,2.1749,wall,-9.4052,NED
UGC06787,177.31361,56.08451,1162,21.30,1,Hubble-Flow,0,139.7915,58.9617,2.9226,wall,-9.3964,NED
UGC06818,177.69563,45.80719,808,18.00,4,UrsaMajor-clust,1,151.7571,67.7783,4.2802,cluster,-10.1399,NED
UGC06917,179.11014,50.42879,911,18.00,4,UrsaMajor-clust,1,143.4822,64.4483,4.2802,cluster,-9.7436,NED
UGC06923,179.20609,53.16031,1087,18.00,4,UrsaMajor-clust,1,140.5155,62.0637,3.7516,wall,-9.8936,NED
UGC06930,179.32225,49.28320,777,18.00,4,UrsaMajor-clust,1,144.5463,65.5107,4.2802,cluster,-9.9240,NED
UGC06973,179.71761,42.72240,,18.00,4,UrsaMajor-clust,1,153.9677,71.0966,5.8700,cluster,,SIMBAD
UGC06983,179.79090,52.70720,1081,18.00,4,UrsaMajor-clust,1,140.2672,62.6261,4.4349,cluster,-9.6860,NED
UGC07089,181.49072,43.14331,770,18.00,4,UrsaMajor-clust,1,149.9207,71.5224,5.8700,cluster,-10.1826,NED
UGC07125,182.17622,36.80277,1069,19.80,1,Hubble-Flow,0,163.3367,76.7618,5.2172,cluster,-10.4780,NED
UGC07151,182.49429,46.45742,265,6.87,2,TRGB,1,143.1737,69.0075,2.8372,wall,-9.8635,NED
UGC07232,183.43652,36.63403,,2.83,2,TRGB,1,160.6159,77.5893,1.6301,wall,,SIMBAD
UGC07261,183.81004,20.65877,870,13.10,1,Hubble-Flow,0,249.0428,79.5037,8.2246,cluster,-9.8203,NED
UGC07323,184.37574,45.61930,515,8.00,1,Hubble-Flow,0,140.7703,70.3155,3.9084,wall,-10.0193,NED
UGC07399,185.15896,46.29178,531,8.43,1,Hubble-Flow,0,138.5547,69.8909,3.9084,wall,-9.1797,NED
UGC07524,186.45358,33.54686,319,4.74,2,TRGB,1,162.0948,81.5329,2.2457,wall,-9.8894,NED
UGC07559,186.77319,37.14177,,4.97,2,TRGB,1,148.5920,78.7449,2.2457,wall,,SIMBAD
UGC07577,186.92042,43.49556,,2.59,2,TRGB,1,137.7580,72.9422,1.6301,wall,,SIMBAD
UGC07603,187.18381,22.82045,644,4.70,1,Hubble-Flow,0,251.6412,83.2915,2.2457,wall,-9.5894,NED
UGC07608,187.18366,43.22383,,8.21,1,Hubble-Flow,0,137.4215,73.2599,3.9084,wall,,SIMBAD
UGC07690,188.11207,42.70412,538,8.11,1,Hubble-Flow,0,135.6417,73.9523,3.9084,wall,-9.9288,NED
UGC07866,190.56314,38.50162,,4.57,2,TRGB,1,131.9539,78.4653,2.2457,wall,,SIMBAD
UGC08286,198.05250,44.04122,407,6.50,2,TRGB,1,110.3815,72.5773,2.7249,wall,-9.6076,NED
UGC08490,202.40213,58.41872,201,4.65,2,TRGB,1,113.5008,58.0051,1.9401,wall,-9.6216,NED
UGC08550,203.51212,47.91488,359,6.70,1,Hubble-Flow,0,103.9484,67.6124,2.7249,wall,-9.7422,NED
UGC08699,206.28636,41.50341,2526,39.30,1,Hubble-Flow,0,88.9097,71.8921,2.7688,wall,-9.6634,NED
UGC08837,208.69083,53.90331,144,7.21,2,TRGB,1,103.6988,60.7966,2.1834,wall,-10.5833,NED
UGC09037,212.12144,7.05803,5940,83.60,1,Hubble-Flow,0,348.7798,62.8518,1.9037,wall,-10.0902,NED
UGC09133,214.03227,35.34387,3857,57.10,1,Hubble-Flow,0,62.6263,70.1748,3.0147,wall,-9.9224,NED
UGC09992,235.44939,67.25426,,10.70,1,Hubble-Flow,0,102.1913,42.3656,1.4576,wall,,SIMBAD
UGC10310,244.07604,47.04652,716,15.20,1,Hubble-Flow,0,73.6251,45.5286,1.0373,wall,-9.8234,NED
UGC11455,292.48472,72.11299,5393,78.60,1,Hubble-Flow,0,103.7486,22.8449,0.6228,void,-9.7594,NED
UGC11557,306.00274,60.19479,1388,24.20,1,Hubble-Flow,0,94.9802,12.8148,0.5240,void,-10.4930,NED
UGC11820,327.36847,14.23085,1100,18.10,1,Hubble-Flow,0,70.3384,-29.5156,0.3865,void,-9.9678,NED
UGC11914,331.96833,31.35934,,16.90,1,Hubble-Flow,0,86.5065,-19.7072,0.5557,void,,SIMBAD
UGC12506,349.87711,16.07481,7238,100.60,1,Hubble-Flow,0,92.9309,-41.3801,1.4662,wall,-9.5660,NED
UGC12632,352.49445,40.99038,415,9.77,1,Hubble-Flow,0,106.7709,-19.3110,0.7445,void,-9.8499,NED
UGC12732,355.16580,26.23651,747,13.20,1,Hubble-Flow,0,103.7377,-33.9836,0.6516,void,-9.7902,NED
UGCA281,186.56539,48.49398,,5.68,2,TRGB,1,134.1552,68.0820,2.0323,wall,,SIMBAD
UGCA442,355.94034,-31.95670,267,4.35,2,TRGB,1,10.7015,-74.5294,0.9446,void,-9.9311,NED
UGCA444,0.49125,-15.46389,,0.98,2,TRGB,1,75.8532,-73.6258,1.2919,wall,,SIMBAD
