#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T10:46:03 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T10:46:03	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/152/157/table1&-out=Name,Type,Dist,i,L3.6,Rdisk,MHI,Vflat,Qual,SimbadName,NEDname&-out.add=_RAJ2000,_DEJ2000&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520157
#Name: J/AJ/152/157
#Title: Mass models for 175 disk galaxies with SPARC (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..157L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_157_table1:
#Name: J/AJ/152/157/table1
#Title: *Galaxy sample
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Type	(I2)	[0/11] Numerical Hubble type (1)	[ucd=meta.note]
#Column	Dist	(F6.2)	[0.98/127.8] Assumed distance	[ucd=pos.distance;pos.heliocentric]
#Column	i	(F4.1)	[15/90] Assumed inclination angle (3)	[ucd=src.orbital.inclination;pos.posAng]
#Column	L3.6	(F7.3)	[0/490] Total luminosity at 3.6{mu}m (L_[3.6]_)	[ucd=phys.luminosity;em.IR]
#Column	Rdisk	(F5.2)	[0.18/18.8] The 3.6{mu}m scale length of the stellar disk (R_d_)	[ucd=src.morph.scLength]
#Column	MHI	(F7.3)	[0.01/40.1] Total HI mass (M_HI_)	[ucd=phys.mass]
#Column	Vflat	(F5.1)	[0/332] Asymptotically velocity along the flat part of the rotation curve (V_f_) (5)	[ucd=phys.veloc]
#Column	Qual	(I3)	[1/3] Rotation-curve quality flag (1=high, 2=medium, or 3=low) (6)	[ucd=meta.code.qual]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NEDname	(f)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000	_DEJ2000	Name	Type	Dist	i	L3.6	Rdisk	MHI	Vflat	Qual	SimbadName	NEDname
deg	deg	 	 	Mpc	deg	GLsun	kpc	GMsun	km/s	 	 	
-----------	-----------	-----------	--	------	----	-------	-----	-------	-----	---	-------------	-------------
073.2795833	+67.0991667	CamB       	10	  3.36	65.0	  0.075	 0.47	  0.012	  0.0	  2	NAME Cam B   	NAME Cam B
218.3346469	+26.9980389	D512-2     	10	 15.20	56.0	  0.325	 1.24	  0.081	  0.0	  2	ESDO 512-02  	ESDO 512-02
135.7223189	+20.0756139	D564-8     	10	  8.79	63.0	  0.033	 0.61	  0.029	  0.0	  2	ESDO 564-8   	ESDO 564-8
119.2542811	+14.3965711	D631-7     	10	  7.72	59.0	  0.196	 0.70	  0.290	 57.7	  1	ESDO 631-7   	ESDO 631-7
147.5948689	+31.4882769	DDO064     	10	  6.80	60.0	  0.157	 0.69	  0.211	 46.1	  1	DDO064       	DDO064
193.5218667	+27.1496306	DDO154     	10	  4.04	64.0	  0.053	 0.37	  0.275	 47.0	  2	DDO154       	DDO154
195.8197333	-17.4230306	DDO161     	10	  7.50	70.0	  0.548	 1.22	  1.378	 66.3	  1	DDO161       	DDO161
198.6166561	+45.9197619	DDO168     	10	  4.25	63.0	  0.191	 1.02	  0.413	 53.4	  2	DDO168       	DDO168
198.9740769	+25.4361481	DDO170     	10	 15.40	66.0	  0.543	 1.95	  0.735	 60.0	  2	DDO170       	DDO170
015.7143583	-65.6099917	ESO079-G014	 4	 28.70	79.0	 51.733	 5.08	  3.140	175.0	  1	ESO079-G014  	ESO079-G014
048.2697750	-57.3572472	ESO116-G012	 7	 13.00	74.0	  4.292	 1.51	  1.083	109.1	  1	ESO116-G012  	ESO116-G012
204.3350000	-28.0441667	ESO444-G084	10	  4.83	32.0	  0.071	 0.46	  0.135	  0.0	  2	ESO444-G084  	ESO444-G084
131.8207542	-20.0356611	ESO563-G021	 4	 60.80	83.0	311.177	 5.45	 24.298	314.6	  1	ESO563-G021  	ESO563-G021
122.3858333	+22.5594444	F561-1     	 9	 66.40	24.0	  4.077	 2.79	  1.622	 50.0	  3	LSB F561-1   	LSB F561-1
133.7558333	+19.7516667	F563-1     	 9	 48.90	25.0	  1.903	 3.52	  3.200	109.9	  1	LSB F563-1   	LSB F563-1
131.6575000	+18.8902778	F563-V1    	10	 54.00	60.0	  1.540	 3.79	  0.610	  0.0	  3	VLSB F563-V01	VLSB F563-V01
133.2583333	+18.4383333	F563-V2    	10	 59.70	29.0	  2.986	 2.43	  2.169	116.6	  1	VLSB F563-V02	VLSB F563-V02
144.4025000	+21.7708333	F565-V2    	10	 51.80	60.0	  0.559	 2.17	  0.699	  0.0	  2	VLSB F565-V02	VLSB F565-V02
154.4845833	+21.0613889	F567-2     	 9	 79.00	20.0	  2.134	 3.08	  2.449	  0.0	  3	LSB F567-2   	LSB F567-2
156.4254167	+22.4244444	F568-1     	 5	 90.70	26.0	  6.252	 5.18	  4.498	  0.0	  1	LSB F568-1   	LSB F568-1
156.7458333	+22.2266667	F568-3     	 7	 82.40	40.0	  8.346	 4.99	  3.195	  0.0	  1	LSB F568-3   	LSB F568-3
161.2586000	+22.0543167	F568-V1    	 7	 80.60	40.0	  3.825	 2.85	  2.491	112.3	  1	VLSB F568-V01	VLSB F568-V01
173.4762500	+19.3550000	F571-8     	 5	 53.30	85.0	 10.164	 3.56	  1.782	139.7	  1	LSB F571-8   	LSB F571-8
