name,T,D_Mpc,fD,inc,L36,MHI,Vflat,Q,ref
CamB,10,3.36,2,65.0,0.075,0.012,0.0,2,Bm03
D512-2,10,15.2,1,56.0,0.325,0.081,0.0,2,Tr09
D564-8,10,8.79,2,63.0,0.033,0.029,0.0,2,Tr09
D631-7,10,7.72,2,59.0,0.196,0.29,57.7,1,"Tr09,dB01"
DDO064,10,6.8,1,60.0,0.157,0.211,46.1,1,"dB02,Sw02"
DDO154,10,4.04,2,64.0,0.053,0.275,47.0,2,"Be91,CB89"
DDO161,10,7.5,1,70.0,0.548,1.378,66.3,1,Co00
DDO168,10,4.25,2,63.0,0.191,0.413,53.4,2,"Sa96,Br92"
DDO170,10,15.4,1,66.0,0.543,0.735,60.0,2,"Be91,La90"
ESO079-G014,4,28.7,1,79.0,51.733,3.14,175.0,1,Ge04
ESO116-G012,7,13.0,1,74.0,4.292,1.083,109.1,1,Ge04
ESO444-G084,10,4.83,2,32.0,0.071,0.135,0.0,2,Co00
ESO563-G021,4,60.8,1,83.0,311.177,24.298,314.6,1,SG06
F561-1,9,66.4,1,24.0,4.077,1.622,50.0,3,"dB97,dB96"
F563-1,9,48.9,1,25.0,1.903,3.2,109.9,1,"KN08,dB96"
F563-V1,10,54.0,1,60.0,1.54,0.61,0.0,3,"dB97,dB96"
F563-V2,10,59.7,1,29.0,2.986,2.169,116.6,1,"dB01,dB96"
F565-V2,10,51.8,1,60.0,0.559,0.699,0.0,2,"dB97,dB96"
F567-2,9,79.0,1,20.0,2.134,2.449,0.0,3,"dB97,dB96"
F568-1,5,90.7,1,26.0,6.252,4.498,0.0,1,"dB01,dB96"
F568-3,7,82.4,1,40.0,8.346,3.195,0.0,1,"KN08,dB96"
F568-V1,7,80.6,1,40.0,3.825,2.491,112.3,1,"dB01,dB96"
F571-8,5,53.3,1,85.0,10.164,1.782,139.7,1,"dB01,dB96"
F571-V1,7,80.1,1,30.0,1.849,1.217,83.6,2,"dB97,dB96"
F574-1,7,96.8,1,65.0,6.537,3.524,97.8,1,"dB01,dB96"
F574-2,9,89.1,1,30.0,2.877,1.701,0.0,3,"dB97,dB96"
F579-V1,5,89.5,1,26.0,11.848,2.245,112.1,1,"dB01,dB96"
F583-1,9,35.4,1,63.0,0.986,2.126,85.8,1,"KN08,dB96"
F583-4,5,53.3,1,55.0,1.715,0.641,0.0,1,"KN08,dB96"
IC2574,9,3.91,2,75.0,1.016,1.036,66.4,2,"Sa96,MC94"
IC4202,4,100.4,1,90.0,179.749,12.326,242.6,1,SG06
KK98-251,10,6.8,1,59.0,0.085,0.115,33.7,2,BC04
NGC0024,5,7.3,2,64.0,3.889,0.676,106.3,1,"Di08,Ch06"
NGC0055,9,2.11,2,77.0,4.628,1.565,85.6,2,"Sa96,Pu91"
NGC0100,6,13.5,1,89.0,3.232,1.99,88.1,1,"dB02,Rh96"
NGC0247,7,3.7,2,74.0,7.332,1.746,104.9,2,"Sa96,Ca90"
NGC0289,4,20.8,1,46.0,72.065,27.469,163.0,2,Wa97
NGC0300,7,2.08,2,42.0,2.922,0.936,93.3,2,"Sa96,CP90"
NGC0801,5,80.7,1,80.0,312.57,23.201,220.1,1,"Sa96,Br92"
NGC0891,3,9.91,2,90.0,138.34,4.462,216.1,1,Fr11
NGC1003,6,11.4,1,67.0,6.82,5.88,109.8,1,"Sa96,Br92"
NGC1090,4,37.0,1,64.0,72.045,8.783,164.4,1,Ge04
NGC1705,11,5.73,2,80.0,0.533,0.139,71.9,3,Le14
NGC2366,10,3.27,2,68.0,0.236,0.647,50.2,3,Le14
NGC2403,6,3.16,2,63.0,10.041,3.199,131.2,1,"Da06,Fr02"
NGC2683,3,9.81,2,80.0,80.415,1.406,154.0,2,"Sa96,Br92"
NGC2841,3,14.1,3,76.0,188.121,9.775,284.8,1,"Di08,Be91"
NGC2903,4,6.6,1,66.0,81.863,2.552,184.6,1,"Be91,Be87"
NGC2915,11,4.06,2,56.0,0.641,0.508,83.5,2,El10
NGC2955,3,97.9,1,56.0,319.422,28.949,0.0,1,SG06
NGC2976,5,3.58,2,61.0,3.371,0.172,85.4,2,Si03
NGC2998,5,68.1,1,58.0,150.902,23.451,209.9,1,"Sa96,Br92"
NGC3109,9,1.33,2,70.0,0.194,0.477,66.2,1,"Be91,JC90"
NGC3198,5,13.8,3,73.0,38.279,10.869,150.1,1,"Da06,Be91,Be87"
NGC3521,4,7.7,1,75.0,84.836,4.154,213.7,1,"Da06,Sa96"
NGC3726,5,18.0,4,53.0,70.234,6.473,168.0,2,"VS01,SV98"
NGC3741,10,3.21,2,70.0,0.028,0.182,50.1,1,"Ge07,Bm05"
NGC3769,3,18.0,4,70.0,18.679,5.529,118.6,2,"VS01,SV98"
NGC3877,5,18.0,4,76.0,72.535,1.483,168.4,2,"VS01,SV98"
NGC3893,5,18.0,4,49.0,58.525,5.799,174.0,1,"VS01,SV98"
NGC3917,6,18.0,4,79.0,21.966,1.888,135.9,1,"VS01,SV98"
NGC3949,4,18.0,4,55.0,38.067,3.371,163.0,2,"VS01,SV98"
NGC3953,4,18.0,4,62.0,141.301,2.832,220.8,1,"VS01,SV98"
NGC3972,4,18.0,4,77.0,14.353,1.214,132.7,1,"VS01,SV98"
NGC3992,4,23.7,5,56.0,226.932,16.599,241.0,1,"VS01,SV98"
NGC4010,7,18.0,4,89.0,17.193,2.832,125.8,2,"VS01,SV98"
NGC4013,3,18.0,4,89.0,79.094,2.967,172.9,2,"VS01,SV98"
NGC4051,4,18.0,4,49.0,95.268,2.697,157.0,2,"VS01,SV98"
NGC4068,10,4.37,2,44.0,0.236,0.154,0.0,2,Le14
NGC4085,5,18.0,4,82.0,21.724,1.349,131.5,2,"VS01,SV98"
NGC4088,4,18.0,4,69.0,107.286,8.226,171.7,1,"VS01,SV98"
NGC4100,4,18.0,4,73.0,59.394,3.102,158.2,1,"VS01,SV98"
NGC4138,0,18.0,4,53.0,44.111,1.483,147.3,2,"VS01,SV98"
NGC4157,3,18.0,4,82.0,105.62,8.226,184.7,1,"VS01,SV98"
NGC4183,6,18.0,4,82.0,10.838,3.506,110.6,1,"VS01,SV98"
NGC4214,10,2.87,2,15.0,1.141,0.486,80.1,2,Le14
NGC4217,3,18.0,4,86.0,85.299,2.562,181.3,1,"VS01,SV98"
NGC4389,4,18.0,4,50.0,21.328,0.539,0.0,3,"VS01,SV98"
NGC4559,6,9.0,1,67.0,19.377,5.811,121.2,1,Ba05
NGC5005,4,16.9,5,68.0,178.72,1.28,262.2,1,Ri15
NGC5033,5,15.7,1,66.0,110.509,11.314,194.2,1,"Sa96,Be87"
NGC5055,4,9.9,2,55.0,152.922,11.722,179.0,1,"Ba06,Bl04"
NGC5371,4,39.7,1,53.0,340.393,11.18,209.5,1,"Sa96,Be87"
NGC5585,7,7.06,1,51.0,2.943,1.683,90.3,1,"Bl99,Sa96,Co91"
NGC5907,5,17.3,2,88.0,175.425,21.025,215.0,1,"Sa96,SA87"
NGC5985,3,39.7,1,60.0,208.728,11.586,293.6,1,"Bl04,Br92"
NGC6015,6,17.0,1,60.0,32.129,5.834,154.1,2,VM97
NGC6195,3,127.8,1,62.0,391.076,20.907,251.7,1,SG06
NGC6503,6,6.26,2,74.0,12.845,1.744,116.3,1,"Be91,Be87"
NGC6674,3,51.2,1,54.0,214.654,32.165,241.3,1,"Sa96,Br92"
NGC6789,11,3.52,2,43.0,0.1,0.017,0.0,2,Le14
NGC6946,6,5.52,2,38.0,66.173,5.67,158.9,1,Bo08
NGC7331,3,14.7,3,75.0,250.631,11.067,239.0,1,"Be91,Be87"
NGC7793,7,3.61,2,47.0,7.05,0.861,0.0,1,"Di08,Sa96,CP90"
NGC7814,2,14.4,2,90.0,74.529,1.07,218.9,1,Fr11
PGC51017,11,13.6,2,66.0,0.155,0.201,18.6,3,Le14
UGC00128,8,64.5,1,57.0,12.02,7.431,129.3,1,"VB99,VH93"
UGC00191,9,17.1,1,45.0,2.004,1.343,0.0,1,"KN08,vZ97"
UGC00634,9,30.9,1,37.0,2.989,3.663,0.0,2,vZ97
UGC00731,10,12.5,1,57.0,0.323,1.807,73.3,1,"Sw09,Sw02"
UGC00891,9,10.2,1,60.0,0.374,0.428,0.0,2,vZ97
UGC01230,9,53.7,1,22.0,7.62,6.43,103.7,1,"dB02,VdH93"
UGC01281,8,5.27,2,90.0,0.353,0.294,55.2,1,"dB02,Sw02"
UGC02023,10,10.4,1,19.0,1.308,0.477,0.0,2,"Sw09,Sw02"
UGC02259,8,10.5,1,41.0,1.725,0.494,86.2,2,"Be91,Ca88"
UGC02455,10,6.92,1,51.0,3.649,0.803,0.0,3,"Sw09,Sw02"
UGC02487,0,69.1,1,36.0,489.955,17.963,332.0,1,"No07,No05"
UGC02885,5,80.6,1,64.0,403.525,40.075,289.5,1,"Sa96,RA85"
UGC02916,2,65.4,1,50.0,124.153,23.273,182.7,2,"No07,No05"
UGC02953,2,16.5,1,50.0,259.518,7.678,264.9,2,"No07,No05"
UGC03205,2,50.0,1,67.0,113.642,9.677,219.6,1,"No07,No05"
UGC03546,1,28.7,1,55.0,101.336,2.675,196.9,1,"No07,No05"
UGC03580,1,20.7,1,63.0,13.266,4.37,126.2,2,"No07,No05"
UGC04278,7,9.51,1,90.0,1.307,1.116,91.4,1,"dB02,Sw02"
UGC04305,10,3.45,2,40.0,0.736,0.69,34.5,3,"Sw09,Sw02"
UGC04325,9,9.6,1,41.0,2.026,0.678,90.9,1,"Sw09,Sw02"
UGC04483,10,3.34,2,58.0,0.013,0.032,0.0,2,"Le14,Le12"
UGC04499,8,12.5,1,50.0,1.552,1.1,72.8,1,"Sw09,Sw02"
UGC05005,10,53.7,1,41.0,4.1,3.093,98.9,1,"dB02,VH93"
UGC05253,2,22.9,1,37.0,171.582,16.396,213.7,2,"No07,No05"
UGC05414,10,9.4,1,55.0,1.123,0.574,0.0,1,"Sw09,Sw02"
UGC05716,9,21.3,1,54.0,0.588,1.094,73.1,2,vZ97
UGC05721,7,6.18,1,61.0,0.531,0.562,79.7,1,"dB02,Sw02"
UGC05750,8,58.7,1,64.0,3.336,1.099,0.0,1,"dB01,VdH93"
UGC05764,10,7.47,1,60.0,0.085,0.163,0.0,2,vZ97
UGC05829,10,8.64,1,34.0,0.564,1.023,0.0,2,"Sw09,Sw02"
UGC05918,10,7.66,1,46.0,0.233,0.297,0.0,2,"Sw09,Sw02"
UGC05986,9,8.63,1,90.0,4.695,2.667,113.0,2,"Sw09,Sw02"
UGC05999,10,47.7,1,22.0,3.384,2.022,0.0,2,"dB97,VH93"
UGC06399,9,18.0,4,75.0,2.296,0.674,85.0,1,"VS01,SV98"
UGC06446,7,12.0,1,51.0,0.988,1.379,82.2,1,"VS01,SV98"
UGC06614,1,88.7,1,36.0,124.35,21.888,199.8,1,"dB01,VH93"
UGC06628,9,15.1,1,20.0,3.739,1.5,41.8,2,"Sw09,Sw02"
UGC06667,6,18.0,4,89.0,1.397,0.809,83.8,1,"VS01,SV98"
UGC06786,0,29.3,1,64.0,73.407,5.03,219.4,1,"No07,No05"
UGC06787,2,21.3,1,66.0,98.256,5.03,248.1,2,"No07,No05"
UGC06818,9,18.0,4,75.0,1.588,1.079,71.2,2,"VS01,SV98"
