#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:11:19 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:11:19	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/145/101/catalog&-out=Name,_RA,_DE,Kmag,W50,TT,HRV,Dist,f_Dist,i,vAmp,KLum,MHI,Vlg,Ti1,MD,Ti5&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	creator=Karachentsev I.D.	    First author or institution
#INFO	cites=bibcode:2013AJ....145..101K	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51450101	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Kmag	(F5.2)	[-1.75/17.54]? 2MASS Ks band magnitude (6)	[ucd=phot.mag;em.IR.K]
#Column	W50	(I3)	? HI line width at 50% level from maximum (9)	[ucd=spect.line.width;em.line.HI]
#Column	TT	(I2)	[-3/11]? Morphology T-type code (10)	[ucd=src.morph]
#Column	HRV	(I4)	[-556/2219]? Heliocentric radial velocity (12)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	f_Dist	(A4)	Method used to obtain Dist (G1)	[ucd=meta.code]
#Column	i	(I2)	[0/90]? Inclination of galaxy from the face-on (i=0) position	[ucd=src]
#Column	vAmp	(I3)	? Amplitude of rotational velocity (14)	[ucd=phys.veloc.rotat]
#Column	KLum	(F5.2)	[3.19/11.3]? log(luminosity) in Ks band (18)	[ucd=phys.luminosity;em.IR.K]
#Column	MHI	(F5.2)	[1.12/10.19]? log(Hydrogen mass) (20)	[ucd=arith.zp]
#Column	Vlg	(I4)	[-303/2094]? Local group radial velocity (21)	[ucd=phys.veloc;pos.lg]
#Column	Ti1	(F4.1)	[-3/6.5]? Tidal index {Theta}_1_ (22)	[ucd=src.class.struct]
#Column	MD	(a15)	Main disturber name (23)	[ucd=meta.id.assoc]
#Column	Ti5	(F4.1)	[-2.5/6.5]? Tidal index {Theta}_5_ (24)	[ucd=src.class.struct]
Name	_RAJ2000	_DEJ2000	Kmag	W50	TT	HRV	Dist	f_Dist	i	vAmp	KLum	MHI	Vlg	Ti1	MD	Ti5
 	deg	deg	mag	km/s	 	km/s	Mpc	 	deg	km/s	[Lsun]	[Msun]	km/s	 	 	
------------------	----------	----------	-----	---	--	----	-----	----	--	---	-----	-----	----	----	---------------	----
UGC12894          	000.093750	+39.495556	14.02	 34	10	 335	 8.47	TF  	33	 21	 7.58	 7.92	 619	-1.5	NGC7640        	-1.2
WLM               	000.492083	-15.461111	 9.00	 53	 9	-122	 0.97	TRGB	90	 22	 7.69	 7.83	 -16	 0.0	MESSIER031     	 0.2
And XVIII         	000.560417	+45.088889	12.49	   	-3	-332	 1.36	TRGB	10	   	 6.60	     	 -44	 0.4	MESSIER031     	 0.5
ESO409-015        	001.382500	-28.098056	12.74	 53	 9	 726	 7.70	TF  	78	 23	 7.99	 7.99	 769	-1.7	NGC0253        	-1.2
AGC748778         	001.643333	+15.510833	16.29	 16	10	 258	 5.40	h'  	70	  3	 6.27	 6.51	 486	-1.6	NGC0253        	-1.3
And XX            	001.877917	+35.132222	14.67	   	-3	-456	 0.80	TRGB	58	   	 5.26	     	-182	 2.4	MESSIER031     	 2.4
UGC00064          	001.933333	+40.875556	12.84	 60	10	 305	 9.60	TF  	66	 28	 8.15	 8.58	 587	-1.7	DDO217         	-1.3
ESO349-031        	002.055417	-34.578333	13.02	 30	10	 221	 3.21	TRGB	39	 14	 7.12	 7.13	 230	 0.0	NGC0253        	 0.1
NGC0024           	002.485000	-24.963333	 8.96	213	 5	 550	 9.90	TF  	85	 95	 9.75	 8.91	 606	-1.0	NGC0045        	-0.8
NGC0045           	003.516250	-23.182222	 9.09	172	 8	 465	 9.20	TF  	47	103	 9.61	 9.47	 528	-0.9	NGC0024        	-0.8
NGC0055           	003.785417	-39.220278	 6.25	169	 8	 129	 2.13	TRGB	84	 74	 9.49	 9.45	 111	 0.1	NGC0300        	 0.1
NGC0059           	003.854583	-21.443889	10.10	 50	-3	 361	 5.30	SBF 	90	 21	 8.72	 7.40	 431	-0.5	NGC0253        	-0.4
ESO410-005        	003.880833	-32.180000	12.50	 23	10	  36	 1.92	TRGB	45	  4	 6.88	 5.91	  53	 0.0	NGC0055        	 0.2
And XIX           	004.883750	+35.043611	12.45	   	-3	-111	 0.93	TRGB	41	   	 6.28	     	 157	 1.9	MESSIER031     	 1.9
IC0010            	005.102083	+59.291667	 6.51	 62	10	-346	 0.66	Cep 	33	 49	 8.47	 8.00	 -62	 1.6	MESSIER031     	 1.6
And XXVI          	005.940000	+47.916111	13.88	   	-3	-261	 0.76	HB  	52	   	 5.54	     	  21	 2.8	MESSIER031     	 2.9
Sc22              	005.965417	-24.705000	13.57	   	-3	    	 4.21	TRGB	48	   	 7.14	 4.98	    	 1.1	NGC0253        	 1.1
Cetus             	006.545833	-11.044444	10.19	   	-1	 -87	 0.78	TRGB	55	   	 7.02	 4.18	  26	 0.3	MESSIER031     	 0.5
ESO294-010        	006.638750	-41.855556	14.08	 23	10	 107	 1.92	TRGB	58	  3	 6.25	 5.48	  71	 0.4	NGC0055        	 0.5
UGC00288          	007.266667	+43.431667	12.99	 36	10	 187	 6.73	BS  	60	 15	 7.78	 7.68	 463	-1.9	NGC0891        	-1.4
And XXV           	007.537083	+46.851944	11.42	   	-3	-108	 0.81	HB  	52	   	 6.58	     	 170	 2.9	MESSIER031     	 2.9
ESO473-024        	007.843750	-22.765833	13.96	 48	10	 530	 9.90	TF  	63	 22	 7.72	 8.18	 584	-1.1	NGC0024        	-0.8
NGC0147           	008.298333	+48.507778	 7.20	   	-3	-193	 0.76	TRGB	70	   	 8.21	 3.74	  85	 2.8	MESSIER031     	 2.8
And III           	008.890833	+36.497778	11.01	   	-3	-346	 0.75	TRGB	90	   	 6.66	 5.55	 -82	 3.2	MESSIER031     	 3.2
