name,ra,dec,M_r,Re_r_arcsec,M_H,Re_H_arcsec,morph,Vrot,e_Vrot,sigma_e,e_sigma_e,sigma_avg,e_sigma_avg,logMe_pub,fDM_pub,e_fDM_pub
VCC0009,12:09:22.25,+13:59:32.74,-18.2,37.2,-19.1,33.9,dE (N),20.2,4.8,26.0,3.9,26.0,4.6,9.24,0.28,0.30
VCC0021,12:10:23.15,+10:11:19.04,-17.1,15.2,-17.6,14.2,dE (bc;N),10.7,8.1,28.9,2.9,27.7,3.0,8.88,0.61,0.15
VCC0033,12:11:07.79,+14:16:29.19,-16.9,9.8,-17.6,9.7,dE (N),0.9,4.0,20.8,4.9,21.8,4.6,8.56,0.19,0.41
VCC0170,12:15:56.34,+14:26:00.33,-17.6,31.3,-18.3,27.3,dE (bc;nN),15.7,6.8,26.6,4.6,25.0,4.4,9.11,0.56,0.20
VCC0308,12:18:50.90,+07:51:43.38,-18.0,18.6,-18.7,17.5,dE (di;bc;,11.7,4.3,24.1,2.4,24.8,1.9,8.93,-0.03,0.40
VCC0389,12:20:03.29,+14:57:41.70,-18.1,18.0,-18.9,16.3,dE (di;N),12.1,2.8,30.9,1.2,30.5,1.3,9.04,0.08,0.31
VCC0397,12:20:12.18,+06:37:23.51,-16.8,13.6,-17.8,13.1,dE (di;N),41.9,3.0,35.7,1.9,38.1,1.4,9.02,0.64,0.12
VCC0437,12:20:48.10,+17:29:16.00,-18.0,29.5,-18.8,26.7,dE (N),50.1,5.5,40.9,4.0,36.0,4.1,9.42,0.65,0.13
VCC0523,12:22:04.14,+12:47:14.60,-18.7,26.1,-19.2,18.9,dE (di;N),27.5,2.7,42.2,1.0,36.2,0.9,9.31,0.37,0.20
VCC0543,12:22:19.54,+14:45:38.59,-17.8,23.6,-18.5,20.9,dE (nN),20.2,2.0,35.1,1.4,34.3,1.6,9.16,0.52,0.16
VCC0634,12:23:20.01,+15:49:13.25,-18.5,37.2,-18.8,20.5,dE (N),37.5,2.8,31.3,1.6,29.2,1.7,9.15,0.36,0.22
VCC0750,12:24:49.58,+06:45:34.49,-17.0,19.5,-17.6,15.0,dE (N),16.7,2.9,43.5,2.9,41.4,2.1,9.26,0.83,0.06
VCC0751,12:24:48.30,+18:11:47.00,-17.5,12.3,-18.3,11.0,dE (di;N),13.7,4.4,32.1,2.4,32.6,2.4,8.83,0.17,0.29
VCC0781,12:25:15.17,+12:42:52.59,-17.2,13.4,-18.0,13.8,dE (bc;N),0.0,4.3,38.0,2.8,36.4,2.6,9.09,0.63,0.13
VCC0794,12:25:22.10,+16:25:47.00,-17.3,37.0,-17.6,28.1,dE (nN),16.1,5.3,29.0,3.9,26.8,4.1,9.15,0.79,0.08
