# Nearest catalogued companion of each WHISP edge-on galaxy, transcribed from Garcia-Ruiz, Sancisi & Kuijken 2002,
# A&A 394, 769, Table 7 ("Companions to the galaxies in the sample within 100 arcmin"; only galaxies whose heliocentric
# velocity differs by less than 150 km/s from the host, or which show a clear interaction pattern, are listed there).
# d_comp_arcmin is the PROJECTED separation the paper prints, so it is a LOWER limit on the true separation and any
# external field computed from it is an UPPER limit.  n_comp is the number of companions the paper lists.
# "nan" = the paper lists no companion for that galaxy.
UGC	n_comp	d_comp_arcmin	nearest_name
1281	0	nan	-
2459	1	19.6	HFLLZOA_G144.00-08.53
3137	0	nan	-
3909	0	nan	-
4278	2	15.4	NGC_2537A
4806	6	3.0	KUG_0906+333A
5452	4	9.8	UGC_5446
5459	2	74.3	UGC_5460
5986	4	3.5	UGC_5983
6126	5	12.1	M98k_110110.0+285730
6283	0	nan	-
6964	4	61.5	NGC_3949
7089	13	11.6	UGC_7094
7090	2	32.3	PC_1200+4755
7125	2	45.2	UGC_7207
7151	3	73.4	NGC_4096
7321	0	nan	-
7483	3	44.0	UGC_7428
7774	6	51.3	UGC_07678
8246	5	6.1	NGP9_F269-1340356
8286	0	nan	-
8396	2	13.3	NGC_5112
8550	3	56.6	MESSIER_051b
8709	4	1.5	NGC_5296
8711	0	nan	-
9242	2	54.3	NGC_5582
