# WHISP edge-on galaxies: warp onset radii and the scales they might track.
# Transcribed by hand (2026-09-03) from the published tables of two papers.  Every number below appears in print;
# nothing here is fitted, interpolated or invented.  Where a paper prints a dash or a question mark the cell is "nan".
#
# SOURCE A -- Garcia-Ruiz, Sancisi & Kuijken 2002, A&A 394, 769 (arXiv astro-ph/0207112)
#   Table 1: R25 (arcmin), Ropt (arcmin, the visually-judged edge of the disc), inclination (deg),
#            dV (Mpc, Virgocentric-inflow distance), dTF (Mpc, Tully-Fisher distance).
#   Table 4: RHI (arcmin, radius at 1 Msun/pc^2 face-on), MHI (1e8 Msun), W20, W50 (km/s, global profile widths),
#            warp angles on the two sides (deg; "nan" where the paper prints ---), env (0 poor / 1 intermediate / 2 rich).
# SOURCE B -- van der Kruit 2007, A&A 466, 883 (arXiv astro-ph/0702486), Table 3:
#   Rdeep (arcmin, stellar-disc truncation radius on the deep clip; the paper takes Rmax = Rdeep),
#   Rwarp (arcmin, radius at which the HI warp sets in, AS PROJECTED ON THE SKY -- a LOWER limit on the
#          in-plane onset radius; the paper's own statistical deprojection gives an intrinsic Rwarp ~ 1.1 Rmax),
#   Rwarp_over_Rmax as the paper prints it.
#   Sides: where van der Kruit lists two sides (UGC 7125, 8246, 8709) the warped side is taken.
#   UGC 1281's Rwarp carries a "?" in the paper and is flagged here.
#
# ADDED ON THE AUDIT PASS, from the same van der Kruit 2007 Table 3 and its section 5 text:
#   trunc          -- the paper's own "trunc.?" column: is there evidence for a stellar-disc truncation?
#                     Where it is "no", R_deep is only the apparent disc size at the deep clip level and is
#                     NOT a truncation radius R_max, so the disc-edge comparison is not like-for-like there.
#   vdk_disturbed  -- 1 for UGC 5986, 7125 and 8246, which van der Kruit explicitly removes from his own
#                     statistical discussion as disturbed systems ("not normal"; two-sided or with a companion).
#   His clean statistic is the 12 galaxies with trunc = yes AND a printed R_warp AND vdk_disturbed = 0.
UGC	NGC	type	R25_arcmin	Ropt_arcmin	inc_deg	dV_Mpc	dTF_Mpc	RHI_arcmin	MHI_1e8	W20_kms	W50_kms	warp1_deg	warp2_deg	env	Rdeep_arcmin	Rwarp_arcmin	Rwarp_over_Rmax	flag	trunc	vdk_disturbed
1281	-	Sc	2.23	2.59	90.0	5.4	5.1	3.40	1.2	132.4	123.3	5.3	-0.7	0	2.1	1.5	0.7	uncertain	yes	0
2459	-	Scd	1.24	2.02	90.0	36.3	36.3	3.87	134.1	335.5	324.7	-4.4	1.4	2	2.4	2.5	1.0	ok	yes	0
3137	-	Sbc	1.78	2.66	90.0	18.3	33.8	3.53	32.2	243.3	232.2	-2.7	3.3	0	2.5	3.0	1.2	ok	yes	0
3909	-	SBc	1.32	1.39	90.0	17.7	24.5	2.29	10.4	183.6	167.6	-4.9	8.8	0	1.2	1.1	0.9	ok	yes	0
4278	-	SBc	2.27	2.69	90.0	10.4	8.1	3.13	10.2	192.8	173.5	nan	-2.9	2	2.6	nan	nan	nowarp	yes	0
4806	2770	Sc	1.83	2.41	77.0	29.6	21.0	2.33	72.1	351.6	328.1	3.2	nan	2	2.1	nan	nan	nowarp	yes	0
5452	3118	Sc	1.26	1.41	90.0	22.1	21.7	1.94	23.3	220.8	203.0	-4.7	17.4	2	1.6	1.8	1.1	ok	yes	0
5459	-	SBc	2.38	2.67	90.0	19.6	15.9	3.58	37.3	287.6	269.0	-8.1	3.1	1	2.7	2.5	0.9	ok	yes	0
5986	3432	SBd	3.44	3.52	81.2	8.9	8.5	5.29	27.1	265.6	243.1	4.6	22.4	2	2.4	nan	nan	nowarp	no	1
6126	3510	SBcd	2.03	2.13	90.0	8.8	8.8	3.07	10.3	198.7	184.8	-18.6	26.5	2	2.0	1.6	0.8	ok	yes	0
6283	3600	Sab	2.03	2.15	87.0	11.4	11.3	3.48	15.1	214.9	201.8	6.1	-3.5	0	2.1	3.0	nan	ok	no	0
6964	4010	SBcd	2.10	2.13	85.5	16.6	16.9	2.83	19.0	274.4	262.7	20.2	-15.7	1	2.2	1.7	0.8	ok	yes	0
7089	-	Sc	1.61	2.73	87.2	13.2	11.6	2.13	5.8	158.3	141.7	nan	nan	2	2.1	nan	nan	nowarp	no	0
7090	4096	SBc	3.30	3.96	80.9	9.4	10.2	3.82	12.9	341.3	312.8	nan	nan	2	3.6	2.3	nan	ok	no	0
7125	-	SBd	2.35	2.26	90.0	19.6	12.6	3.70	34.2	161.9	147.6	nan	5.9	2	2.5	2.3	0.9	ok	yes	1
