Cluster,RAJ2000,DEJ2000,cz,e_cz,R,Mm
"A376",41.21467499999999,36.657936388888885,13873,21,6.3,1
"A376",41.07373333333333,36.66284222222222,39414,58,5.5,0
"A376",41.05499166666666,36.65872861111111,14209,63,3.1,1
"A376",41.18747499999999,36.689677499999995,12907,50,5.3,1
"A376",41.06032083333333,36.70345833333333,39921,74,5.3,0
"A376",41.05111666666666,36.73980472222222,29863,36,5.3,0
"A376",41.046549999999996,36.76006388888889,29953,35,7.2,0
"A376",41.74299166666666,36.67217555555555,40403,85,4.1,0
"A376",41.34536666666666,36.62940805555555,50716,82,6.0,0
"A376",41.38212916666666,36.66341166666666,14496,28,3.9,1
"A376",41.39071666666666,36.67692472222222,13509,58,3.4,1
"A376",41.466004166666664,36.658136666666664,14602,26,14.7,1
"A376",41.481808333333326,36.72065388888888,14863,19,14.4,1
"A376",41.46594999999999,36.737898888888886,15157,27,11.0,1
"A376",41.65300416666666,36.66836416666666,40937,52,4.7,0
"A376",41.65602499999999,36.69409805555555,54479,40,4.9,0
"A376",41.701520833333326,36.675350833333326,14543,40,6.3,1
"A376",41.68969166666666,36.73548944444444,40825,84,3.1,0
"A376",41.74010416666666,36.78710055555555,14864,33,8.4,1
"A376",41.68277916666666,36.79193944444444,13148,41,6.5,1
"A376",41.74174166666666,36.87734722222222,15111,30,7.7,1
"A376",41.59081249999999,36.769280277777774,15572,25,10.6,1
"A376",41.54506249999999,36.78345972222222,15260,19,13.3,1
"A376",41.559437499999994,36.85450555555555,13883,68,2.7,1
"A376",41.72696666666666,36.88417222222222,13974,40,6.3,1
"A376",41.62318749999999,36.86168944444444,13260,32,8.0,1
"A376",41.64232083333333,36.90541222222222,16327,34,8.2,1
"A376",41.30060833333333,36.662731388888886,13538,23,3.9,1
"A376",41.34130833333333,36.716339166666664,13549,26,10.3,1
"A376",41.30174999999999,36.71216277777777,14022,39,6.0,1
"A376",41.310195833333324,36.74565222222222,41694,59,5.7,0
"A376",41.32512083333333,36.764441111111104,41078,31,8.0,0
