row,h_ra,h_dec,petroR50_r,expRad_r,deVRad_r,fracDeV_r,modelMag_r
112,,,,,,,
113,,,,,,,
114,185.69132595825,65.848138874157,3.718125,22.28988,29.67183,0.04160498,16.05264
115,185.69132595825,65.848138874157,3.718125,22.28988,29.67183,0.04160498,16.05264
121,,,,,,,
125,,,,,,,
126,,,,,,,
130,,,,,,,
133,,,,,,,
134,162.762526389977,65.7815592327533,7.024683,7.373792,8.840807,0.924805,13.3722
136,,,,,,,
137,,,,,,,
141,,,,,,,
142,,,,,,,
143,,,,,,,
144,,,,,,,
145,,,,,,,
146,,,,,,,
149,345.445743523245,15.5861935663087,3.732328,19.42134,29.67421,0.1630056,17.61801
150,345.445743523245,15.5861935663087,3.732328,19.42134,29.67421,0.1630056,17.61801
151,345.445743523245,15.5861935663087,3.732328,19.42134,29.67421,0.1630056,17.61801
152,,,,,,,
153,,,,,,,
154,,,,,,,
155,,,,,,,
158,,,,,,,
159,,,,,,,
162,,,,,,,
163,,,,,,,
167,92.126577969983,64.7236770804568,4.933112,5.884337,7.069492,0.9349031,13.30244
168,,,,,,,
169,124.473144768989,23.4671166893655,0.5395031,0.4066797,0.3899584,0.0,22.84009
170,,,,,,,
174,,,,,,,
175,,,,,,,
178,,,,,,,
183,14.3813649793957,30.1859040840148,5.162021,5.915287,16.01214,0.08116674,16.0336
184,24.8823280328043,33.8266884767548,0.5696406,0.2518001,0.1895163,0.0,21.89405
186,217.787659887448,27.2373256519339,4.236077,5.474046,9.892025,0.1588274,14.64548
188,341.103433849631,-0.171406862612468,0.6906102,0.6243785,0.7080057,0.0,23.63449
189,20.7449647238567,33.4686923498453,0.8355995,0.8056993,0.8823677,1.0,23.26383
190,20.7449647238567,33.4686923498453,0.8355995,0.8056993,0.8823677,1.0,23.26383
191,21.3430889799884,34.0257236615103,3.810912,3.650993,5.045669,1.0,14.1584
192,21.3430889799884,34.0257236615103,3.810912,3.650993,5.045669,1.0,14.1584
193,,,,,,,
194,,,,,,,
195,,,,,,,
196,,,,,,,
197,,,,,,,
198,,,,,,,
201,,,,,,,
202,,,,,,,
203,337.671252364138,39.2918734969664,7.05233,6.957967,7.516253,1.0,13.68193
204,187.84140298141,29.1319040514533,0.8272143,0.4720861,0.3086202,0.0,22.3129
205,,,,,,,
206,,,,,,,
209,190.273598996522,50.3920131350155,-9999.0,18.93879,29.66725,0.6610373,17.718
210,,,,,,,
211,,,,,,,
213,,,,,,,
215,274.898631331311,23.7871929767213,4.559956,4.536062,7.098838,0.9321591,14.73431
219,,,,,,,
220,15.8598489270916,32.2373541475722,6.514489,6.078849,11.11738,1.0,13.45179
221,15.8598489270916,32.2373541475722,6.514489,6.078849,11.11738,1.0,13.45179
223,35.8052147956515,-4.51708768022158,8.725629,10.28425,23.65754,0.1603456,14.42105
224,,,,,,,
225,191.3828549388,54.7375966489708,8.964721,9.906201,19.12236,0.4342427,13.73746
226,,,,,,,
227,,,,,,,
228,,,,,,,
229,,,,,,,
230,,,,,,,
231,359.217838740182,5.50934571531437,0.7222631,0.3980293,0.2940364,0.0,20.11692
232,359.217838740182,5.50934571531437,0.7222631,0.3980293,0.2940364,0.0,20.11692
234,,,,,,,
235,,,,,,,
239,275.65680480478,15.7004957601258,13.40198,23.47845,29.6775,0.3128325,16.331
240,,,,,,,
241,49.3219483125101,41.3854210835886,5.713065,5.525831,6.637899,0.9988014,13.78287
242,49.3219483125101,41.3854210835886,5.713065,5.525831,6.637899,0.9988014,13.78287
248,194.848657345509,27.9978368344568,8.87438,14.48575,29.67375,0.2558954,19.47922
249,,,,,,,
251,,,,,,,
252,,,,,,,
253,,,,,,,
254,,,,,,,
256,,,,,,,
257,,,,,,,
258,,,,,,,
259,,,,,,,
260,,,,,,,
261,,,,,,,
262,,,,,,,
263,,,,,,,
265,,,,,,,
267,,,,,,,
268,,,,,,,
269,9.75099920201757,-9.01458250748109,4.0713,4.791451,6.555583,0.8750777,13.72326
270,9.75099920201757,-9.01458250748109,4.0713,4.791451,6.555583,0.8750777,13.72326
271,9.75099920201757,-9.01458250748109,4.0713,4.791451,6.555583,0.8750777,13.72326
272,9.75099920201757,-9.01458250748109,4.0713,4.791451,6.555583,0.8750777,13.72326
273,20.3173330748727,40.4978508807174,1.378223,1.672768,3.539913,0.0,20.41542
276,160.11928748019,9.20310978678131,0.7304405,0.4721231,0.3680384,0.0,22.07546
