row,petroR50_r,modelMag_r
112,,
113,,
114,3.718125,16.05264
115,3.718125,16.05264
121,,
125,,
126,,
130,,
131,14.33643,13.751
133,,
134,7.024683,13.3722
136,,
137,,
138,,
139,,
141,,
142,,
143,,
144,,
145,,
146,,
149,3.732328,17.61801
150,3.732328,17.61801
151,3.732328,17.61801
152,,
153,,
154,,
155,,
158,,
159,,
161,,
162,,
163,,
167,4.933112,13.30244
168,,
169,0.5395031,22.84009
170,,
171,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
182,,
183,5.162021,16.0336
184,0.5696406,21.89405
185,,
186,4.236077,14.64548
188,0.6906102,23.63449
189,0.8355995,23.26383
190,0.8355995,23.26383
191,3.810912,14.1584
192,3.810912,14.1584
193,,
194,,
195,,
196,,
197,,
198,,
201,,
202,,
203,7.05233,13.68193
204,0.8272143,22.3129
205,,
206,,
207,,
208,0.7806183,20.46712
209,-9999.0,17.718
210,,
211,,
212,,
213,,
215,4.559956,14.73431
219,,
220,6.514489,13.45179
221,6.514489,13.45179
222,,
223,8.725629,14.42105
224,,
225,8.964721,13.73746
226,,
227,,
228,,
229,,
230,,
231,0.7222631,20.11692
232,0.7222631,20.11692
233,,
234,,
235,,
236,,
239,13.40198,16.331
240,,
241,5.713065,13.78287
242,5.713065,13.78287
248,8.87438,19.47922
249,,
250,1.495818,17.95075
251,,
252,,
253,,
254,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
267,,
268,,
269,4.0713,13.72326
270,4.0713,13.72326
271,4.0713,13.72326
272,4.0713,13.72326
273,1.378223,20.41542
276,0.7304405,22.07546
277,0.7304405,22.07546
278,0.7304405,22.07546
279,6.156412,14.95249
280,,
281,,
283,,
284,,
285,15.73023,13.1935
286,15.73023,13.1935
287,,
289,13.6563,14.41812
290,,
291,,
292,5.297633,16.98921
293,5.297633,16.98921
294,0.6976923,21.30585
295,0.6976923,21.30585
296,0.6976923,21.30585
297,,
298,0.6669056,22.7326
299,-9999.0,24.61754
300,4.756226,15.45297
304,10.27962,13.02376
305,,
306,,
307,0.7291368,20.27657
308,2.787623,20.35509
309,3.606745,13.86569
310,,
311,,
312,,
314,0.7321236,20.58715
315,0.7321236,20.58715
316,,
317,0.6854016,21.93879
318,0.6854016,21.93879
319,,
320,,
321,1.296602,22.76572
322,,
323,1.79687,19.47721
324,8.8058,13.2028
326,,
328,,
329,,
331,,
332,,
334,,
335,,
336,10.18239,12.56147
337,10.18239,12.56147
338,0.4540772,24.08285
339,0.4540772,24.08285
340,0.4540772,24.08285
341,0.5211055,22.94554
342,0.5211055,22.94554
343,,
344,-9999.0,24.7177
345,,
346,3.68988,17.06076
347,3.68988,17.06076
348,6.005164,15.99004
349,,
350,,
351,,
352,5.430675,14.71085
353,,
355,0.9737713,21.34035
356,,
357,,
359,,
360,,
362,2.245121,20.91562
363,0.6644488,21.09268
364,0.6644488,21.09268
365,7.512748,16.8457
366,5.76901,14.14869
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,0.598142,21.46122
378,1.125782,23.28906
380,5.637442,15.55902
381,5.637442,15.55902
382,,
383,5.637442,15.55902
384,,
385,,
386,8.022589,14.10634
387,,
388,,
389,,
390,,
392,9.675393,13.55819
393,9.675393,13.55819
394,6.445462,13.38016
395,6.659553,15.19935
396,,
397,6.265721,13.78519
399,5.198585,16.67329
400,,
401,3.996759,15.66504
402,3.996759,15.66504
403,3.996759,15.66504
404,,
405,10.14101,13.43712
406,10.14101,13.43712
407,3.515596,14.65267
408,,
409,,
410,,
411,15.06994,14.77308
412,,
413,4.948168,15.73596
415,,
416,,
417,,
418,,
419,6.102648,14.46414
420,1.245593,17.84151
421,,
422,,
423,,
424,,
425,8.65617,13.38163
426,,
427,,
428,,
429,,
431,,
432,,
433,,
434,,
435,,
436,,
437,,
439,,
440,,
441,,
442,,
443,,
444,2.640662,14.64166
445,3.924358,25.61123
446,,
447,3.196913,17.9127
449,,
450,8.22944,13.31647
451,,
452,,
453,,
454,,
455,,
456,6.770213,14.31257
457,5.801387,13.18607
459,54.8158,24.04543
460,,
464,0.868854,22.27941
466,2.443507,18.58767
467,4.201937,17.38021
468,,
469,,
470,,
471,,
473,,
474,3.37489,18.07432
475,,
477,3.127317,14.67234
478,3.723075,15.88428
479,,
480,,
482,,
483,17.69461,11.93247
484,17.69461,11.93247
485,,
488,,
489,,
490,4.68981,14.64131
491,,
492,,
493,,
494,1.816926,21.1727
