REGIME TABLE  (g_halo at each galaxy's r_max, their fits, min-med-max over 3 models)  [m/s^2], vs a0 on K1/K2/paper footings
  galaxy  rmax(kpc)  g_halo(rmax) min-med-max       /a0(K1)     /a0(K2)
  NGC0821      35  1.75e-10 1.91e-10 1.99e-10     1.69   2.04
  NGC1023      26  1.87e-12 1.94e-12 2.03e-12     0.02   0.02
  NGC1399     106  1.02e-10 1.38e-10 1.55e-10     1.22   1.47
  NGC1400      71  2.42e-11 3.27e-11 3.84e-11     0.29   0.35
  NGC1407     122  2.24e-16 2.04e-14 3.89e-11     0.00   0.00
  NGC2768      60  6.78e-11 1.18e-10 1.35e-10     1.05   1.26
  NGC3115      22  1.28e-10 2.78e-10 2.83e-10     2.46   2.97
  NGC3377      31  6.23e-12 9.89e-12 1.32e-11     0.09   0.11
  NGC4278      39  8.04e-11 1.38e-10 1.67e-10     1.22   1.47
  NGC4365      69  8.49e-13 1.55e-12 2.74e-10     0.01   0.02
  NGC4472      45  3.88e-10 4.59e-10 7.88e-10     4.07   4.90
  NGC4486     140  1.49e-10 1.54e-10 1.55e-10     1.36   1.64
  NGC4494      38  1.18e-12 1.75e-12 1.08e-11     0.02   0.02
  NGC4526      33  4.26e-14 4.47e-14 3.31e-11     0.00   0.00
  NGC4649     105  3.36e-12 3.52e-12 3.43e-11     0.03   0.04
  NGC5128      52  2.57e-14 5.90e-11 6.87e-11     0.52   0.63
  NGC5846      64  8.30e-11 8.38e-11 1.09e-10     0.74   0.90
BIL COMPLETE: 8/8 checks PASS.
  Referee findings carried: BIL-R3 c-convention of M_v unspecified (absolutes +-20%); BIL-R7 stellar masses registered-not-verified; BIL-R8 model spread floor.
