galaxy,log_eN_maxclu,e_log_eN_maxclu,log_eN_noclu,e_log_eN_noclu
D512-2,-2.245,0.261,-3.155,0.285
D564-8,-2.283,0.242,-3.178,0.271
DDO064,-2.257,0.299,-3.162,0.317
DDO154,-2.166,0.344,-3.052,0.383
DDO168,-2.194,0.287,-3.081,0.319
DDO170,-1.915,0.385,-2.825,0.407
F563-1,-2.628,0.127,-3.53,0.138
F563-V1,-2.585,0.139,-3.483,0.126
F563-V2,-2.598,0.11,-3.492,0.115
F565-V2,-2.62,0.124,-3.533,0.126
F567-2,-2.505,0.131,-3.412,0.129
F568-1,-2.44,0.134,-3.355,0.128
F568-3,-2.459,0.128,-3.368,0.129
F568-V1,-2.38,0.196,-3.289,0.211
F571-8,-2.427,0.24,-3.366,0.259
F571-V1,-2.118,0.34,-3.045,0.34
F574-1,-2.217,0.304,-3.169,0.336
F574-2,-2.282,0.417,-3.209,0.441
F579-V1,-2.63,0.207,-3.542,0.218
IC4202,-1.942,0.438,-2.858,0.479
NGC0100,-2.667,0.221,-3.561,0.268
NGC2683,-2.362,0.252,-3.207,0.381
NGC2841,-2.395,0.366,-3.288,0.483
NGC2903,-2.3,0.243,-3.208,0.257
NGC2955,-2.52,0.217,-3.425,0.344
NGC2998,-2.542,0.222,-3.451,0.258
NGC3198,-2.335,0.317,-3.248,0.376
NGC3726,-2.242,0.34,-3.159,0.369
NGC3741,-2.307,0.324,-3.195,0.347
NGC3769,-2.322,0.279,-3.252,0.311
NGC3877,-2.331,0.319,-3.266,0.309
NGC3893,-2.344,0.304,-3.272,0.316
NGC3917,-2.396,0.281,-3.325,0.318
NGC3949,-2.32,0.324,-3.256,0.331
NGC3953,-2.382,0.304,-3.306,0.323
NGC3972,-2.333,0.321,-3.268,0.316
NGC3992,-2.54,0.192,-3.479,0.209
NGC4010,-2.307,0.342,-3.242,0.318
NGC4013,-2.215,0.274,-3.142,0.29
NGC4051,-2.271,0.288,-3.196,0.346
NGC4068,-2.272,0.315,-3.157,0.356
NGC4085,-2.253,0.353,-3.196,0.348
NGC4088,-2.235,0.351,-3.175,0.353
NGC4100,-2.382,0.337,-3.322,0.344
NGC4138,-2.278,0.336,-3.218,0.313
NGC4157,-2.266,0.341,-3.207,0.286
NGC4183,-2.28,0.302,-3.217,0.324
NGC4214,-2.263,0.34,-3.149,0.365
NGC4217,-2.285,0.262,-3.213,0.278
NGC4389,-2.316,0.288,-3.243,0.306
NGC4559,-2.036,0.445,-2.938,0.474
NGC5005,-2.132,0.334,-3.032,0.404
NGC5033,-2.381,0.272,-3.324,0.277
NGC5055,-2.155,0.314,-3.064,0.339
NGC5371,-2.268,0.249,-3.191,0.263
NGC5585,-2.264,0.269,-3.149,0.29
NGC5907,-2.395,0.193,-3.322,0.203
NGC7814,-2.67,0.307,-3.56,0.408
PGC51017,-2.261,0.259,-3.172,0.27
UGC00191,-2.713,0.201,-3.62,0.233
UGC00634,-2.714,0.199,-3.623,0.249
UGC00891,-2.59,0.201,-3.487,0.217
UGC04499,-2.47,0.265,-3.391,0.28
UGC05005,-2.619,0.141,-3.522,0.142
UGC05414,-2.277,0.287,-3.187,0.307
UGC05716,-2.378,0.235,-3.303,0.252
UGC05721,-2.126,0.304,-3.03,0.347
UGC05750,-2.561,0.163,-3.468,0.169
UGC05764,-2.232,0.261,-3.149,0.286
UGC05829,-2.189,0.324,-3.091,0.344
UGC05986,-2.163,0.348,-3.087,0.342
UGC05999,-2.601,0.16,-3.512,0.184
UGC06399,-2.412,0.233,-3.337,0.263
UGC06446,-2.394,0.24,-3.327,0.265
UGC06614,-2.011,0.426,-2.954,0.433
UGC06628,-2.291,0.324,-3.217,0.313
UGC06667,-2.322,0.286,-3.248,0.29
UGC06786,-2.649,0.165,-3.587,0.181
UGC06787,-2.416,0.337,-3.353,0.374
UGC06818,-2.289,0.282,-3.209,0.299
UGC06917,-2.364,0.276,-3.3,0.288
UGC06923,-2.359,0.252,-3.294,0.271
UGC06930,-2.377,0.282,-3.314,0.277
UGC06973,-2.286,0.312,-3.215,0.315
UGC06983,-2.414,0.273,-3.361,0.271
UGC07089,-2.234,0.326,-3.16,0.356
UGC07125,-2.117,0.33,-3.031,0.348
UGC07151,-2.081,0.282,-2.965,0.321
UGC07232,-2.202,0.344,-3.09,0.36
UGC07261,-1.741,0.478,-2.65,0.513
UGC07323,-2.164,0.333,-3.065,0.349
UGC07399,-2.236,0.317,-3.165,0.304
UGC07524,-2.21,0.384,-3.088,0.445
UGC07559,-2.228,0.381,-3.107,0.43
UGC07577,-2.301,0.319,-3.192,0.341
UGC07603,-2.145,0.392,-3.03,0.446
UGC07608,-2.172,0.334,-3.078,0.366
UGC07690,-2.143,0.332,-3.043,0.368
UGC07866,-2.299,0.402,-3.187,0.427
UGC08286,-2.173,0.307,-3.071,0.337
UGC08490,-2.27,0.272,-3.147,0.343
UGC08550,-2.125,0.321,-3.014,0.349
UGC08699,-2.579,0.313,-3.524,0.265
UGC08837,-2.108,0.26,-3.004,0.289
UGC09037,-2.719,0.251,-3.603,0.282
UGC09133,-2.676,0.212,-3.603,0.241
UGC12506,-2.567,0.259,-3.511,0.272
UGC12732,-2.667,0.243,-3.577,0.258
UGCA281,-2.206,0.303,-3.097,0.329
