galaxy,pdf_quality,x03,etilde,etilde_lo,etilde_hi
CamB,C,-11.629,0.459,-0.055,0.03
D512-2,P,-11.421,0.106,-0.081,0.117
D564-8,P,-11.987,0.064,-0.025,0.026
D631-7,P,-11.656,-0.089,-0.019,0.017
DDO064,P,-11.113,0.053,-0.079,0.11
DDO154,P,-11.686,0.008,-0.008,0.008
DDO161,P,-11.549,-0.045,-0.01,0.01
DDO168,P,-11.057,-0.212,-0.065,0.053
DDO170,P,-11.545,0.037,-0.017,0.02
ESO079-G014,P,-10.556,-0.031,-0.058,0.057
ESO116-G012,P,-10.999,-0.066,-0.044,0.043
ESO444-G084,P,-11.107,-0.095,-0.035,0.03
ESO563-G021,P,-10.569,-0.032,-0.035,0.033
F563-1,P,-11.698,0.112,-0.052,0.066
F563-V2,A,-11.145,0.179,-0.124,0.152
F565-V2,P,-11.433,-0.016,-0.05,0.047
F568-1,P,-11.014,-0.033,-0.1,0.1
F568-3,P,-11.365,0.238,-0.081,0.104
F568-V1,P,-11.227,0.098,-0.055,0.066
F571-8,A,-11.087,-0.423,-0.047,0.052
F571-V1,P,-11.48,0.206,-0.108,0.134
F574-1,P,-11.17,0.079,-0.042,0.048
F579-V1,C,-11.13,0.425,-0.089,0.054
F583-1,P,-11.392,0.032,-0.051,0.055
F583-4,P,-11.393,0.081,-0.062,0.079
IC2574,P,-11.599,0.072,-0.014,0.016
IC4202,P,-10.37,0.169,-0.048,0.053
KK98-251,P,-11.418,0.269,-0.099,0.125
NGC0024,P,-10.977,-0.004,-0.016,0.017
NGC0055,P,-11.385,0.05,-0.019,0.021
NGC0100,P,-11.304,-0.106,-0.044,0.039
NGC0247,P,-11.096,0.182,-0.046,0.056
NGC0289,P,-11.673,0.118,-0.026,0.031
NGC0300,P,-11.496,-0.009,-0.026,0.026
NGC0801,P,-10.84,0.174,-0.023,0.024
NGC0891,P,-10.407,-0.118,-0.022,0.022
NGC1003,P,-11.64,-0.056,-0.009,0.008
NGC1090,P,-11.006,0.059,-0.023,0.024
NGC2403,P,-11.512,-0.019,-0.005,0.005
NGC2683,P,-11.126,0.086,-0.025,0.028
NGC2841,P,-11.008,-0.028,-0.013,0.013
NGC2903,P,-11.325,0.04,-0.008,0.008
NGC2915,P,-11.655,-0.053,-0.014,0.013
NGC2955,P,-10.505,0.03,-0.05,0.051
NGC2976,B,-10.253,0.38,-0.112,0.083
NGC2998,P,-10.813,0.103,-0.027,0.029
NGC3109,P,-11.535,0.012,-0.01,0.01
NGC3198,P,-11.532,0.055,-0.011,0.012
NGC3521,P,-10.304,-0.116,-0.067,0.061
NGC3726,P,-11.048,-0.002,-0.031,0.031
NGC3741,P,-11.943,-0.016,-0.009,0.009
NGC3769,P,-11.675,0.021,-0.018,0.019
NGC3877,A,-10.2,0.238,-0.155,0.157
NGC3893,P,-10.658,-0.032,-0.049,0.048
NGC3917,P,-10.822,0.111,-0.05,0.057
NGC3949,P,-10.017,-0.024,-0.18,0.216
NGC3953,B,-10.07,0.39,-0.115,0.077
NGC3972,P,-10.55,-0.096,-0.071,0.075
NGC3992,P,-10.731,0.095,-0.028,0.03
NGC4010,P,-10.715,-0.057,-0.05,0.051
NGC4013,P,-11.065,-0.047,-0.016,0.015
NGC4051,B,-10.205,0.335,-0.15,0.114
NGC4068,A,-11.195,0.321,-0.109,0.108
NGC4085,P,-10.175,-0.17,-0.106,0.114
NGC4088,P,-10.621,0.041,-0.047,0.049
NGC4100,P,-10.925,0.087,-0.025,0.026
NGC4138,P,-10.717,0.111,-0.073,0.087
NGC4157,P,-10.88,-0.017,-0.031,0.031
NGC4183,P,-11.314,0.108,-0.03,0.034
NGC4214,P,-11.329,-0.036,-0.036,0.034
NGC4217,P,-10.604,-0.148,-0.046,0.044
NGC4559,P,-11.13,0.028,-0.036,0.038
NGC5005,P,-9.819,-0.121,-0.191,0.243
