galaxy,vsys,e_vsys,pa_receding,e_pa,incl,e_incl,vmax,abs_dv_sides,vflat,e_vflat
NGC0055,130.0,5.0,110.0,3.0,78.0,7.0,85.0,1.0,85.0,2.0
NGC0224,-300.0,3.0,37.0,1.0,78.0,1.0,261.0,2.0,230.0,7.0
NGC0247,160.0,10.0,169.0,3.0,77.0,2.0,110.0,5.0,110.0,5.0
NGC0253,240.0,5.0,230.0,2.0,77.0,1.0,200.0,4.0,200.0,4.0
NGC0300,135.0,10.0,290.0,3.0,46.0,6.0,103.0,3.0,85.0,7.0
NGC0925,550.0,5.0,283.0,2.0,61.0,5.0,115.0,4.0,115.0,4.0
NGC1365,1640.0,3.0,218.0,2.0,39.0,8.0,322.0,6.0,215.0,4.0
NGC2366,107.0,10.0,42.0,6.0,68.0,5.0,45.0,5.0,45.0,5.0
NGC2403,135.0,1.0,124.0,1.0,61.0,3.0,128.0,1.0,128.0,1.0
NGC2541,560.0,5.0,170.0,3.0,64.0,4.0,100.0,4.0,100.0,4.0
NGC2841,640.0,20.0,150.0,3.0,70.0,2.0,325.0,2.0,290.0,6.0
NGC2976,5.0,5.0,323.0,1.0,61.0,5.0,78.0,4.0,78.0,4.0
NGC3031,-40.0,10.0,330.0,4.0,59.0,5.0,249.0,3.0,215.0,9.0
NGC3109,404.0,5.0,92.0,3.0,80.0,4.0,57.0,2.0,,
NGC3198,660.0,10.0,215.0,5.0,70.0,1.0,161.0,2.0,154.0,4.0
IC2574,51.0,3.0,55.0,5.0,65.0,10.0,75.0,5.0,,
NGC3319,730.0,4.0,33.0,2.0,57.0,4.0,112.0,10.0,112.0,10.0
NGC3351,780.0,5.0,192.0,1.0,47.0,5.0,190.0,5.0,176.0,8.0
NGC3370,1280.0,15.0,327.0,3.0,55.0,5.0,152.0,4.0,152.0,4.0
NGC3621,730.0,13.0,344.0,4.0,65.0,7.0,145.0,5.0,145.0,5.0
NGC3627,715.0,10.0,172.0,1.0,58.0,5.0,183.0,7.0,183.0,7.0
NGC4244,245.0,3.0,222.0,1.0,88.0,3.0,110.0,6.0,110.0,6.0
NGC4258,445.0,15.0,331.0,1.0,72.0,3.0,242.0,5.0,200.0,5.0
NGC4414,715.0,7.0,160.0,2.0,52.0,4.0,237.0,10.0,185.0,10.0
NGC4535,1965.0,5.0,180.0,1.0,41.0,5.0,195.0,4.0,195.0,4.0
NGC4536,1800.0,6.0,300.0,3.0,69.0,4.0,161.0,10.0,161.0,10.0
NGC4605,160.0,15.0,293.0,2.0,69.0,5.0,87.0,4.0,,
NGC4639,978.0,20.0,311.0,1.0,42.0,2.0,188.0,1.0,188.0,1.0
NGC4725,1220.0,14.0,30.0,3.0,50.0,5.0,215.0,5.0,215.0,5.0
NGC5584,1640.0,6.0,152.0,4.0,44.0,4.0,132.0,2.0,132.0,2.0
NGC7331,815.0,5.0,169.0,3.0,75.0,3.0,275.0,5.0,275.0,5.0
NGC7793,228.0,7.0,290.0,2.0,50.0,3.0,118.0,8.0,95.0,8.0
