ugc,vsys,ra,dec,incl,pa_receding,v_c,v_rec,v_appr,rc_type,eps_kin_printed,eps_kin_recomputed,A_signed
625,2608.0,01 00 55.6,+47 40 50.8,70.27,331.74,168.52,159.48,181.41,2,0.065,0.0651,-0.0651
731,642.0,01 10 40.4,+49 36 03.8,59.3,258.16,72.86,73.45,73.38,1,0.001,0.0005,0.0005
1249,343.0,01 47 33.7,+27 20 50.3,51.43,147.57,65.49,89.23,46.54,2,0.326,0.3259,0.3259
1256,430.0,01 47 51.3,+27 25 57.1,71.59,69.44,114.35,113.92,115.01,1,0.005,0.0048,-0.0048
1281,156.0,01 49 31.9,+32 35 27.3,73.34,216.86,59.45,59.74,60.82,1,0.009,0.0091,-0.0091
1317,3101.0,01 51 14.3,+22 21 44.2,71.95,107.13,229.96,226.82,230.67,2,0.008,0.0084,-0.0084
1501,196.0,02 01 16.8,+28 50 05.3,73.88,0.83,53.39,49.03,58.69,3,0.091,0.0905,-0.0905
1913,556.0,02 27 15.0,+33 34 55.6,53.65,286.63,114.79,117.44,114.49,4,0.013,0.0128,0.0128
2034,577.0,02 33 43.0,+40 31 45.4,29.85,358.67,24.44,13.9,30.94,2,0.349,0.3486,-0.3486
2080,908.0,02 36 27.2,+38 58 15.4,27.64,335.35,117.52,145.57,94.26,2,0.218,0.2183,0.2183
2455,372.0,02 59 41.8,+25 14 29.1,52.11,271.88,51.57,47.57,58.6,2,0.107,0.1069,-0.1069
2800,1177.0,03 40 08.0,+71 24 17.9,61.87,285.49,113.26,111.75,114.19,3,0.011,0.0108,-0.0108
2855,1195.0,03 48 24.8,+70 08 19.6,61.49,111.19,205.32,207.06,215.02,3,0.019,0.0194,-0.0194
2953,873.0,04 07 46.8,+69 48 51.2,52.18,100.83,291.07,289.47,305.54,5,0.028,0.0276,-0.0276
3273,617.0,05 17 44.9,+53 33 03.6,74.04,40.59,93.86,95.01,93.25,3,0.009,0.0094,0.0094
3371,814.0,05 56 36.4,+75 19 00.4,45.52,130.19,84.5,78.11,82.86,2,0.028,0.0281,-0.0281
3574,1441.0,06 53 10.7,+57 10 35.5,31.2,99.79,125.98,108.89,123.71,3,0.059,0.0588,-0.0588
3580,1194.0,06 55 30.7,+69 33 40.1,65.68,1.87,116.09,112.35,119.34,1,0.03,0.0301,-0.0301
3734,972.0,07 12 28.5,+47 10 03.9,21.61,135.22,172.19,177.11,133.61,2,0.126,0.1263,0.1263
3851,104.0,07 28 54.6,+69 12 47.4,67.59,38.76,51.28,54.62,49.26,5,0.052,0.0523,0.0523
4173,859.0,08 07 05.6,+80 07 43.7,69.39,135.05,35.61,28.24,38.9,2,0.15,0.1497,-0.1497
4278,556.0,08 13 59.0,+45 44 31.0,64.17,352.32,87.5,88.5,87.35,1,0.007,0.0066,0.0066
4284,557.0,08 14 40.5,+49 03 41.0,61.67,169.77,104.06,103.21,104.17,5,0.005,0.0046,-0.0046
4458,4753.0,08 32 11.3,+22 33 34.0,22.1,289.29,292.78,400.03,272.95,2,0.217,0.217,0.217
4543,1965.0,08 43 20.3,+45 43 59.5,61.58,316.35,53.31,68.72,38.01,2,0.288,0.288,0.288
4838,2624.0,09 12 16.8,+44 57 17.5,29.14,304.42,150.33,129.71,131.79,2,0.007,0.0069,-0.0069
5079,551.0,09 32 10.3,+21 30 10.4,64.01,202.69,195.31,193.13,198.56,4,0.014,0.0139,-0.0139
5251,1497.0,09 48 34.3,+33 25 15.0,64.5,253.99,142.61,156.03,127.52,5,0.1,0.1,0.1
5253,1324.0,09 50 21.4,+72 16 37.8,36.32,355.95,249.47,277.6,227.78,2,0.1,0.0999,0.0999
5532,2826.0,10 16 55.7,+73 23 57.7,35.19,142.79,300.51,284.11,260.47,2,0.039,0.0393,0.0393
5685,1334.0,10 29 19.1,+29 29 15.5,72.67,45.21,205.25,189.77,227.31,5,0.091,0.0914,-0.0914
5717,1687.0,10 32 35.5,+65 02 56.7,52.3,10.76,131.3,132.4,127.69,5,0.018,0.0179,0.0179
5721,537.0,10 32 17.1,+27 40 08.6,65.53,279.45,80.29,76.31,86.31,2,0.062,0.0623,-0.0623
5789,738.0,10 39 09.6,+41 41 12.9,62.49,35.56,105.14,104.51,107.04,1,0.012,0.012,-0.012
5829,628.0,10 42 43.0,+34 27 26.0,36.94,191.5,53.79,48.46,47.94,5,0.005,0.0048,0.0048
5918,335.0,10 49 36.0,+65 31 58.3,54.04,238.6,38.07,36.22,43.82,3,0.1,0.0998,-0.0998
5997,1266.0,10 53 55.4,+73 41 25.9,66.43,71.6,149.75,153.97,146.11,1,0.026,0.0262,0.0262
6225,702.0,11 11 31.1,+55 40 20.0,75.87,256.19,157.44,160.81,155.47,4,0.017,0.017,0.017
6446,646.0,11 26 40.7,+53 44 51.0,50.49,191.11,81.35,82.53,81.58,1,0.006,0.0058,0.0058
6537,860.0,11 33 20.8,+47 01 50.8,49.47,195.65,158.52,147.23,155.79,5,0.027,0.027,-0.027
6787,1182.0,11 49 15.5,+56 05 01.6,68.4,113.51,237.54,247.13,228.86,2,0.039,0.0385,0.0385
6937,1056.0,11 57 35.7,+53 22 24.5,57.18,248.17,268.79,269.5,271.25,1,0.003,0.0033,-0.0033
7081,748.0,12 05 28.2,+50 32 33.4,65.55,228.38,179.4,166.86,187.94,2,0.059,0.0588,-0.0588
7090,557.0,12 06 00.6,+47 28 28.3,67.38,16.54,156.93,139.02,176.52,5,0.12,0.1195,-0.1195
7095,1081.0,12 06 08.3,+49 35 04.0,70.52,345.65,187.04,196.5,181.48,2,0.04,0.0402,0.0402
7151,266.0,12 09 58.7,+46 27 24.4,74.89,281.33,83.55,85.22,79.92,1,0.032,0.0317,0.0317
7256,1098.0,12 15 05.5,+33 11 30.3,50.5,204.18,144.96,155.53,133.76,5,0.075,0.0751,0.0751
7321,409.0,12 17 33.7,+22 32 25.5,74.9,260.55,106.34,106.73,104.34,3,0.011,0.0112,0.0112
7323,509.0,12 17 29.4,+45 36 50.5,52.06,36.02,71.95,72.64,74.05,4,0.01,0.0098,-0.0098
7353,460.0,12 18 56.8,+47 18 30.1,69.57,331.25,200.53,209.37,192.24,5,0.043,0.0427,0.0427
7524,317.0,12 25 50.4,+33 32 35.0,46.87,324.87,76.03,73.9,74.19,5,0.002,0.0019,-0.0019
7603,650.0,12 28 43.5,+22 50 09.1,73.12,199.93,65.07,68.97,60.59,2,0.064,0.0644,0.0644
7766,805.0,12 35 58.5,+27 57 16.9,67.31,323.31,121.95,114.51,131.16,5,0.068,0.0683,-0.0683
7989,1190.0,12 50 25.8,+25 29 56.2,44.19,32.45,256.47,243.12,242.6,4,0.001,0.001,0.001
8863,1787.0,13 56 16.3,+47 14 07.3,54.06,211.35,213.6,211.17,215.06,4,0.009,0.0091,-0.0091
