ugc,alias
"UGC 10359","IRAS F16206+6530"
"UGC 10359","IRAS 16206+6530"
"UGC 10359","ISOSS J16209+6523"
"UGC 10359","LEDA   57886"
"UGC 10359","MCG+11-20-012"
"UGC 10359","NGC  6140"
"UGC 10359","QDOT B1620368+653015"
"UGC 10359","TC 565"
"UGC 10359","UGC 10359"
"UGC 10359","Z 320-25"
"UGC 10359","[SLK2004] 1231"
"UGC 10359","2MASX J16205816+6523259"
"UGC 10359","Z 1620.6+6530"
"UGC 10359","UZC J162058.5+652326"
"UGC 10359","PSCz Q16206+6530"
"UGC 10470","Gaia DR3 1706108658063635328"
"UGC 10470","APG 185"
"UGC 10470","EQ 1634+783"
"UGC 10470","HIJASS J1632+78"
"UGC 10470","IRAS F16350+7817"
"UGC 10470","IRAS 16350+7818"
"UGC 10470","Ka  73"
"UGC 10470","ISOSS J16326+7811"
"UGC 10470","LEDA   58477"
"UGC 10470","MCG+13-12-008"
"UGC 10470","NGC  6217"
"UGC 10470","RIXOS 122-16"
"UGC 10470","RX J163239.0+781152"
"UGC 10470","TC 858"
"UGC 10470","UGC 10470"
"UGC 10470","Z 355-14"
"UGC 10470","[SLK2000]  79"
"UGC 10470","[SLK2004] 1257"
"UGC 10470","2MASX J16323921+7811535"
"UGC 10470","RX J163238.7+781151"
"UGC 10470","Z 1634.9+7818"
"UGC 10470","[M98c] 163505.1+781805"
"UGC 10470","[VV2000c] J163238.6+781152"
"UGC 10470","[VV2003c] J163238.6+781152"
"UGC 10470","[VV2006c] J163238.6+781152"
"UGC 10470","[VV98c] J163238.6+781152"
"UGC 10470","UZC J163239.8+781152"
"UGC 10470","PSCz Q16350+7818"
"UGC 10470","[VV2010c] J163238.6+781152"
"UGC 10470","2XMM J163239.1+781154"
"UGC 10470","Gaia DR2 1706108658063155840"
"UGC 11670","Gaia DR3 1852440049263012992"
"UGC 11670","ALFA ZOA J2103+2954"
"UGC 11670","IRAS 21014+2941"
"UGC 11670","LEDA   66003"
"UGC 11670","MCG+05-49-001"
"UGC 11670","NGC  7013"
"UGC 11670","TC 602"
"UGC 11670","UGC 11670"
"UGC 11670","Z 491-2"
"UGC 11670","[VDD93] 232"
"UGC 11670","2MASX J21033361+2953504"
"UGC 11670","Z 2101.4+2942"
"UGC 11670","[M98c] 210126.1+294151"
"UGC 11670","UZC J210333.5+295351"
"UGC 11670","PSCz P21014+2941"
"UGC 11707","LEDA   66398"
"UGC 11707","MCG+04-50-001"
"UGC 11707","TC 605"
"UGC 11707","UGC 11707"
"UGC 11707","Z 471-1"
"UGC 11707","Z 2112.3+2632"
"UGC 11852","Gaia DR3 1896096948717879168"
"UGC 11852","2MASX J21555930+2753541"
"UGC 11852","LEDA   67658"
"UGC 11852","UGC 11852"
"UGC 11852","Z 493-13"
