galaxy,ugc,source_perside,A_signed,sigma_A,eps_kin,rc_type,v_c,v_rec,v_appr,pa_receding_deg,incl_deg,log_eN_maxclu,e_log_eN_maxclu,log_eN_noclu,e_log_eN_noclu,etilde_rcfit,gext_direction
UGC00731,731,vanEymeren2011a_T3,0.0005,NOT_PUBLISHED,0.001,1,72.86,73.45,73.38,258.16,59.3,,,,,-0.243,NOT_PUBLIC (amplitude only in Chae+21)
UGC01281,1281,vanEymeren2011a_T3,-0.0091,NOT_PUBLISHED,0.009,1,59.45,59.74,60.82,216.86,73.34,,,,,0.014,NOT_PUBLIC (amplitude only in Chae+21)
UGC02455,2455,vanEymeren2011a_T3,-0.1069,NOT_PUBLISHED,0.107,2,51.57,47.57,58.6,271.88,52.11,,,,,,NOT_PUBLIC (amplitude only in Chae+21)
UGC02953,2953,vanEymeren2011a_T3,-0.0276,NOT_PUBLISHED,0.028,5,291.07,289.47,305.54,100.83,52.18,,,,,-0.006,NOT_PUBLIC (amplitude only in Chae+21)
UGC03580,3580,vanEymeren2011a_T3,-0.0301,NOT_PUBLISHED,0.03,1,116.09,112.35,119.34,1.87,65.68,,,,,-0.046,NOT_PUBLIC (amplitude only in Chae+21)
NGC2366,3851,vanEymeren2011a_T3,0.0523,NOT_PUBLISHED,0.052,5,51.28,54.62,49.26,38.76,67.59,,,,,,NOT_PUBLIC (amplitude only in Chae+21)
UGC04278,4278,vanEymeren2011a_T3,0.0066,NOT_PUBLISHED,0.007,1,87.5,88.5,87.35,352.32,64.17,,,,,-0.181,NOT_PUBLIC (amplitude only in Chae+21)
NGC2903,5079,vanEymeren2011a_T3,-0.0139,NOT_PUBLISHED,0.014,4,195.31,193.13,198.56,202.69,64.01,-2.3,0.243,-3.208,0.257,0.04,NOT_PUBLIC (amplitude only in Chae+21)
UGC05253,5253,vanEymeren2011a_T3,0.0999,NOT_PUBLISHED,0.1,2,249.47,277.6,227.78,355.95,36.32,,,,,0.056,NOT_PUBLIC (amplitude only in Chae+21)
UGC05721,5721,vanEymeren2011a_T3,-0.0623,NOT_PUBLISHED,0.062,2,80.29,76.31,86.31,279.45,65.53,-2.126,0.304,-3.03,0.347,0.046,NOT_PUBLIC (amplitude only in Chae+21)
UGC05829,5829,vanEymeren2011a_T3,0.0048,NOT_PUBLISHED,0.005,5,53.79,48.46,47.94,191.5,36.94,-2.189,0.324,-3.091,0.344,0.115,NOT_PUBLIC (amplitude only in Chae+21)
UGC05918,5918,vanEymeren2011a_T3,-0.0998,NOT_PUBLISHED,0.1,3,38.07,36.22,43.82,238.6,54.04,,,,,0.04,NOT_PUBLIC (amplitude only in Chae+21)
UGC06446,6446,vanEymeren2011a_T3,0.0058,NOT_PUBLISHED,0.006,1,81.35,82.53,81.58,191.11,50.49,-2.394,0.24,-3.327,0.265,0.139,NOT_PUBLIC (amplitude only in Chae+21)
NGC3726,6537,vanEymeren2011a_T3,-0.027,NOT_PUBLISHED,0.027,5,158.52,147.23,155.79,195.65,49.47,-2.242,0.34,-3.159,0.369,-0.002,NOT_PUBLIC (amplitude only in Chae+21)
UGC06787,6787,vanEymeren2011a_T3,0.0385,NOT_PUBLISHED,0.039,2,237.54,247.13,228.86,113.51,68.4,-2.416,0.337,-3.353,0.374,,NOT_PUBLIC (amplitude only in Chae+21)
NGC3992,6937,vanEymeren2011a_T3,-0.0033,NOT_PUBLISHED,0.003,1,268.79,269.5,271.25,248.17,57.18,-2.54,0.192,-3.479,0.209,0.095,NOT_PUBLIC (amplitude only in Chae+21)
NGC4088,7081,vanEymeren2011a_T3,-0.0588,NOT_PUBLISHED,0.059,2,179.4,166.86,187.94,228.38,65.55,-2.235,0.351,-3.175,0.353,0.041,NOT_PUBLIC (amplitude only in Chae+21)
NGC4100,7095,vanEymeren2011a_T3,0.0402,NOT_PUBLISHED,0.04,2,187.04,196.5,181.48,345.65,70.52,-2.382,0.337,-3.322,0.344,0.087,NOT_PUBLIC (amplitude only in Chae+21)
UGC07151,7151,vanEymeren2011a_T3,0.0317,NOT_PUBLISHED,0.032,1,83.55,85.22,79.92,281.33,74.89,-2.081,0.282,-2.965,0.321,0.149,NOT_PUBLIC (amplitude only in Chae+21)
UGC07323,7323,vanEymeren2011a_T3,-0.0098,NOT_PUBLISHED,0.01,4,71.95,72.64,74.05,36.02,52.06,-2.164,0.333,-3.065,0.349,0.131,NOT_PUBLIC (amplitude only in Chae+21)
UGC07524,7524,vanEymeren2011a_T3,-0.0019,NOT_PUBLISHED,0.002,5,76.03,73.9,74.19,324.87,46.87,-2.21,0.384,-3.088,0.445,0.154,NOT_PUBLIC (amplitude only in Chae+21)
UGC07603,7603,vanEymeren2011a_T3,0.0644,NOT_PUBLISHED,0.064,2,65.07,68.97,60.59,199.93,73.12,-2.145,0.392,-3.03,0.446,-0.072,NOT_PUBLIC (amplitude only in Chae+21)
