STACK v3 DONE:
sources: 21,262,011

late: g_bar-bin centre | OUR ESD_t (Msun/pc^2) | released Brouwer (bias-corr) | ratio
  1.33e-15 |      0.886 |      0.435 |   2.03
  2.34e-15 |      0.976 |      0.637 |   1.53
  4.14e-15 |      1.992 |      0.950 |   2.10
  7.30e-15 |      1.857 |      1.815 |   1.02
  1.29e-14 |      2.460 |      1.990 |   1.24
  2.27e-14 |      3.984 |      2.853 |   1.40
  4.01e-14 |      5.288 |      5.344 |   0.99
  7.07e-14 |      7.680 |      4.402 |   1.74
  1.25e-13 |     11.235 |      8.957 |   1.25
  2.20e-13 |     10.797 |     10.611 |   1.02
  3.88e-13 |     16.173 |     12.393 |   1.31
  6.85e-13 |     20.347 |     11.528 |   1.76
  1.21e-12 |     28.913 |     15.109 |   1.91
  2.13e-12 |     21.207 |     26.958 |   0.79
  3.76e-12 |     16.960 |     23.280 |   0.73

early: g_bar-bin centre | OUR ESD_t (Msun/pc^2) | released Brouwer (bias-corr) | ratio
  1.33e-15 |      1.187 |      1.001 |   1.19
  2.34e-15 |      2.026 |      1.759 |   1.15
  4.14e-15 |      3.083 |      2.568 |   1.20
  7.30e-15 |      3.457 |      3.288 |   1.05
  1.29e-14 |      6.179 |      4.062 |   1.52
  2.27e-14 |      6.485 |      5.766 |   1.12
  4.01e-14 |      8.144 |      7.328 |   1.11
  7.07e-14 |     11.076 |      8.861 |   1.25
  1.25e-13 |     15.322 |     10.733 |   1.43
  2.20e-13 |     20.870 |     12.454 |   1.68
  3.88e-13 |     23.180 |     17.618 |   1.32
  6.85e-13 |     30.859 |     23.391 |   1.32
  1.21e-12 |     40.029 |     30.449 |   1.31
  2.13e-12 |     54.246 |     36.818 |   1.47
  3.76e-12 |     46.375 |     47.718 |   0.97
-> wrote lr_esd_remeasured.npz. Validation gate: ratios ~1 (within ~20-30%) across bins before ANY sigma is computed.
