V4 DONE:
sources: 21,262,011

late: g_bar-bin centre | OUR ESD_t (Msun/pc^2) | released Brouwer (bias-corr) | ratio
  1.33e-15 |      1.029 |      0.435 |   2.36
  2.34e-15 |      0.675 |      0.637 |   1.06
  4.14e-15 |      1.725 |      0.950 |   1.82
  7.30e-15 |      1.909 |      1.815 |   1.05
  1.29e-14 |      2.010 |      1.990 |   1.01
  2.27e-14 |      3.705 |      2.853 |   1.30
  4.01e-14 |      3.728 |      5.344 |   0.70
  7.07e-14 |      7.255 |      4.402 |   1.65
  1.25e-13 |      8.631 |      8.957 |   0.96
  2.20e-13 |      9.556 |     10.611 |   0.90
  3.88e-13 |     15.736 |     12.393 |   1.27
  6.85e-13 |     18.947 |     11.528 |   1.64
  1.21e-12 |     20.029 |     15.109 |   1.33
  2.13e-12 |     25.607 |     26.958 |   0.95
  3.76e-12 |     18.900 |     23.280 |   0.81

early: g_bar-bin centre | OUR ESD_t (Msun/pc^2) | released Brouwer (bias-corr) | ratio
  1.33e-15 |      0.944 |      1.001 |   0.94
  2.34e-15 |      1.481 |      1.759 |   0.84
  4.14e-15 |      2.415 |      2.568 |   0.94
  7.30e-15 |      3.320 |      3.288 |   1.01
  1.29e-14 |      4.189 |      4.062 |   1.03
  2.27e-14 |      6.115 |      5.766 |   1.06
  4.01e-14 |      7.539 |      7.328 |   1.03
  7.07e-14 |      8.439 |      8.861 |   0.95
  1.25e-13 |     11.891 |     10.733 |   1.11
  2.20e-13 |     16.697 |     12.454 |   1.34
  3.88e-13 |     21.341 |     17.618 |   1.21
  6.85e-13 |     24.278 |     23.391 |   1.04
  1.21e-12 |     31.953 |     30.449 |   1.05
  2.13e-12 |     47.085 |     36.818 |   1.28
  3.76e-12 |     52.178 |     47.718 |   1.09
-> wrote lr_esd_remeasured.npz. Validation gate: ratios ~1 (within ~20-30%) across bins before ANY sigma is computed.
