159/159 checks passed
{'N': 2, 'x': 2.0, 'b': 2.0, 'E0': 0.9180581766242805, 'E1': 4.031921988130643, 'gap': 3.1138638115063624, 'analytic_lower': 2.0, 'original_lower': 1.0, 'cutoff_difference': 1.84297022087776e-14}
{'N': 2, 'x': 2.0, 'b': 4.0, 'E0': 1.6867202567981578, 'E1': 5.113008822532189, 'gap': 3.4262885657340307, 'analytic_lower': 1.0, 'original_lower': 1.0, 'cutoff_difference': 2.1316282072803006e-14}
{'N': 2, 'x': 4.0, 'b': 2.0, 'E0': 0.4895946078757207, 'E1': 6.504155229854678, 'gap': 6.014560621978958, 'analytic_lower': 5.5, 'original_lower': 5.0, 'cutoff_difference': 9.769962616701378e-14}
{'N': 2, 'x': 4.0, 'b': 4.0, 'E0': 0.9585123864992536, 'E1': 7.0164850407029125, 'gap': 6.057972654203659, 'analytic_lower': 5.0, 'original_lower': 5.0, 'cutoff_difference': 8.43769498715119e-15}
{'N': 2, 'x': 8.0, 'b': 2.0, 'E0': 0.24869800495594332, 'E1': 12.250520743772551, 'gap': 12.001822738816607, 'analytic_lower': 11.75, 'original_lower': 11.5, 'cutoff_difference': 1.0658141036401503e-13}
{'N': 2, 'x': 8.0, 'b': 4.0, 'E0': 0.4947930786321169, 'E1': 12.502081901038249, 'gap': 12.007288822406132, 'analytic_lower': 11.5, 'original_lower': 11.5, 'cutoff_difference': 7.460698725481052e-14}
{'N': 3, 'x': 2.0, 'b': 2.0, 'E0': 0.9892554577587638, 'E1': 6.165538971053518, 'gap': 5.176283513294754, 'analytic_lower': 4.333333333333333, 'original_lower': 2.333333333333333, 'cutoff_difference': 3.7636560534792807e-14}
{'N': 3, 'x': 2.0, 'b': 3.0, 'E0': 1.4754535780431763, 'E1': 6.581092065611278, 'gap': 5.105638487568102, 'analytic_lower': 3.833333333333333, 'original_lower': 2.333333333333333, 'cutoff_difference': 3.5083047578154947e-14}
{'N': 3, 'x': 2.0, 'b': 6.0, 'E0': 2.8973842936553704, 'E1': 7.827896263931046, 'gap': 4.930511970275676, 'analytic_lower': 2.333333333333333, 'original_lower': 2.333333333333333, 'cutoff_difference': 1.865174681370263e-14}
{'N': 3, 'x': 4.0, 'b': 2.0, 'E0': 0.4986877222635703, 'E1': 11.08316783566318, 'gap': 10.58448011339961, 'analytic_lower': 10.166666666666666, 'original_lower': 9.166666666666666, 'cutoff_difference': 2.120525977034049e-14}
{'N': 3, 'x': 4.0, 'b': 3.0, 'E0': 0.7470358722844144, 'E1': 11.29130345672807, 'gap': 10.544267584443656, 'analytic_lower': 9.916666666666666, 'original_lower': 9.166666666666666, 'cutoff_difference': 7.105427357601002e-15}
{'N': 3, 'x': 4.0, 'b': 6.0, 'E0': 1.488005004514868, 'E1': 11.915324171007558, 'gap': 10.42731916649269, 'analytic_lower': 9.166666666666666, 'original_lower': 9.166666666666666, 'cutoff_difference': 6.039613253960852e-14}
{'N': 3, 'x': 8.0, 'b': 2.0, 'E0': 0.24983692151473486, 'E1': 21.5416452183452, 'gap': 21.291808296830464, 'analytic_lower': 21.083333333333332, 'original_lower': 20.583333333333332, 'cutoff_difference': 1.4871437414853972e-13}
{'N': 3, 'x': 8.0, 'b': 3.0, 'E0': 0.3746327152866525, 'E1': 21.645785359587784, 'gap': 21.271152644301132, 'analytic_lower': 20.958333333333332, 'original_lower': 20.583333333333332, 'cutoff_difference': 9.237055564881302e-14}
{'N': 3, 'x': 8.0, 'b': 6.0, 'E0': 0.7485265591636295, 'E1': 21.958144862358175, 'gap': 21.209618303194546, 'analytic_lower': 20.583333333333332, 'original_lower': 20.583333333333332, 'cutoff_difference': 6.039613253960852e-14}
