name,z,sigma,sigma_err,logMstar,logMstar_err,kinematic_type,source_arXiv,construction
JADES-1095186,4.02,90.03,13.08,9.37,0.16,rotation,2503.21863,"sigma0=76 (+/-15.5), V=83.6: sigma_eff=sqrt(sigma0^2+V^2/3)"
GO1871-545,4.0416,96.4,1.4,9.41,0.41,unresolved (integrated),2501.17145,integrated width (rotation included)
GN20,4.055,286.51,3.11,11.04,0.3,rotation,2403.03192,"sigma0=89 (+/-10), V=471.7: sigma_eff=sqrt(sigma0^2+V^2/3)"
JADES-1000110,4.06,175.94,8.32,9.52,0.21,rotation,2503.21863,"sigma0=133 (+/-11), V=199.5: sigma_eff=sqrt(sigma0^2+V^2/3)"
JADES-1083165,4.15,117.47,11.81,9.78,0.11,dispersion,2503.21863,"sigma0=111 (+/-12.5), V=66.6: sigma_eff=sqrt(sigma0^2+V^2/3)"
JADES-1029814,4.16,100.84,7.14,8.38,0.175,rotation,2503.21863,"sigma0=48 (+/-15), V=153.6: sigma_eff=sqrt(sigma0^2+V^2/3)"
JADES-1091236,4.17,94.66,11.54,9.34,0.325,dispersion,2503.21863,"sigma0=84 (+/-13), V=75.6: sigma_eff=sqrt(sigma0^2+V^2/3)"
SPT0418-47,4.2248,182.04,0.18,10.079,0.052,rotation,2009.01251,"sigma0=32 (+/-1), V=310.4: sigma_eff=sqrt(sigma0^2+V^2/3)"
J081740,4.2603,166.46,3.9,10.6,0.2,rotation,2302.03049;2403.00904,"sigma0=50 (+/-13), V=275.0: sigma_eff=sqrt(sigma0^2+V^2/3)"
MACS0717_Az9,4.2738,83.7,5.28,9.33,0.091,rotation,2306.10450,"sigma0=26 (+/-17), V=137.8: sigma_eff=sqrt(sigma0^2+V^2/3)"
BRI1335-0417,4.4071,138.9,5.4,10.4,0.1,rotation,2302.03049;2403.00904,"sigma0=75 (+/-10), V=202.5: sigma_eff=sqrt(sigma0^2+V^2/3)"
CANDELS_GOODSS_32,4.4105,118.5,5.5,9.746,0.038,merger,2002.00962,integrated width (rotation included)
JADES-1077545,4.42,74.63,24.06,9.27,0.235,rotation,2503.21863,"sigma0=63 (+/-28.5), V=69.3: sigma_eff=sqrt(sigma0^2+V^2/3)"
SGP38326-1,4.4238,333.25,2.09,11.0,0.2,rotation,2302.03049;2403.00904,"sigma0=58 (+/-12), V=568.4: sigma_eff=sqrt(sigma0^2+V^2/3)"
SGP38326-2,4.4274,239.87,3.06,10.3,0.5,rotation,2302.03049;2403.00904,"sigma0=49 (+/-15), V=406.7: sigma_eff=sqrt(sigma0^2+V^2/3)"
CANDELS_GOODSS_12,4.431,229.7,7.6,9.295,0.263,unclear,2002.00962,integrated width (rotation included)
CRISTAL-11,4.439,142.08,10.96,9.68,0.33,rotation,2507.11600,"sigma0=107.8 (+/-14.45), V=160.3: sigma_eff=sqrt(sigma0^2+V^2/3)"
vuds_cosmos_510786441,4.4635,95.1,5.5,9.99,0.161,merger,2002.00962,integrated width (rotation included)
DEIMOS_COSMOS_274035,4.4791,113.0,8.1,9.423,0.127,dispersion,2002.00962,integrated width (rotation included)
DEIMOS_COSMOS_434239,4.4883,211.0,5.5,10.318,0.129,merger,2002.00962,integrated width (rotation included)
vuds_cosmos_510605533,4.5019,214.0,13.2,9.469,0.153,unclear,2002.00962,integrated width (rotation included)
DEIMOS_COSMOS_834764,4.5058,107.9,7.2,9.975,0.135,dispersion,2002.00962,integrated width (rotation included)
DEIMOS_COSMOS_493583,4.5134,84.1,5.5,9.612,0.132,merger,2002.00962,integrated width (rotation included)
vuds_cosmos_5100822662,4.5205,88.3,5.5,10.174,0.131,merger,2002.00962,integrated width (rotation included)
DEIMOS_COSMOS_308643,4.5253,172.4,17.0,9.766,0.149,merger,2002.00962,integrated width (rotation included)
DEIMOS_COSMOS_680104,4.5295,80.7,6.8,9.234,0.148,unclear,2002.00962,integrated width (rotation included)
DEIMOS_COSMOS_627939,4.5341,107.0,5.5,9.982,0.139,merger,2002.00962,integrated width (rotation included)
DEIMOS_COSMOS_396844,4.5424,121.9,5.5,9.861,0.163,rotation,2002.00962,integrated width (rotation included)
DEIMOS_COSMOS_510660,4.548,229.3,33.5,9.473,0.161,unclear,2002.00962,integrated width (rotation included)
