name,z,sigma,sigma_err,sigma_flag,logMstar,logMstar_err,IMF,logMgas,logMdyn,re_kpc,v_over_sigma,kinematic_type,tracer,instrument,sigma_definition,rotation_removed,source_arXiv,table_or_section,notes
DLA0817g,4.249,71,5,det,,,unstated,,10.8,,5.04,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 71 +5/-5 km/s; Method I (KinMS forward model of 3 moment maps, 2D); exp. disk scale radius r_D=1.13 kpc (Table 1 col 6; not an effective radius); Vmax=358 +94/-74 km/s; Vmax/sigma = 5.04 +1.81/-1.31; no M* in Parlanti Table 2 (printed ""...""); logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.2/-0.2; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution); same object as J081740/ALMA J0817+1351 (Neeleman+2020; Roman-Oliveira+2023)"
ALESS 073.1,4.746,54,2,det,10.9,0.2,unstated,,10.7,,6,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 54 +1/-3 km/s; Method I (KinMS forward model of 3 moment maps, 2D); exp. disk scale radius r_D=1.209 kpc (Table 1 col 6; not an effective radius); Vmax=324 +91/-34 km/s; Vmax/sigma = 6.0 +1.83/-0.91; Table 2 prints M* as the range log M*=10.7-11.1 (Lelli+2021); midpoint 10.9 +/-0.2 (half-range) adopted here; M* ref Lelli+2021 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.1/-0.1; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution); same object as Lelli+2021"
HZ7,5.245,85,11,det,9.86,0.21,unstated,,9.7,,0.95,dispersion,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 85 +12/-10 km/s; Method I (KinMS forward model of 3 moment maps, 2D); exp. disk scale radius r_D=1.6 kpc (Table 1 col 6; not an effective radius); Vmax=81 +83/-45 km/s; Vmax/sigma = 0.95 +1.23/-0.58; M* ref Capak+2015 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.6/-0.7; kinematic_type from Vmax/sigma<1; same object as CRISTAL-21"
HZ9,5.529,51,9.5,det,9.86,0.23,unstated,,10.8,,5.19,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 51 +10/-9 km/s; Method II (KinMS forward model of flux map + integrated spectrum, 1D); Method-II sigma already divided by the paper's 1.6 correction factor (Sect. 3.4/App. C); exp. disk scale radius r_D=2.7 kpc (Table 1 col 6; not an effective radius); Vmax=265 +155/-97 km/s; Vmax/sigma = 5.19 +4.8/-2.44; M* ref Capak+2015 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.4/-0.4; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution); also in Jones+2021 ring table"
HZ4,5.534,66,3,det,10.15,0.14,unstated,,10,,1.64,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 66 +3/-3 km/s; Method I (KinMS forward model of 3 moment maps, 2D); exp. disk scale radius r_D=2.07 kpc (Table 1 col 6; not an effective radius); Vmax=108 +28/-12 km/s; Vmax/sigma = 1.64 +0.52/-0.25; log M* = 10.15 +0.13/-0.15; M* ref Faisst+2020 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.2/-0.1; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution); same object as CRISTAL-20 / DEIMOS_COSMOS_494057"
J1211,6.019,58,10,det,10.47,,unstated,,10.3,,2.57,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 58 +9/-11 km/s; Method I (KinMS forward model of 3 moment maps, 2D); exp. disk scale radius r_D=3.1 kpc (Table 1 col 6; not an effective radius); Vmax=149 +116/-43 km/s; Vmax/sigma = 2.57 +3.07/-1.01; M* printed without error; M* ref Harikane+2020 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.5/-0.3; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution)"
J1211,6.029,54,21,det,10.47,,unstated,,10.2,,3.12,rotation,[OIII]88,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 54 +18/-24 km/s; Method I (KinMS forward model of 3 moment maps, 2D); exp. disk scale radius r_D=1.1 kpc (Table 1 col 6; not an effective radius); Vmax=155 +160/-70 km/s; Vmax/sigma = 3.12 +3.71/-1.27; M* printed without error; M* ref Harikane+2020 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.6/-0.5; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution)"
J0235,6.076,72,75.5,det,10.47,,unstated,,10.6,,3.04,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 72 +101/-50 km/s; Method II (KinMS forward model of flux map + integrated spectrum, 1D); Method-II sigma already divided by the paper's 1.6 correction factor (Sect. 3.4/App. C); exp. disk scale radius r_D=1.8 kpc (Table 1 col 6; not an effective radius); Vmax=219 +107/-69 km/s; Vmax/sigma = 3.04 +11.77/-2.16; M* printed without error; M* ref Harikane+2020 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.3/-0.3; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution)"
J0235,6.09,126,59.5,det,10.47,,unstated,,10.6,,1.96,rotation,[OIII]88,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 126 +66/-53 km/s; Method II (KinMS forward model of flux map + integrated spectrum, 1D); Method-II sigma already divided by the paper's 1.6 correction factor (Sect. 3.4/App. C); exp. disk scale radius r_D=1.2 kpc (Table 1 col 6; not an effective radius); Vmax=248 +108/-75 km/s; Vmax/sigma = 1.96 +2.9/-1.06; M* printed without error; M* ref Harikane+2020 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.3/-0.3; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution)"
CLM1,6.153,42,15,det,10.11,,unstated,,10.3,,4.64,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 42 +16/-14 km/s; Method II (KinMS forward model of flux map + integrated spectrum, 1D); Method-II sigma already divided by the paper's 1.6 correction factor (Sect. 3.4/App. C); exp. disk scale radius r_D=0.9 kpc (Table 1 col 6; not an effective radius); Vmax=195 +92/-62 km/s; Vmax/sigma = 4.64 +5.6/-2.34; M* printed without error; M* ref Willott+2015 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.3/-0.3; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution)"
J0217,6.191,83,,lower,10.47,,unstated,,10.7,,,unclear,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas printed as >83 km/s (lower limit); Method II (KinMS forward model of flux map + integrated spectrum, 1D); Method-II sigma already divided by the paper's 1.6 correction factor (Sect. 3.4/App. C); exp. disk scale radius r_D=4.1 kpc (Table 1 col 6; not an effective radius); Vmax=136 +63/-42 km/s; Vmax/sigma printed as <1.63; M* printed without error; M* ref Harikane+2020 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.3/-0.3; kinematic_type unclear: only an upper limit on V/sigma"
