name,z,sigma,sigma_err,sigma_flag,logMstar,logMstar_err,IMF,logMgas,logMdyn,re_kpc,v_over_sigma,kinematic_type,tracer,instrument,sigma_definition,rotation_removed,source_arXiv,table_or_section,notes
JADES-NS-00016745,5.56616,55,2.0,det,8.8,0.04,Chabrier,,10.23,1.94,1.9,rotation,Halpha,NIRSpec MSA G395H R2700,"forward-modelled (msafit) thin-disc intrinsic dispersion sigma_0 (constant), PSF+LSF+slit geometry modelled",yes,2308.09742,"Tab. fit_results2 (sigma_0,z,v/sigma,Mdyn); Tab. fit_results (re arcsec); App. Tab. beagle (M*)","sigma_0 +2/-2; v(re)/sigma_0=1.9 +0.3/-0.2; re=0.32"" +0.03/-0.03 (emission-line re from NIRCam morph prior) -> kpc with Planck18 (paper cosmology not stated in TeX); logM* +0.04/-0.04; Mdyn = 1.8 re vc^2/G with vc^2=v^2+3.35 sigma_0^2; paper says merger vs disc ambiguous for 16745/20086025/47100"
JADES-NS-00019606,5.88979,39.1,1.8,det,7.54,0.04,Chabrier,,9.17,0.69,0.13,dispersion,[OIII]5007,NIRSpec MSA G395H R2700,"forward-modelled (msafit) thin-disc intrinsic dispersion sigma_0 (constant), PSF+LSF+slit geometry modelled",yes,2308.09742,"Tab. fit_results2 (sigma_0,z,v/sigma,Mdyn); Tab. fit_results (re arcsec); App. Tab. beagle (M*)","sigma_0 +1.8/-1.8; v(re)/sigma_0=0.13 +0.14/-0.09; re=0.117"" +0.013/-0.011 (emission-line re from NIRCam morph prior) -> kpc with Planck18 (paper cosmology not stated in TeX); logM* +0.04/-0.04; Mdyn = 1.8 re vc^2/G with vc^2=v^2+3.35 sigma_0^2; paper says merger vs disc ambiguous for 16745/20086025/47100"
JADES-NS-00022251,5.79912,39.0,1.0,det,8.21,0.05,Chabrier,,9.23,0.73,0.58,dispersion,[OIII]5007,NIRSpec MSA G395H R2700,"forward-modelled (msafit) thin-disc intrinsic dispersion sigma_0 (constant), PSF+LSF+slit geometry modelled",yes,2308.09742,"Tab. fit_results2 (sigma_0,z,v/sigma,Mdyn); Tab. fit_results (re arcsec); App. Tab. beagle (M*)","sigma_0 +1.0/-1.0; v(re)/sigma_0=0.58 +0.11/-0.11; re=0.122"" +0.006/-0.006 (emission-line re from NIRCam morph prior) -> kpc with Planck18 (paper cosmology not stated in TeX); logM* +0.05/-0.05; Mdyn = 1.8 re vc^2/G with vc^2=v^2+3.35 sigma_0^2; paper says merger vs disc ambiguous for 16745/20086025/47100"
JADES-NS-00047100,7.43173,71,4.0,det,8.53,0.11,Chabrier,,9.85,0.67,1.3,rotation,[OIII]5007,NIRSpec MSA G395H R2700,"forward-modelled (msafit) thin-disc intrinsic dispersion sigma_0 (constant), PSF+LSF+slit geometry modelled",yes,2308.09742,"Tab. fit_results2 (sigma_0,z,v/sigma,Mdyn); Tab. fit_results (re arcsec); App. Tab. beagle (M*)","sigma_0 +4/-4; v(re)/sigma_0=1.3 +0.3/-0.3; re=0.13"" +0.011/-0.01 (emission-line re from NIRCam morph prior) -> kpc with Planck18 (paper cosmology not stated in TeX); logM* +0.12/-0.1; Mdyn = 1.8 re vc^2/G with vc^2=v^2+3.35 sigma_0^2; paper says merger vs disc ambiguous for 16745/20086025/47100"
JADES-NS-10016374,5.50411,62,2.0,det,7.86,0.07,Chabrier,,9.45,0.51,0.26,dispersion,Halpha,NIRSpec MSA G395H R2700,"forward-modelled (msafit) thin-disc intrinsic dispersion sigma_0 (constant), PSF+LSF+slit geometry modelled",yes,2308.09742,"Tab. fit_results2 (sigma_0,z,v/sigma,Mdyn); Tab. fit_results (re arcsec); App. Tab. beagle (M*)","sigma_0 +2/-2; v(re)/sigma_0=0.26 +0.16/-0.14; re=0.084"" +0.013/-0.012 (emission-line re from NIRCam morph prior) -> kpc with Planck18 (paper cosmology not stated in TeX); logM* +0.07/-0.07; Mdyn = 1.8 re vc^2/G with vc^2=v^2+3.35 sigma_0^2; paper says merger vs disc ambiguous for 16745/20086025/47100"
JADES-NS-20086025,7.2627,25,7.0,det,8.85,0.18,Chabrier,,10.31,1.88,6.0,rotation,[OIII]5007,NIRSpec MSA G395H R2700,"forward-modelled (msafit) thin-disc intrinsic dispersion sigma_0 (constant), PSF+LSF+slit geometry modelled",yes,2308.09742,"Tab. fit_results2 (sigma_0,z,v/sigma,Mdyn); Tab. fit_results (re arcsec); App. Tab. beagle (M*)","sigma_0 +6/-8; v(re)/sigma_0=6.0 +2.9/-1.4; re=0.36"" +0.14/-0.1 (emission-line re from NIRCam morph prior) -> kpc with Planck18 (paper cosmology not stated in TeX); logM* +0.18/-0.18; Mdyn = 1.8 re vc^2/G with vc^2=v^2+3.35 sigma_0^2; paper says merger vs disc ambiguous for 16745/20086025/47100; sigma_0 is at/below point-source LSF (sigma_inst~25-30 km/s): the paper says only 5 of 6 are broader than LSF; thin-disc model, n=4.8, v/sigma=6"
GO1871-9,6.5691,52.5,,upper,9.0,1.17,Kroupa,,<=9.64,<=0.404,,unresolved (integrated),[OIII]5008,NIRSpec MSA G395H R2700,"integrated single-Gaussian line sigma, LSF-subtracted in quadrature (msafit LSF)",no,2501.17145,"App. Tab. data_sample (z,M*), Tab. data_morphology (r_phys, sigma*_gas, Mdyn); Mdyn=K(n)K(q) sigma^2 re/G (Sec. 3.2)",single-Gaussian [OIII]5008 width minus msafit LSF (sigma_res 26.7-38.5) in quadrature; paper treats sigma_gas as UPPER LIMIT to intrinsic dispersion (rotation not removed); source unresolved in NIRCam (PSF model): table lists sigma and Mdyn as <= values; logM* err +/-1.17 (bagpipes)
GO1871-10,7.599,65.2,5.3,det,7.96,0.39,Kroupa,,9.54,0.739,,unresolved (integrated),[OIII]5008,NIRSpec MSA G395H R2700,"integrated single-Gaussian line sigma, LSF-subtracted in quadrature (msafit LSF)",no,2501.17145,"App. Tab. data_sample (z,M*), Tab. data_morphology (r_phys, sigma*_gas, Mdyn); Mdyn=K(n)K(q) sigma^2 re/G (Sec. 3.2)","single-Gaussian [OIII]5008 width minus msafit LSF (sigma_res 26.7-38.5) in quadrature; paper treats sigma_gas as UPPER LIMIT to intrinsic dispersion (rotation not removed); r_phys=739+/-262 pc; Mdyn err +/-0.16; logM* err +/-0.39 (bagpipes); gas-flow candidate: 2-Gaussian narrow sigma=49.08+/-6.4, broad sigma=121.7 (Tab. data_gasflow; LSF correction of these not stated)"
GO1871-11,7.61,60.9,12.9,det,9.07,0.31,Kroupa,,9.77,0.846,,unresolved (integrated),[OIII]5008,NIRSpec MSA G395H R2700,"integrated single-Gaussian line sigma, LSF-subtracted in quadrature (msafit LSF)",no,2501.17145,"App. Tab. data_sample (z,M*), Tab. data_morphology (r_phys, sigma*_gas, Mdyn); Mdyn=K(n)K(q) sigma^2 re/G (Sec. 3.2)",single-Gaussian [OIII]5008 width minus msafit LSF (sigma_res 26.7-38.5) in quadrature; paper treats sigma_gas as UPPER LIMIT to intrinsic dispersion (rotation not removed); r_phys=846+/-37 pc; Mdyn err +/-0.15; logM* err +/-0.31 (bagpipes)
GO1871-12,7.502,67.3,2.8,det,8.31,0.09,Kroupa,,9.41,0.381,,unresolved (integrated),[OIII]5008,NIRSpec MSA G395H R2700,"integrated single-Gaussian line sigma, LSF-subtracted in quadrature (msafit LSF)",no,2501.17145,"App. Tab. data_sample (z,M*), Tab. data_morphology (r_phys, sigma*_gas, Mdyn); Mdyn=K(n)K(q) sigma^2 re/G (Sec. 3.2)","single-Gaussian [OIII]5008 width minus msafit LSF (sigma_res 26.7-38.5) in quadrature; paper treats sigma_gas as UPPER LIMIT to intrinsic dispersion (rotation not removed); r_phys=381+/-39 pc; Mdyn err +/-0.05; logM* err +/-0.09 (bagpipes); gas-flow candidate: 2-Gaussian narrow sigma=59.75+/-3.83, broad sigma=160.2 (Tab. data_gasflow; LSF correction of these not stated); merging pair, values for brighter NE component"
GO1871-14,7.2049,60.5,,upper,9.31,0.17,Kroupa,,<=9.72,<=0.383,,unresolved (integrated),[OIII]5008,NIRSpec MSA G395H R2700,"integrated single-Gaussian line sigma, LSF-subtracted in quadrature (msafit LSF)",no,2501.17145,"App. Tab. data_sample (z,M*), Tab. data_morphology (r_phys, sigma*_gas, Mdyn); Mdyn=K(n)K(q) sigma^2 re/G (Sec. 3.2)","single-Gaussian [OIII]5008 width minus msafit LSF (sigma_res 26.7-38.5) in quadrature; paper treats sigma_gas as UPPER LIMIT to intrinsic dispersion (rotation not removed); source unresolved in NIRCam (PSF model): table lists sigma and Mdyn as <= values; logM* err +/-0.17 (bagpipes); gas-flow candidate: 2-Gaussian narrow sigma=61.48+/-2.16, broad sigma=110.64 (Tab. data_gasflow; LSF correction of these not stated)"
