name,z,sigma,sigma_err,sigma_flag,logMstar,logMstar_err,IMF,logMgas,logMdyn,re_kpc,v_over_sigma,kinematic_type,tracer,instrument,sigma_definition,rotation_removed,source_arXiv,table_or_section,notes
DLA0817g1 (ALMA J081740.85+135138.2),4.2606,97,12,det,10.6,0.2,"n/a (dynamical mass-decomposition estimate, Roman-Oliveira+2024; no SED M*)",10.25,10.9,2.0,2.1,rotation,Halpha (+[NII]),NIRSpec IFU G395H R2700,sigma_o(R_e) from 3DBarolo 3D forward-model fit of Halpha cube,yes,2512.05213,table labelled pys_results (best-fit morpho-kinematic properties); M* quoted in Sect. discussion ('Roman-Oliveira+24: log M*=10.6+-0.2'),"logMgas = log M_H2 from [CII] with Z-dependent alpha_[CII] (E(B-V)=0 column of ratiotable; molecular gas); [CII] fit in same table gives sigma_o(Re)=49+-11 km/s, v/sigma=4.8+-1.1; integrated 1-Gaussian intrinsic (LSF-corrected) Halpha FWHM=366+-6 km/s (table linetable); paper defers SED M* to future work"
MACS0647-JD1 (full aperture),10.17,96.8,8.1,det,8.38,0.21,Chabrier,,9.1,0.07,,merger,"joint single-Gaussian fit of rest 3600-4700A lines ([OII],[NeIII],Hdelta,Hgamma,[OIII]4363)",NIRSpec IFU G395M R1000 (flag: medium resolution),intrinsic FWHM (deconvolved with 0.8x pre-launch LSF) of aperture spectrum /2.355,no,2603.00232,Table 1 (tab:table_parameters_integrated),"FWHM 228+-19 km/s /2.355 (paper itself quotes sigma_gas=97+-8); lensed mu=8+-1 (Chan+17); M* from Prospector (whether table M* is delensed is not stated explicitly in the SED section; abstract quotes 7.77+-0.09 / 7.42+-0.07 for the two clumps, matching table); logMdyn=9.1+-0.5 uses sigma*=1.26 sigma_gas and R_eff=70+-24 pc (Hsiao+24); paper favours early-stage merger of two clumps"
MACS0647-JD1 SE clump,10.17,91.3,14.4,det,7.78,0.07,Chabrier,,,,,merger,"joint single-Gaussian fit of rest 3600-4700A lines ([OII],[NeIII],Hdelta,Hgamma,[OIII]4363)",NIRSpec IFU G395M R1000 (flag: medium resolution),intrinsic FWHM (deconvolved with 0.8x pre-launch LSF) of aperture spectrum /2.355,no,2603.00232,Table 1 (tab:table_parameters_integrated),"FWHM 215+-34 km/s /2.355; lensed mu~8; main (more massive, metal-rich) component"
MACS0647-JD1 NW clump,10.17,80.3,17.4,det,7.41,0.08,Chabrier,,,,,merger,"joint single-Gaussian fit of rest 3600-4700A lines ([OII],[NeIII],Hdelta,Hgamma,[OIII]4363)",NIRSpec IFU G395M R1000 (flag: medium resolution),intrinsic FWHM (deconvolved with 0.8x pre-launch LSF) of aperture spectrum /2.355,no,2603.00232,Table 1 (tab:table_parameters_integrated),FWHM 189+-41 km/s /2.355; lensed mu~8; companion component
"MACS0647-JD (JD1+JD2 stacked slit, mainly component A)",10.1674,61.1,7.6,det,,,,,,,,merger,[NeIII]3869 (stacked JD1+JD2),"NIRSpec MOS G395H R2700 (slit, not IFU)","intrinsic FWHM after subtracting 101 km/s instrumental broadening, /2.355; integrated slit spectrum",no,2404.16201,"Sect. 'Measured Emission Line Properties' text ('observed systemic FWHM from the stacked [NeIII] is 176, or 144 (+19/-17) km/s intrinsic')",intrinsic FWHM 144 (+19/-17) km/s -> asym sigma +8.1/-7.2; [OII] doublet intrinsic FWHM 150 (+18/-19) km/s (sigma 63.7); tabulated per-image FWHMs (tables tab:lines_jd1/jd2/stack) are NOT instrument-corrected; no M* in this paper (see 2603.00232 rows for IFU M*); lensed mu=8.0 (JD1)+5.3 (JD2)
MACS1149-JD1,9.113,62,7,det,7.47,0.05,unstated,,9.08,0.585,,merger,[OIII]5007,NIRSpec IFU G395H R2700,average of spaxel-by-spaxel [OIII]5007 velocity dispersion (resolved map; no beam-smearing correction; LSF handling not explicitly described),yes,2407.08616,Sect. 'Gas kinematics' (Subsec3_kinematic): 'average velocity dispersion of 62+-7 km/s'; M* in Sect. 'Continuum fitting - Stellar population properties',"lensed mu=10+-0.7; M* 7.47+-0.05 [log(10/mu)] is the de-lensed integrated-spectrum value (spaxel-summed 7.88); Mdyn=1.2(+0.5/-0.4) sqrt(10/mu) x1e9 converted to log; R_e=585(+157/-52) pc de-lensed (Bradac+24); paper disfavours rotating disc, favours merger; spaxel sigma peaks at ~90 km/s"
CR7-A,6.60425,124,17,upper,9.33,0.06,unstated,,10.38,0.92,,merger,[OIII]5007,NIRSpec IFU G395H R2700,average spaxel velocity dispersion from resolved [OIII] fit; paper footnote: INCLUDES instrumental dispersion (so intrinsic is lower),yes,2411.08627,Sect. 'Gas kinematics' (Subsec3_kinematic) text + prospector table (t.prospector) for M*,"flagged upper because not instrument-corrected; M* +0.05/-0.07 (Prospector, CR7-A column); Mdyn 2.4(+1.5/-0.9)e10 converted to log; R_e=920+-60 pc from [OIII] half-flux; no convincing disc evidence, system interpreted as merger; alternative M* 9.63 in 2601.06255 table table:summary_observations"
CR7-B,6.60115,70,5,upper,8.52,0.155,unstated,,,,,merger,[OIII]5007 narrow component,NIRSpec IFU G395H R2700,average dispersion of NARROW component over CR7-B (narrow+broad decomposition); same resolved fit whose CR7-A value explicitly includes instrumental broadening,yes,2411.08627,Subsubsect. 'Narrow and Broad components' text + prospector table (t.prospector),"flagged upper (instrument correction not stated, same pipeline as CR7-A); narrow component only (broad component also present); M* +0.16/-0.15; alternative M* 9.10 in 2601.06255 table table:summary_observations; CR7-C2 detached region sigma~50 km/s quoted only approximately (not included)"
HFLS3 S1,6.3592,50.5,2.1,det,,,,,,,,merger,"[OIII]4959,5007 (tied)",NIRSpec IFU G395H R2700,intrinsic (LSF-convolved model) FWHM of integrated component spectrum /2.355,no,2308.16620,table 'Best fit FWHM and integrated fluxes' (label specfittab),[OIII] FWHM 119+-5 km/s /2.355; Hbeta/Halpha FWHM 116+-15 km/s; NO stellar mass tabulated for any HFLS3 companion; no magnification correction applied; paper notes S1/S2 and W1/W2 pairs meet close-pair (merger) criteria
HFLS3 S2,6.3593,27.6,2.1,det,,,,,,,,merger,"[OIII]4959,5007 (tied)",NIRSpec IFU G395H R2700,intrinsic (LSF-convolved model) FWHM of integrated component spectrum /2.355,no,2308.16620,table 'Best fit FWHM and integrated fluxes' (label specfittab),[OIII] FWHM 65+-5 km/s /2.355; Balmer lines twice as broad as [OIII]; Hbeta/Halpha FWHM 125+-14 km/s; NO stellar mass tabulated for any HFLS3 companion; no magnification correction applied; paper notes S1/S2 and W1/W2 pairs meet close-pair (merger) criteria
