  [A qubit n=8 1plaq distinct C] k=0: worst ratio = 1.0000e+00   (beta_k=1.465, D=1)
  [A qubit n=8 1plaq distinct C] k=1: worst ratio = 1.4688e-01   (beta_k=28.91, D=1)
  [A qubit n=8 1plaq distinct C] k=2: worst ratio = 3.1932e-02   (beta_k=368.9, D=1)
  [A qubit n=8 1plaq distinct C] k=3: worst ratio = 8.8565e-03   (beta_k=4051, D=1)
  [A qubit n=8 1plaq distinct C] k=4: worst ratio = 2.6550e-03   (beta_k=4.122e+04, D=1)
  [A qubit n=8 1plaq distinct C] k=5: worst ratio = 7.9110e-04   (beta_k=4.002e+05, D=1)
  [A qubit n=8 1plaq distinct C] k=6: worst ratio = 1.7376e-04   (beta_k=3.765e+06, D=1)
  [A qubit n=8 1plaq distinct C] k=7: worst ratio = 3.5420e-05   (beta_k=3.462e+07, D=1)
  [A qubit n=8 1plaq distinct C] k=8: worst ratio = 4.5170e-06   (beta_k=3.131e+08, D=1)
  [A qubit n=8 1plaq same C] k=1: worst ratio = 1.4688e-01   (beta_k=28.91, D=1)
  [A qubit n=8 1plaq same C] k=2: worst ratio = 3.3541e-02   (beta_k=368.9, D=1)
  [A qubit n=8 1plaq same C] k=3: worst ratio = 1.0031e-02   (beta_k=4051, D=1)
  [A qubit n=8 1plaq same C] k=4: worst ratio = 3.0681e-03   (beta_k=4.122e+04, D=1)
  [A qubit n=8 1plaq same C] k=5: worst ratio = 9.8847e-04   (beta_k=4.002e+05, D=1)
  [A qubit n=8 1plaq same C] k=6: worst ratio = 2.2177e-04   (beta_k=3.765e+06, D=1)
  [A qubit n=8 1plaq same C] k=7: worst ratio = 4.3428e-05   (beta_k=3.462e+07, D=1)
  [A qubit n=8 1plaq same C] k=8: worst ratio = 5.9674e-06   (beta_k=3.131e+08, D=1)
elapsed 1675.931881904602
