# Casimir Energy on T³/Z₂
# Date: 2026-05-11T23:03:40.267

best_ratio_t3 = 1.0
best_ratio_z2 = 1.0
target_ratio = 0.6842105263157895
status = NOT_CONFIRMED

# T³/Z₂ results:
ratio=0.3 E_norm=6.1896120987225985e6
ratio=0.4 E_norm=5.524271140189159e6
ratio=0.5 E_norm=5.058243345560806e6
ratio=0.55 E_norm=4.869210576110745e6
ratio=0.6 E_norm=4.700663065986667e6
ratio=0.65 E_norm=4.548333593995539e6
ratio=0.6842105263157895 E_norm=4.451803635104494e6
ratio=0.7 E_norm=4.4090908623928055e6
ratio=0.75 E_norm=4.280587293279745e6
ratio=0.8 E_norm=4.1610305104707903e6
ratio=0.9 E_norm=3.943493746731371e6
ratio=1.0 E_norm=3.7485007151873508e6
