# Simulation 3: Cosmological Shear Transport
# Angle(deg)	Resistivity	Delta_rho_rel(%)
0	1.0031359014562642	0.0
5	1.003784777268976	0.06468473631238901
10	1.0043967242068166	0.12568812946700858
15	1.0049583797722714	0.1816781069605348
20	1.005457252657094	0.23140944287407478
25	1.0058820800272408	0.27375937467594647
30	1.0062231542940558	0.3077601781882049
35	1.0064726081400854	0.3326275810662651
40	1.0066246477371221	0.34778401169704737
45	1.0066757257434453	0.352875844842392
50	1.0066246477371221	0.34778401169704737
55	1.0064726081400854	0.3326275810662651
60	1.0062231542940558	0.3077601781882049
65	1.0058820800272408	0.27375937467594647
70	1.005457252657094	0.23140944287407478
75	1.0049583797722714	0.1816781069605348
80	1.0043967242068166	0.12568812946700858
85	1.003784777268976	0.06468473631238901
90	1.0031359014562642	0.0
